N	2gram	Propp_Isto_7	Formalny
1	и в	24	38
2	в этом	12	27
3	т е	16	26
4	может быть	14	23
5	и его	3	21
6	таким образом	7	20
7	и не	4	20
8	в самом	2	16
9	прежде всего	2	15
10	не в	9	15
11	и т	17	14
12	не может	14	14
13	в нем	6	13
14	но и	11	13
15	связи с	3	13
16	с его	3	11
17	в том	7	11
18	вовсе не	4	11
19	в связи	2	10
20	как и	6	9
21	при этом	4	9
22	не только	21	9
23	что и	8	8
24	все же	9	8
25	так и	5	8
26	тем что	6	8
27	точки зрения	4	8
28	что в	13	7
29	не могут	2	7
30	по существу	4	7
31	в других	4	7
32	как мы	3	7
33	уже не	2	7
34	то что	7	6
35	и ее	2	6
36	было бы	2	6
37	вместе с	7	6
38	в их	4	6
39	то же	8	6
40	все эти	2	6
41	а не	8	6
42	он не	6	6
43	только в	6	6
44	а в	10	6
45	что он	21	5
46	во всех	7	5
47	с этим	2	5
48	т д	16	5
49	в основе	2	5
50	в то	2	5
51	не столько	3	4
52	к этому	2	4
53	мы видели	7	4
54	в дальнейшем	3	4
55	что они	3	4
56	здесь и	2	4
57	как бы	4	4
58	из них	2	4
59	как в	12	4
60	другой стороны	8	4
61	в особенности	2	4
62	что не	2	4
63	и наконец	3	4
64	и даже	3	4
65	там где	5	4
66	здесь не	2	4
67	они не	2	4
68	ничего не	5	4
69	так как	8	4
70	но в	5	4
71	все дело	2	3
72	всех этих	6	3
73	если в	2	3
74	же как	4	3
75	и др	2	3
76	с другой	9	3
77	из этих	3	3
78	мы знаем	2	3
79	и здесь	12	3
80	но все	4	3
81	из всего	2	3
82	например в	3	3
83	должно было	2	3
84	в ином	12	3
85	то это	5	3
86	только на	2	3
87	все это	8	3
88	задачи и	3	3
89	так в	4	3
90	то и	4	3
91	к нему	7	3
92	того что	6	3
93	мы не	4	3
94	или в	8	3
95	и на	2	3
96	хотя и	3	3
97	и все	6	3
98	его в	3	3
99	что это	6	3
100	уже в	3	2
101	сам он	2	2
102	и другие	9	2
103	никогда не	4	2
104	по этому	2	2
105	в этих	13	2
106	в качестве	3	2
107	тому что	2	2
108	характерно что	2	2
109	перед нами	2	2
110	или даже	2	2
111	это не	10	2
112	в одной	2	2
113	в конце	3	2
114	представление о	3	2
115	не просто	2	2
116	в тех	5	2
117	в ее	2	2
118	том что	10	2
119	но это	3	2
120	от него	3	2
121	но не	6	2
122	и другое	2	2
123	кроме того	3	2
124	она не	2	2
125	в каких	2	2
126	со своей	2	2
127	в целях	2	2
128	ее как	2	2
129	на первый	4	2
130	и о	2	2
131	в котором	2	2
132	для нее	2	2
133	не так	2	2
134	один из	7	2
135	и тем	2	2
136	не будет	2	2
137	от всех	2	2
138	отношение к	5	2
139	ни в	2	2
140	не по	2	2
141	ее в	3	2
142	со стороны	2	2
143	а именно	6	2
144	его не	2	2
145	должны были	3	2
146	они должны	2	2
147	приема в	3	2
148	превращается в	3	2
149	не имеет	4	2
150	и по	3	2
151	это положение	2	2
152	этот вопрос	2	2
153	сказать что	2	2
154	ничем не	2	2
155	он в	2	2
156	и от	2	2
157	при помощи	3	2
158	и это	2	2
159	и этим	3	2
160	должен был	2	2
161	в чем	5	2
162	потому что	9	2
163	как это	2	2
164	в которой	2	2
165	с ним	5	2
166	та же	2	2
167	если это	2	2
