N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	14	41
2	мы уже	4	18
3	в нем	3	16
4	и с	4	16
5	и его	5	13
6	но и	5	13
7	как мы	3	12
8	в этом	11	12
9	все это	2	11
10	все эти	3	11
11	прежде всего	11	10
12	в самом	4	10
13	не только	12	10
14	то что	8	10
15	и на	3	9
16	и все	4	9
17	о том	12	9
18	никогда не	6	8
19	в этой	8	8
20	но в	5	8
21	у него	9	7
22	том что	16	7
23	как бы	7	7
24	как и	9	7
25	что в	6	7
26	в его	8	7
27	в следующей	3	6
28	что он	9	6
29	например в	2	6
30	один из	4	6
31	следующей главе	3	6
32	в то	8	6
33	то же	9	5
34	с его	5	5
35	в литературе	3	5
36	в ее	3	5
37	же время	8	5
38	и он	5	5
39	а также	3	5
40	из них	4	5
41	так и	13	5
42	в своем	4	5
43	и что	2	5
44	той же	2	5
45	еще в	3	5
46	тем что	3	5
47	но он	3	5
48	в себе	11	5
49	та же	4	4
50	и от	4	4
51	именно в	7	4
52	не в	7	4
53	в ней	4	4
54	даже в	3	4
55	все же	3	4
56	не может	7	4
57	как в	8	4
58	самом деле	5	4
59	того чтобы	3	4
60	и даже	3	4
61	а в	7	4
62	в результате	2	4
63	в другом	2	4
64	о котором	2	4
65	с ним	4	4
66	перед нами	5	3
67	поэтому и	2	3
68	с этой	2	3
69	в одной	2	3
70	с этим	3	3
71	романа в	3	3
72	в духе	4	3
73	и смерти	3	3
74	одной из	2	3
75	до сих	2	3
76	было бы	6	3
77	вместо того	2	3
78	в начале	2	3
79	никак не	2	3
80	в него	2	3
81	жизни и	5	3
82	в первой	6	3
83	сих пор	2	3
84	и для	3	3
85	этом отношении	3	3
86	при этом	12	3
87	и не	2	3
88	они не	2	3
89	того что	4	3
90	что не	2	3
91	в третьей	2	3
92	характер в	2	3
93	только в	5	3
94	потому что	5	3
95	в частности	5	2
96	в этих	5	2
97	превращается в	3	2
98	в конце	4	2
99	для всего	2	2
100	в том	12	2
101	как его	3	2
102	раз в	2	2
103	так что	2	2
104	в предыдущей	3	2
105	связи с	4	2
106	от него	3	2
107	на этом	3	2
108	но не	3	2
109	в значительной	2	2
110	до конца	2	2
111	мы узнаем	4	2
112	своего времени	3	2
113	может быть	5	2
114	в своей	10	2
115	хотя и	2	2
116	он не	4	2
117	и когда	3	2
118	предыдущей главе	3	2
119	и потому	2	2
120	этой книги	2	2
121	себя в	4	2
122	или с	2	2
123	в форме	2	2
124	как раз	4	2
125	в центре	4	2
126	но с	2	2
127	лишь в	3	2
128	а не	12	2
129	с точки	3	2
130	внимание на	2	2
131	мы не	2	2
132	к себе	5	2
133	характер и	2	2
134	между тем	8	2
135	точки зрения	5	2
136	на его	2	2
137	говорить о	3	2
138	как он	2	2
139	так сказать	2	2
140	это прежде	2	2
141	как она	2	2
