N	2gram	Ircho_Kome_2	KFilosof
1	может быть	11	43
2	в его	4	39
3	в нем	6	31
4	не может	3	27
5	и не	14	26
6	по отношению	3	25
7	и в	26	22
8	в котором	3	21
9	отношению к	3	21
10	в ее	2	17
11	и его	12	17
12	только в	4	16
13	точки зрения	4	13
14	в этом	10	13
15	ни в	5	12
16	но не	3	12
17	и это	2	12
18	в своей	3	11
19	не в	2	11
20	к нему	3	11
21	в своем	6	10
22	это не	2	10
23	все это	3	10
24	во всех	3	10
25	и есть	2	9
26	в целом	4	9
27	но и	10	9
28	в их	3	9
29	как бы	2	9
30	и все	2	9
31	в единственном	3	9
32	и для	4	9
33	не было	3	8
34	если бы	9	8
35	было бы	8	8
36	жизни и	3	8
37	со стороны	2	8
38	и здесь	6	7
39	вовсе не	2	7
40	что и	7	7
41	то что	6	7
42	себя в	3	7
43	и я	2	6
44	в том	11	6
45	отношение к	2	6
46	в мире	2	6
47	отнюдь не	2	6
48	и их	3	6
49	он не	2	6
50	мира в	4	6
51	хотя бы	2	5
52	то же	3	5
53	но все	3	5
54	не имеет	3	5
55	его в	4	5
56	но в	3	5
57	как и	4	5
58	не только	7	5
59	все же	4	5
60	мы имеем	2	5
61	место в	4	4
62	что в	9	4
63	ни было	2	4
64	для нас	3	4
65	не по	4	4
66	с ними	2	4
67	между тем	4	4
68	в одном	2	4
69	том что	9	4
70	а в	3	4
71	бы и	2	3
72	независимо от	5	3
73	что это	4	3
74	не менее	4	3
75	в каждом	3	3
76	из его	2	3
77	в виду	2	3
78	от того	2	3
79	рядом с	2	3
80	и на	7	3
81	в ней	3	3
82	в то	6	3
83	о том	6	3
84	мы не	2	3
85	этом смысле	2	3
86	ясно что	8	3
87	по своему	2	3
88	могла бы	3	3
89	еще не	6	3
90	нет и	2	3
91	для того	5	3
92	тем что	3	3
93	то ни	2	2
94	прежде всего	4	2
95	вопрос о	3	2
96	же время	3	2
97	тому что	4	2
98	нем не	2	2
99	в принципе	2	2
100	для этой	2	2
101	потому что	6	2
102	говорить о	2	2
103	с его	5	2
104	с тем	5	2
105	к этому	5	2
106	что он	5	2
107	бы то	2	2
108	в качестве	5	2
109	тот же	2	2
110	в это	2	2
111	ни одна	2	2
112	так и	12	2
113	как в	3	2
114	дело с	3	2
115	если не	2	2
116	еще более	2	2
117	того чтобы	6	2
118	от этого	2	2
119	в этой	3	2
120	едва ли	14	2
