N	2gram	Losev_Vesc_1	Hudozhes
1	и не	29	16
2	в том	8	15
3	и в	21	15
4	не только	36	15
5	может быть	16	13
6	а в	4	12
7	и его	2	12
8	но не	5	11
9	в этом	4	11
10	в себе	14	11
11	я в	2	11
12	как бы	12	10
13	но и	18	10
14	так и	3	10
15	то же	6	10
16	а не	19	10
17	в его	2	9
18	точки зрения	5	9
19	себя в	10	8
20	сводится к	2	8
21	с другой	6	7
22	в то	3	7
23	но в	5	7
24	я и	6	7
25	в основе	3	6
26	что в	9	6
27	в ее	7	6
28	том что	8	6
29	не в	5	6
30	не может	17	6
31	по своей	2	6
32	можно сказать	6	5
33	только в	14	5
34	в самом	9	5
35	того что	8	5
36	не предполагает	4	5
37	той или	2	5
38	в нем	2	5
39	с ее	6	5
40	то что	27	5
41	между ними	3	5
42	другой стороны	2	5
43	уже не	9	5
44	прежде всего	9	4
45	к тому	3	4
46	а только	3	4
47	и как	8	4
48	в другом	2	4
49	для него	4	4
50	еще не	8	4
51	хотя и	4	4
52	и тем	3	4
53	в своей	5	4
54	со стороны	5	4
55	как к	4	4
56	в слове	2	4
57	и то	10	4
58	сказать что	17	4
59	мы имеем	7	4
60	говорить о	6	4
61	как это	2	4
62	не менее	3	3
63	если бы	5	3
64	в отношении	4	3
65	это не	5	3
66	была бы	2	3
67	тем не	3	3
68	и того	2	3
69	того же	5	3
70	в свою	4	3
71	одно и	5	3
72	мог бы	5	3
73	как раз	9	3
74	не будет	12	3
75	таким образом	8	3
76	как и	8	3
77	в той	3	3
78	и что	15	3
79	во втором	2	3
80	с точки	3	3
81	и для	9	3
82	не случайно	2	3
83	их в	3	3
84	потому что	16	3
85	но он	2	3
86	и ее	18	3
87	в данном	5	3
88	его в	2	3
89	в виду	2	3
90	слова в	2	2
91	на этом	2	2
92	я не	4	2
93	сама по	3	2
94	но на	2	2
95	себя и	4	2
96	так или	4	2
97	тому что	2	2
98	в своем	6	2
99	в одном	2	2
100	этих двух	2	2
101	в имени	15	2
102	вовсе не	10	2
103	по себе	13	2
104	об этом	3	2
105	основе своей	2	2
106	с самим	4	2
107	одна из	5	2
108	свою очередь	4	2
109	имеем дело	3	2
110	могла бы	3	2
111	одной стороны	3	2
112	для такого	2	2
113	во всех	2	2
114	к действительности	2	2
115	и о	3	2
116	и потому	5	2
117	не вполне	2	2
118	для себя	5	2
119	оно не	3	2
120	по преимуществу	2	2
121	дело не	2	2
122	но она	3	2
123	было и	2	2
124	собственно говоря	4	2
125	а с	3	2
126	и притом	3	2
127	с одной	3	2
128	все эти	3	2
129	это и	6	2
130	в себя	13	2
131	того чтобы	3	2
132	для того	2	2
133	и больше	9	2
134	или в	2	2
135	с ним	8	2
136	от всех	4	2
137	или иначе	4	2
138	с другими	8	2
139	в силу	3	2
140	у него	2	2
141	самим собою	2	2
142	определенным образом	6	2
143	в этой	3	2
144	о том	6	2
145	и это	14	2
146	в чем	6	2
147	для меня	2	2
