N	2gram	Propp_Isto_3	Formalny
1	и в	22	38
2	в этом	17	27
3	т е	16	26
4	может быть	11	23
5	и пр	11	21
6	и его	4	21
7	таким образом	10	20
8	и не	12	20
9	прежде всего	3	15
10	не в	4	15
11	и т	16	14
12	не может	4	14
13	в нем	9	13
14	но и	12	13
15	связи с	6	13
16	в пределах	4	12
17	с тем	2	11
18	в том	9	11
19	вовсе не	2	11
20	в его	3	10
21	в связи	3	10
22	и с	4	9
23	как и	3	9
24	при этом	2	9
25	не только	14	9
26	что и	9	8
27	все же	5	8
28	так и	2	8
29	тем что	4	8
30	точки зрения	2	8
31	что в	15	7
32	в других	4	7
33	как мы	8	7
34	уже не	7	7
35	не было	2	6
36	все время	2	6
37	то что	7	6
38	и ее	3	6
39	в ней	2	6
40	в этой	5	6
41	было бы	3	6
42	вместе с	9	6
43	то же	6	6
44	все эти	4	6
45	а не	6	6
46	могут быть	5	6
47	он не	5	6
48	только в	4	6
49	а в	6	6
50	если бы	6	5
51	что он	9	5
52	с этим	8	5
53	т д	15	5
54	и для	2	5
55	еще более	2	5
56	в то	2	5
57	во всяком	2	5
58	всяком случае	2	5
59	независимо от	2	4
60	к этому	7	4
61	к тому	3	4
62	мы видели	13	4
63	в дальнейшем	4	4
64	что они	8	4
65	в сторону	2	4
66	совершенно не	2	4
67	здесь и	2	4
68	и к	3	4
69	из них	7	4
70	в некоторых	5	4
71	как в	2	4
72	другой стороны	7	4
73	за счет	2	4
74	в особенности	2	4
75	что не	2	4
76	и даже	2	4
77	там где	7	4
78	здесь не	3	4
79	они не	4	4
80	ничего не	6	4
81	так как	7	4
82	но в	10	4
83	одного из	2	3
84	всех этих	2	3
85	же как	2	3
86	для них	3	3
87	и др	2	3
88	с другой	7	3
89	из этих	3	3
90	как таковой	2	3
91	мы знаем	2	3
92	бы она	2	3
93	и здесь	7	3
94	и как	3	3
95	но все	2	3
96	например в	2	3
97	должно было	2	3
98	в ином	6	3
99	то это	2	3
100	в целом	3	3
101	жизни и	2	3
102	быть и	3	3
103	только на	2	3
104	так в	6	3
105	то и	6	3
106	на самом	2	3
107	большинстве случаев	2	3
108	к нему	5	3
109	такой же	2	3
110	того что	5	3
111	роль в	2	3
112	или в	11	3
113	и на	4	3
114	хотя и	2	3
115	он и	3	3
116	и все	3	3
117	его в	3	3
118	и более	2	2
119	и другие	4	2
120	никогда не	3	2
121	состоит в	3	2
122	в этих	11	2
123	в качестве	2	2
124	это не	6	2
125	в одной	3	2
126	представление о	3	2
127	в тех	2	2
128	том что	8	2
129	но это	3	2
130	поставить вопрос	2	2
131	от него	2	2
132	но не	7	2
133	еще одну	2	2
134	она не	4	2
135	что на	4	2
136	и о	2	2
137	в котором	2	2
138	для нее	2	2
139	даже в	2	2
140	один из	5	2
141	есть только	2	2
142	отношение к	4	2
143	ни в	2	2
144	ее в	3	2
145	со стороны	3	2
146	а именно	4	2
147	даже не	2	2
148	его не	3	2
149	равно как	3	2
150	на этом	4	2
151	должны были	3	2
152	находится в	4	2
153	превращается в	3	2
154	не имеет	2	2
155	с ними	3	2
156	этот вопрос	2	2
157	и то	2	2
158	их в	3	2
159	сказать что	3	2
160	между тем	2	2
161	и от	3	2
162	при помощи	3	2
163	и это	2	2
164	должен был	3	2
165	в чем	3	2
166	потому что	3	2
167	как это	4	2
168	если это	3	2
