N	2gram	Savitsky_E_1	DiskursI
1	в себе	9	19
2	в качестве	14	16
3	и в	37	16
4	может быть	6	16
5	как и	7	16
6	в этом	12	16
7	и не	14	15
8	а не	2	14
9	в частности	5	12
10	то есть	6	12
11	в мире	2	11
12	представляет собой	3	11
13	но и	14	11
14	но в	14	11
15	том что	6	10
16	не только	18	10
17	со стороны	5	10
18	так и	10	9
19	не может	9	9
20	в том	11	8
21	а также	7	8
22	как в	3	8
23	прежде всего	9	7
24	но не	5	7
25	в данном	3	7
26	отнюдь не	9	6
27	в своей	8	6
28	данном случае	2	6
29	то же	15	6
30	тем самым	5	6
31	в своих	2	6
32	по своей	2	6
33	что в	21	5
34	в своем	14	5
35	с другой	7	5
36	же время	14	5
37	то что	6	5
38	и на	6	5
39	в то	16	5
40	в одном	2	4
41	в пределах	25	4
42	одной стороны	8	4
43	как бы	6	4
44	этом отношении	3	4
45	с одной	8	4
46	потому что	3	4
47	точки зрения	23	4
48	в этой	2	4
49	и то	2	4
50	о том	3	4
51	мира и	3	4
52	не является	3	4
53	жизни в	3	3
54	могут быть	2	3
55	в этих	2	3
56	в них	3	3
57	столь же	5	3
58	и все	2	3
59	или иной	4	3
60	и того	2	3
61	и как	2	3
62	не в	5	3
63	можно сказать	4	3
64	он не	2	3
65	той или	4	3
66	в его	2	3
67	в котором	2	3
68	из них	3	3
69	жизни и	2	3
70	иначе говоря	2	3
71	и наконец	2	3
72	также и	7	3
73	как на	3	3
74	как будто	2	3
75	только в	9	3
76	одном из	2	3
77	мира в	4	3
78	место в	3	2
79	же как	5	2
80	никогда не	3	2
81	в большинстве	2	2
82	или иного	4	2
83	большей части	2	2
84	стороны и	6	2
85	идет о	3	2
86	что на	2	2
87	в той	5	2
88	такой же	2	2
89	есть в	2	2
90	того же	3	2
91	должна быть	2	2
92	не нужно	2	2
93	в ней	4	2
94	далеко не	2	2
95	пожалуй и	2	2
96	что и	3	2
97	с точки	17	2
98	не к	2	2
99	время в	3	2
100	вместе с	2	2
101	заключает в	3	2
102	что же	2	2
103	и прежде	3	2
104	не на	4	2
105	именно в	4	2
106	по преимуществу	2	2
107	не более	3	2
108	более чем	2	2
109	другой стороны	2	2
110	и для	3	2
111	а в	2	2
112	в результате	3	2
113	и с	2	2
114	или по	2	2
115	дело в	3	2
116	в области	11	2
117	между тем	8	2
