N	2gram	Bakhtin_Fr_7	Sovremen
1	не может	3	17
2	точки зрения	5	12
3	может быть	4	12
4	таким образом	19	11
5	мы не	2	9
6	в этом	15	7
7	и в	41	7
8	и не	7	6
9	как и	14	6
10	в результате	2	6
11	ничего не	4	6
12	прежде всего	11	5
13	все эти	13	5
14	и наконец	4	5
15	с точки	3	5
16	как бы	7	4
17	мы видели	5	4
18	жизни и	3	4
19	вместе с	5	4
20	это не	6	4
21	а в	5	4
22	не только	5	4
23	с помощью	6	4
24	в том	11	4
25	их в	2	4
26	из них	3	4
27	так как	3	4
28	уже в	5	3
29	на этой	4	3
30	он может	3	3
31	все это	10	3
32	не подлежит	3	3
33	в конце	8	3
34	то же	13	3
35	в нем	7	3
36	а не	2	3
37	и к	5	3
38	с самого	2	3
39	не в	9	3
40	в этой	13	3
41	одна из	4	3
42	еще не	2	3
43	при этом	3	3
44	было бы	4	3
45	и т.д	2	3
46	в одном	3	3
47	и все	14	3
48	как он	2	3
49	в себе	11	3
50	в области	2	3
51	но в	8	3
52	и потому	3	3
53	так сказать	3	2
54	может иметь	2	2
55	не знаем	2	2
56	что это	4	2
57	и есть	3	2
58	у него	6	2
59	и во	2	2
60	из одного	4	2
61	что все	2	2
62	еще более	2	2
63	как мы	11	2
64	уже не	2	2
65	в свою	3	2
66	роль в	2	2
67	из которых	2	2
68	и по	3	2
69	на другом	2	2
70	той же	3	2
71	мы видим	6	2
72	но все	4	2
73	такой же	3	2
74	во всяком	2	2
75	свою очередь	3	2
76	на этом	5	2
77	а на	2	2
78	с этим	2	2
79	что в	9	2
80	тот же	2	2
81	со всеми	2	2
82	которой он	2	2
83	в новых	2	2
84	в которой	2	2
85	в его	12	2
86	все те	2	2
