N	2gram	Vinokur_Ku_1	Myslijsy
1	потому что	23	46
2	в слове	2	32
3	в том	30	32
4	и в	24	30
5	может быть	13	28
6	то же	8	23
7	не только	10	21
8	только в	11	21
9	для нас	2	20
10	но и	6	19
11	том что	21	18
12	то что	9	18
13	того что	9	18
14	что в	17	17
15	не есть	4	17
16	по себе	2	16
17	в себе	3	16
18	не в	11	15
19	внутренняя форма	2	15
20	и не	12	15
21	а не	8	15
22	таким образом	12	14
23	что и	4	13
24	так как	9	13
25	вместе с	7	12
26	а в	5	12
27	если бы	9	12
28	этого слова	3	11
29	так и	7	11
30	что оно	3	11
31	как и	2	10
32	как в	4	10
33	и что	5	10
34	в этом	14	10
35	в то	2	10
36	из этих	4	9
37	только тогда	3	9
38	было бы	15	9
39	в нем	4	9
40	между тем	5	9
41	тогда когда	6	9
42	в самом	10	8
43	в ней	6	8
44	что не	5	8
45	и то	3	8
46	смысле этого	3	7
47	с другой	7	7
48	что слово	3	7
49	вовсе не	10	7
50	к тому	5	7
51	так что	4	7
52	с тем	5	7
53	но не	5	7
54	в языке	8	7
55	тем самым	4	7
56	тем что	8	7
57	а потому	5	6
58	что он	6	6
59	с этим	4	6
60	из них	4	6
61	например в	5	6
62	между собою	2	6
63	то это	3	6
64	то и	2	6
65	не может	7	6
66	уже не	8	6
67	не имеет	2	6
68	с ним	5	6
69	значение слова	3	5
70	уже в	3	5
71	одно из	2	5
72	не могут	2	5
73	в них	7	5
74	по крайней	5	5
75	в каком	2	5
76	и как	2	5
77	же время	2	5
78	в своем	3	5
79	языка в	12	5
80	очевидно что	3	5
81	еще не	5	5
82	крайней мере	5	5
83	если б	2	5
84	и тем	2	5
85	отношению к	9	5
86	не менее	7	5
87	по отношению	8	5
88	должно быть	3	5
89	как на	3	5
90	и т	33	5
91	что я	2	5
92	слова и	4	5
93	до того	2	4
94	что это	5	4
95	это слово	3	4
96	оно не	3	4
97	по мере	3	4
98	в смысле	2	4
99	со словом	3	4
100	все это	6	4
101	в его	12	4
102	относится к	2	4
103	была бы	3	4
104	в котором	3	4
105	тем более	2	4
106	не все	2	4
107	один из	4	4
108	другой стороны	6	4
109	и его	5	4
110	он не	2	4
111	не было	3	4
112	если не	3	4
113	все равно	2	4
114	для того	16	4
115	мысли а	2	4
116	того как	4	4
117	и потому	4	4
118	и при	2	4
119	этого не	2	3
120	не говоря	2	3
121	и есть	2	3
122	тому что	3	3
123	прежде всего	9	3
124	и все	2	3
125	что все	2	3
126	а только	8	3
127	тем не	4	3
128	именно в	6	3
129	есть в	4	3
130	более или	3	3
131	свою очередь	3	3
132	в последнем	2	3
133	в свою	3	3
134	мере того	3	3
135	до сих	4	3
136	можно сказать	3	3
137	при этом	6	3
138	и может	3	3
139	никак не	2	3
140	только потому	6	3
141	что она	3	3
142	как бы	7	3
143	в целом	4	3
144	со стороны	4	3
145	или менее	3	3
146	и тогда	4	3
147	т д	14	3
148	то оно	2	3
149	того чтобы	17	3
150	в силу	10	3
151	так же	4	3
152	в таком	3	3
153	или в	2	3
154	в каждом	2	3
155	и на	4	3
156	же и	2	3
157	в первом	3	3
158	здесь только	2	3
159	там где	4	3
160	здесь как	2	3
161	в которой	6	3
162	есть средство	2	3
163	это было	2	3
164	том как	3	3
165	сих пор	4	3
166	но все	2	2
167	связи с	7	2
168	в какой	6	2
169	так например	2	2
170	не столько	2	2
171	в одном	3	2
172	не всегда	2	2
173	в собственном	2	2
174	его к	3	2
175	на то	4	2
176	слова но	2	2
177	что с	2	2
178	видеть что	2	2
179	что язык	7	2
180	в этой	3	2
181	что они	4	2
182	как о	2	2
183	уже на	2	2
184	несмотря на	3	2
185	и мы	2	2
186	и если	3	2
187	на его	3	2
188	в речи	3	2
189	том чтобы	8	2
190	том же	2	2
191	в свое	2	2
192	так или	2	2
193	был бы	2	2
194	даже в	3	2
195	язык есть	6	2
196	все же	12	2
197	например не	2	2
198	же в	4	2
199	в своей	2	2
200	что же	6	2
201	в их	3	2
202	целый ряд	5	2
203	т п	18	2
204	тогда как	2	2
205	в разных	2	2
206	а с	3	2
207	этом отношении	5	2
208	это и	4	2
209	слово это	5	2
210	к своему	2	2
211	самом деле	9	2
212	в системе	3	2
213	когда в	2	2
214	что такое	6	2
215	и даже	3	2
216	той же	3	2
217	языка и	8	2
218	слов в	2	2
219	в которых	6	2
220	с этой	2	2
221	ни в	2	2
222	от этого	2	2
223	точки зрения	14	2
224	бы в	7	2
225	о том	9	2
226	слово с	2	2
227	так сказать	5	2
228	когда мы	2	2
229	в области	7	2
230	большей части	2	2
231	и с	5	2
