N	2gram	Berdyaev_M_2	Myshleni
1	в том	3	28
2	и в	46	28
3	то что	5	28
4	в этом	20	27
5	того что	6	24
6	потому что	12	22
7	не может	15	19
8	том что	4	19
9	что он	7	18
10	только в	3	18
11	что в	4	17
12	не только	18	16
13	так же	6	15
14	может быть	21	13
15	сказать что	3	13
16	точки зрения	2	13
17	в сфере	2	12
18	тому что	4	11
19	и не	18	11
20	как бы	8	11
21	в отношении	5	10
22	к тому	5	10
23	но и	15	10
24	от того	3	10
25	по отношению	2	10
26	так как	8	10
27	отношению к	2	10
28	того чтобы	4	10
29	никогда не	18	8
30	в самом	5	8
31	для того	5	8
32	тем что	3	8
33	если бы	3	7
34	в нем	22	7
35	в сущности	2	7
36	в своем	8	7
37	и других	2	7
38	мы видим	2	7
39	отношение к	8	7
40	он не	10	7
41	вместе с	2	7
42	то же	5	7
43	можно было	2	7
44	в которой	2	7
45	и к	7	6
46	же как	3	6
47	так что	2	6
48	и что	2	6
49	для него	18	6
50	не имеет	4	6
51	тогда когда	2	6
52	его в	3	6
53	как и	13	6
54	так и	4	6
55	в чем	3	6
56	это не	5	5
57	вопрос о	6	5
58	в разных	2	5
59	и на	3	5
60	и все	5	5
61	но в	10	5
62	что все	5	5
63	то в	2	5
64	того как	3	5
65	в этой	7	5
66	я не	5	4
67	в нашем	7	4
68	не в	9	4
69	на этом	2	4
70	они не	4	4
71	друг друга	12	4
72	в мысли	2	4
73	к другому	3	4
74	к другу	5	4
75	оно не	2	4
76	что и	4	4
77	во всех	2	4
78	если я	2	4
79	той же	3	4
80	в себе	10	4
81	которые в	2	4
82	в каждом	3	3
83	это означает	2	3
84	на высшую	2	3
85	все время	2	3
86	это есть	2	3
87	есть в	3	3
88	до конца	4	3
89	на его	2	3
90	и той	2	3
91	его отношение	4	3
92	хотя и	2	3
93	те же	5	3
94	в своих	3	3
95	в основе	2	3
96	и здесь	6	3
97	по своей	3	3
98	бы в	2	3
99	от этого	2	3
100	с его	4	3
101	друг к	5	3
102	в них	3	3
103	по себе	2	3
104	это и	3	3
105	связи с	2	3
106	связано с	3	3
107	до сих	3	3
108	один из	5	3
109	в его	5	3
110	сих пор	3	3
111	как в	7	3
112	одной и	2	3
113	а не	13	3
114	и его	5	3
115	не знает	9	3
116	отношении к	3	3
117	отношения к	2	3
118	он сам	6	2
119	но на	2	2
120	в этих	2	2
121	для этого	4	2
122	в конце	5	2
123	прежде всего	12	2
124	к которой	3	2
125	и своего	2	2
126	но это	8	2
127	что всякий	3	2
128	этого вопроса	2	2
129	и от	3	2
130	себе и	2	2
131	принадлежит к	2	2
132	но он	11	2
133	приходит к	2	2
134	что у	4	2
135	в высшей	3	2
136	с ним	3	2
137	поэтому он	2	2
138	и там	6	2
139	если он	2	2
140	у него	22	2
141	были бы	2	2
142	но когда	2	2
143	в такой	3	2
144	интерес к	2	2
145	для нашей	2	2
146	у нас	11	2
147	мысль что	4	2
148	чем в	2	2
149	она не	8	2
150	означает что	4	2
151	в своей	5	2
152	другим и	2	2
153	еще в	2	2
154	ее в	2	2
155	а в	2	2
156	но с	2	2
157	вот почему	2	2
158	у них	4	2
159	нас в	2	2
160	к которому	3	2
161	что они	3	2
