N	2gram	Ircho_Kome_2	RusskieA
1	и в	26	36
2	не только	7	22
3	что в	9	19
4	том что	9	19
5	в том	11	17
6	но и	10	16
7	так как	4	15
8	во время	6	14
9	и другие	2	13
10	в этом	10	12
11	в других	2	11
12	это не	2	10
13	как мы	4	10
14	как и	4	10
15	и т	2	10
16	вместе с	9	10
17	и на	7	10
18	потому что	6	10
19	об этом	2	9
20	а в	3	9
21	с тем	5	8
22	из них	7	8
23	может быть	11	8
24	один из	5	8
25	о том	6	8
26	как это	4	8
27	что и	7	7
28	так и	12	7
29	между тем	4	7
30	и не	14	6
31	для нас	3	6
32	в них	4	6
33	таким образом	6	6
34	мы не	2	6
35	все это	3	6
36	не имеет	3	6
37	то что	6	6
38	все же	4	5
39	как будто	4	5
40	как бы	2	5
41	в течение	2	5
42	и у	2	5
43	с ними	2	5
44	одно из	2	5
45	как в	3	5
46	того как	3	5
47	тому что	4	4
48	из этих	4	4
49	к этому	5	4
50	с собой	2	4
51	в тех	3	4
52	к тому	12	4
53	что на	3	4
54	в г	17	4
55	одна из	2	4
56	после этого	2	4
57	еще не	6	4
58	связи с	3	4
59	еще в	4	4
60	во всех	3	4
61	и их	3	4
62	в их	3	4
63	так в	2	4
64	не может	3	4
65	в связи	3	4
66	мы имеем	2	4
67	и что	2	4
68	тем что	3	4
69	только в	4	4
70	что по	2	4
71	не менее	4	3
72	о чем	3	3
73	что это	4	3
74	в этих	4	3
75	в качестве	5	3
76	в своем	6	3
77	но все	3	3
78	в одном	2	3
79	представление о	2	3
80	так называемой	3	3
81	в поле	3	3
82	и к	2	3
83	на этом	2	3
84	в это	2	3
85	как правило	3	3
86	по содержанию	2	3
87	если в	2	3
88	или на	2	3
89	также в	2	3
90	в середине	4	3
91	то же	3	3
92	в уже	2	3
93	на этот	4	3
94	ко времени	3	3
95	точки зрения	4	3
96	не было	3	2
97	независимо от	5	2
98	в частности	4	2
99	в нашем	2	2
100	что у	4	2
101	с этим	5	2
102	в каждом	3	2
103	в образе	3	2
104	что именно	2	2
105	в нем	6	2
106	у него	4	2
107	интерес к	3	2
108	в в	4	2
109	он был	2	2
110	так что	5	2
111	в силу	2	2
112	но не	3	2
113	как известно	2	2
114	после того	2	2
115	отнюдь не	2	2
116	чем в	2	2
117	например в	3	2
118	в ней	3	2
119	на что	2	2
120	в его	4	2
121	в доме	6	2
122	ii в	4	2
123	и с	5	2
124	в целом	4	2
125	как не	2	2
126	судя по	4	2
127	с г	2	2
128	что она	2	2
129	этого времени	2	2
130	в какой	2	2
131	и для	4	2
132	или в	3	2
133	в древней	4	2
134	тут же	2	2
135	мы можем	3	2
136	хотя и	4	2
137	должна была	2	2
138	на себя	7	2
139	это время	3	2
140	и здесь	6	2
141	но в	3	2
142	в один	2	2
143	как он	3	2
144	и поэтому	3	2
145	же не	2	2
