N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	45
2	то есть	46	25
3	и не	42	15
4	не только	9	14
5	в этом	15	14
6	но в	4	14
7	в его	43	13
8	во всех	11	13
9	и его	16	13
10	как бы	22	12
11	что в	7	12
12	в своем	5	11
13	в романе	4	11
14	то же	5	11
15	в то	4	11
16	прежде всего	13	10
17	в том	8	10
18	в нем	15	10
19	но и	9	10
20	как и	7	10
21	и с	17	10
22	же время	3	9
23	вовсе не	2	8
24	как мы	7	8
25	с миром	4	8
26	в ней	4	8
27	и др	8	8
28	таким образом	10	8
29	в самой	2	8
30	с его	2	7
31	том что	3	7
32	не в	7	7
33	что и	2	7
34	все это	3	7
35	также и	3	7
36	и все	3	7
37	на мир	2	7
38	что он	2	6
39	он не	3	6
40	здесь не	4	6
41	так и	5	6
42	того чтобы	2	6
43	для того	2	6
44	связи с	2	6
45	в них	5	6
46	с ним	5	5
47	и к	3	5
48	одной из	3	5
49	но это	3	5
50	на этом	2	5
51	со всеми	3	5
52	например в	3	5
53	хотя и	3	5
54	от всех	4	5
55	не может	27	5
56	в связи	2	5
57	этом отношении	2	5
58	все эти	5	5
59	форм и	2	5
60	на самом	4	5
61	в себя	2	5
62	самом деле	6	5
63	и у	2	5
64	и как	8	5
65	и на	3	5
66	его в	9	5
67	все они	5	4
68	и во	2	4
69	и от	3	4
70	и здесь	2	4
71	его как	3	4
72	но не	12	4
73	здесь в	2	4
74	ничего не	6	4
75	кроме того	3	4
76	по поводу	2	4
77	в самом	7	4
78	и о	5	4
79	известной степени	4	4
80	в их	10	4
81	а не	5	4
82	и даже	3	4
83	его не	2	4
84	а в	6	4
85	можно было	4	4
86	сказать что	4	4
87	в основе	5	4
88	точки зрения	8	4
89	только в	13	4
90	о том	4	4
91	связаны с	2	4
92	и это	3	4
93	как это	2	4
94	не менее	4	3
95	и другие	2	3
96	характерно для	2	3
97	как в	4	3
98	вообще не	7	3
99	это не	5	3
100	но они	4	3
101	единство и	2	3
102	здесь же	2	3
103	ни в	11	3
104	здесь все	2	3
105	по существу	2	3
106	в своей	7	3
107	дело идет	2	3
108	здесь нет	2	3
109	но она	2	3
110	связь с	3	3
111	и прежде	5	3
112	не было	2	3
113	этот момент	2	3
114	с помощью	7	3
115	того что	2	3
116	и он	2	3
117	менее всего	3	3
118	не имеет	9	3
119	и для	11	3
120	нуждается в	2	3
121	в другом	2	3
122	в поэзии	9	3
123	дело в	2	3
124	там где	6	3
125	не могут	2	2
126	независимо от	13	2
127	на фоне	3	2
128	и есть	2	2
129	себя и	3	2
130	говорить о	3	2
131	хотя бы	4	2
132	относится к	4	2
133	он должен	2	2
134	чтобы его	2	2
135	перестает быть	4	2
136	за его	3	2
137	что все	2	2
138	к этому	2	2
139	можно сказать	2	2
140	не нуждается	2	2
141	слова но	3	2
142	человеческой культуры	6	2
143	отличие от	5	2
144	в начале	2	2
145	то что	8	2
146	др в	2	2
147	в пределах	6	2
148	в большинстве	5	2
149	со словом	5	2
150	из важнейших	3	2
151	было бы	8	2
152	что это	2	2
153	несмотря на	3	2
154	конечно не	5	2
155	может быть	26	2
156	том же	2	2
157	нет и	3	2
158	произведение в	6	2
159	должен быть	2	2
160	в каждом	2	2
161	слова и	3	2
162	все же	6	2
163	в целом	3	2
164	на него	3	2
165	не будем	3	2
166	данном случае	4	2
167	что эта	2	2
168	в отличие	5	2
169	и только	4	2
170	в особенности	2	2
171	при этом	5	2
172	чем не	2	2
173	в истории	2	2
174	можно говорить	2	2
175	лишь в	2	2
176	и что	2	2
177	в значительной	2	2
178	и наконец	6	2
179	с точки	6	2
180	к нему	10	2
181	рядом с	5	2
182	языка но	2	2
183	в данном	4	2
184	конечно и	4	2
185	между тем	7	2
186	мы можем	6	2
187	в известной	3	2
188	и вообще	2	2
189	же самое	2	2
190	большинстве случаев	5	2
191	в чем	2	2
192	оно было	2	2
193	том как	2	2
