N	2gram	Tiupa_Vved_1	VerxiiNi
1	и в	13	26
2	таким образом	4	22
3	в этом	21	15
4	как бы	4	12
5	в том	10	11
6	может быть	18	10
7	не только	20	10
8	и с	2	10
9	из этих	3	10
10	что в	3	9
11	но и	19	9
12	в области	3	9
13	с другой	5	8
14	но не	5	8
15	и не	12	8
16	том что	7	7
17	одной стороны	5	7
18	то что	6	7
19	а с	2	7
20	с одной	5	7
21	потому что	5	7
22	но в	6	7
23	к тому	6	6
24	что и	2	6
25	все же	6	6
26	так и	8	6
27	в себе	5	6
28	и т.д	5	6
29	о том	5	6
30	и к	2	5
31	тому же	4	5
32	отношение к	2	5
33	в его	4	5
34	никогда не	4	5
35	или менее	2	5
36	лишь в	2	5
37	а не	15	5
38	не имеет	2	5
39	в силу	2	5
40	и для	3	5
41	в мире	8	5
42	более или	2	5
43	в этих	3	4
44	и от	2	4
45	в нем	5	4
46	в самом	2	4
47	в котором	8	4
48	целый ряд	2	4
49	не может	7	4
50	а в	6	4
51	то же	5	4
52	и по	3	4
53	он не	3	4
54	в то	4	4
55	только в	6	4
56	то есть	8	4
57	далеко не	4	4
58	не менее	4	3
59	в рамках	4	3
60	если бы	7	3
61	как о	2	3
62	к этому	2	3
63	можно сказать	4	3
64	для него	3	3
65	представляет собой	15	3
66	в своем	5	3
67	в качестве	8	3
68	к ним	2	3
69	не вполне	3	3
70	если в	2	3
71	тем не	3	3
72	отношению к	7	3
73	при этом	26	3
74	уже не	5	3
75	того что	6	3
76	или иначе	2	3
77	в результате	3	3
78	начиная с	3	2
79	состоит в	10	2
80	в них	2	2
81	не как	2	2
82	но при	5	2
83	прежде всего	7	2
84	не всегда	2	2
85	в свою	4	2
86	или иной	3	2
87	а также	8	2
88	к его	3	2
89	мы видели	2	2
90	в начале	3	2
91	по своему	2	2
92	все что	3	2
93	же время	3	2
94	связано с	3	2
95	что мы	2	2
96	ли это	2	2
97	еще не	7	2
98	вслед за	2	2
99	той или	3	2
100	не могло	2	2
101	один из	3	2
102	не с	3	2
103	не к	4	2
104	жизни и	7	2
105	во всех	2	2
106	и сами	2	2
107	быть и	2	2
108	по своим	3	2
109	приводит к	2	2
110	не было	2	2
111	этом отношении	4	2
112	те же	2	2
113	мы имеем	5	2
114	свидетельствует о	4	2
115	одним из	5	2
116	и на	3	2
117	не в	6	2
118	мы можем	2	2
119	и наконец	2	2
120	по своей	3	2
121	о котором	2	2
122	и все	4	2
123	к которому	2	2
