N	2gram	Voloshinov_1	Vvedenie
1	и в	38	32
2	в том	2	31
3	в этом	10	30
4	может быть	13	26
5	том что	3	26
6	не только	27	22
7	для того	9	21
8	того чтобы	7	20
9	таким образом	7	19
10	также и	2	18
11	то что	8	16
12	потому что	5	15
13	так как	7	15
14	не может	12	14
15	в самом	4	13
16	в нем	4	13
17	о том	4	13
18	того что	4	12
19	и не	14	12
20	представляет собой	2	12
21	в его	6	12
22	только в	6	12
23	как мы	9	11
24	что такое	4	11
25	ясно что	2	11
26	в ее	3	11
27	языка и	4	10
28	но в	5	9
29	и как	9	9
30	между тем	3	9
31	то же	14	9
32	в той	5	9
33	это не	3	8
34	не в	6	8
35	прежде всего	21	7
36	вопрос о	2	7
37	смысле этого	2	7
38	точки зрения	10	7
39	но не	2	7
40	было бы	7	7
41	все же	7	7
42	как нечто	2	7
43	самом деле	4	7
44	можно было	4	7
45	же время	7	6
46	один из	4	6
47	но и	13	6
48	все это	4	6
49	и даже	3	6
50	в то	9	6
51	его в	4	6
52	с тем	8	6
53	представить себе	3	6
54	вовсе не	2	6
55	как и	10	6
56	в качестве	4	6
57	сих пор	2	6
58	хотя бы	18	6
59	и его	7	6
60	этот вопрос	2	6
61	тем что	2	6
62	и это	7	6
63	уже в	5	5
64	в какой	2	5
65	иное как	2	5
66	как бы	28	5
67	и тем	6	5
68	в целом	4	5
69	в которых	2	5
70	сказать что	3	5
71	как например	2	5
72	об этом	3	5
73	по своему	3	5
74	вместе с	5	5
75	а не	6	5
76	независимо от	5	4
77	как уже	2	4
78	этом случае	3	4
79	времени и	2	4
80	в котором	3	4
81	этот процесс	2	4
82	этом отношении	2	4
83	еще и	2	4
84	не просто	2	4
85	а в	5	4
86	даже и	2	4
87	что иное	2	4
88	но ведь	6	4
89	как это	5	4
90	мы имеем	2	4
91	в разных	3	4
92	что он	2	4
93	не что	4	4
94	еще не	3	4
95	в своей	2	4
96	уже не	4	4
97	и для	3	4
98	той же	5	4
99	и то	3	4
100	в себе	9	4
101	и т.д	21	4
102	зависит от	2	3
103	что это	4	3
104	в частности	3	3
105	в этих	2	3
106	в конце	6	3
107	бы и	2	3
108	можно сказать	4	3
109	к тому	4	3
110	да и	4	3
111	но все	4	3
112	в этой	6	3
113	но что	3	3
114	при этом	9	3
115	хотя и	3	3
116	в ней	8	3
117	в виду	3	3
118	к нему	2	3
119	и уже	3	3
120	мы видели	5	3
121	отношение к	2	3
122	во второй	3	3
123	из них	3	3
124	язык и	9	3
125	все эти	2	3
126	и вот	3	3
127	так же	4	3
128	и на	6	3
129	языка в	2	3
130	в начале	3	3
131	свое выражение	2	3
132	культурного развития	2	3
133	если бы	4	3
134	однако в	2	3
135	так называемой	4	3
136	к этому	2	3
137	и к	4	3
138	связи с	3	3
139	одной из	2	3
140	в одном	3	3
141	гораздо более	2	3
142	должен быть	2	3
143	что и	3	3
144	что же	8	3
145	в каком	2	3
146	и вообще	2	3
147	или как	6	3
148	ответ на	2	3
149	в области	5	3
150	как только	4	2
151	все время	5	2
152	до того	3	2
153	никогда не	7	2
154	тому что	5	2
155	в отношении	2	2
156	само собой	4	2
157	мы называем	4	2
158	или иной	4	2
159	не нужно	2	2
160	в дальнейшем	2	2
161	но это	2	2
162	и сам	2	2
163	несмотря на	2	2
164	и той	5	2
165	из двух	2	2
166	или группы	2	2
167	не к	3	2
168	не говоря	2	2
169	природы и	2	2
170	от того	3	2
171	в форме	6	2
172	в связи	2	2
173	не было	2	2
174	с помощью	6	2
175	не мог	3	2
176	должно быть	2	2
177	каждый из	2	2
178	и с	5	2
179	и так	6	2
180	с этим	2	2
181	нуждается в	2	2
182	той или	3	2
183	и здесь	3	2
184	же самое	5	2
185	конце концов	3	2
186	когда мы	6	2
187	бы в	5	2
188	так и	6	2
189	не существует	4	2
190	ни к	2	2
191	для них	2	2
192	от которых	2	2
193	есть не	2	2
194	не с	3	2
195	у нас	4	2
196	и при	2	2
197	должна была	2	2
198	во всех	6	2
199	что мы	11	2
200	мы должны	10	2
201	жизни и	3	2
202	мы уже	10	2
203	себе и	2	2
204	литературное произведение	2	2
205	этого слова	3	2
206	и развития	3	2
207	так называемые	4	2
208	с ней	2	2
209	только на	3	2
210	и всего	2	2
211	и тогда	2	2
212	вряд ли	3	2
213	связь между	2	2
214	язык в	6	2
215	одной и	2	2
216	деятельности и	3	2
217	в значительной	2	2
218	из которых	3	2
219	между ними	3	2
220	с точки	5	2
221	мы не	9	2
222	у них	2	2
223	мы можем	7	2
224	выражение в	3	2
225	здесь не	2	2
226	ничего не	8	2
