N	2gram	Vinokur_Ku_3	Poddanst
1	не только	17	17
2	и в	23	14
3	и не	10	12
4	в области	14	11
5	в отношении	3	10
6	в этом	16	10
7	то же	6	9
8	в том	22	9
9	в качестве	2	9
10	но в	2	9
11	хотя бы	9	8
12	в пределах	2	8
13	в то	3	7
14	только в	6	7
15	но и	3	6
16	в ней	3	6
17	xix века	3	6
18	было бы	16	6
19	с другой	7	5
20	не в	5	5
21	в которых	3	5
22	и пр	3	5
23	и о	4	5
24	может быть	14	5
25	в котором	2	4
26	то что	4	4
27	что в	13	4
28	если бы	8	4
29	в своем	4	4
30	не может	6	4
31	но также	5	4
32	по себе	6	4
33	и к	3	4
34	а в	5	4
35	том что	11	4
36	большей степени	2	4
37	мы должны	3	4
38	и если	2	4
39	а также	4	4
40	как бы	5	4
41	и т	54	3
42	с тем	6	3
43	в россии	2	3
44	она есть	2	3
45	и без	2	3
46	столь же	4	3
47	это не	3	3
48	с одной	4	3
49	т е	32	3
50	прежде всего	9	3
51	заключается в	4	3
52	тем самым	4	3
53	для того	12	3
54	с точки	16	3
55	мы не	3	3
56	и как	2	3
57	между тем	4	3
58	но не	3	3
59	могут быть	6	3
60	точки зрения	23	3
61	что мы	2	3
62	тот же	6	3
63	одной стороны	4	3
64	потому что	12	3
65	хотя и	5	3
66	я и	3	3
67	не менее	12	2
68	том числе	2	2
69	и тем	6	2
70	именно в	3	2
71	и есть	5	2
72	в частности	2	2
73	время в	3	2
74	не будем	5	2
75	отнюдь не	3	2
76	тем более	5	2
77	все это	2	2
78	как раз	4	2
79	не столько	4	2
80	между прочим	8	2
81	главным образом	2	2
82	еще более	2	2
83	и вот	3	2
84	а не	11	2
85	того что	11	2
86	точек зрения	2	2
87	должно быть	7	2
88	для нас	4	2
89	в ее	4	2
90	как на	8	2
91	говорить о	6	2
92	есть не	3	2
93	в русском	2	2
94	которое в	2	2
95	в силу	6	2
96	не было	4	2
97	более чем	2	2
98	в общем	6	2
99	потому в	2	2
100	в статье	2	2
101	в ряду	3	2
102	никак не	2	2
103	не о	2	2
104	в его	11	2
105	и с	3	2
