N	2gram	Bakhtin_Fr_3	DiskursI
1	не только	13	28
2	в том	8	23
3	а не	5	22
4	то есть	18	20
5	том что	4	19
6	может быть	9	17
7	и в	40	16
8	как и	11	16
9	в этом	15	15
10	еще не	3	14
11	но и	11	14
12	при этом	3	13
13	и т.п	10	12
14	прежде всего	16	11
15	но не	2	11
16	и не	13	11
17	с другой	2	10
18	как в	3	10
19	далеко не	2	10
20	в частности	3	9
21	в нем	5	9
22	отношению к	2	9
23	по отношению	3	9
24	не может	3	9
25	а также	4	8
26	своего рода	2	8
27	так и	3	8
28	о том	4	8
29	но в	8	8
30	в основе	5	7
31	в его	13	7
32	то же	7	7
33	не было	5	7
34	роль в	4	7
35	в себе	3	7
36	только в	3	7
37	в своем	7	6
38	и как	3	6
39	или иной	2	5
40	можно сказать	2	5
41	как бы	3	5
42	в котором	2	5
43	в своей	6	5
44	то что	5	5
45	во всех	6	5
46	в отличие	3	5
47	а в	3	5
48	в их	4	5
49	в эпоху	8	5
50	отличие от	3	5
51	и на	8	5
52	в данном	4	5
53	с его	3	4
54	что в	12	4
55	в них	9	4
56	и к	3	4
57	что он	2	4
58	для него	5	4
59	в истории	4	4
60	в целом	2	4
61	же время	6	4
62	одной из	2	4
63	связи с	6	4
64	на его	2	4
65	такого рода	3	4
66	и о	4	4
67	отношение к	8	4
68	в особенности	5	4
69	лишь в	2	4
70	потому что	2	4
71	между тем	3	4
72	того же	2	3
73	это не	2	3
74	что и	3	3
75	в ее	3	3
76	времени и	2	3
77	они и	2	3
78	с этим	2	3
79	в самом	6	3
80	той или	2	3
81	еще в	3	3
82	один из	4	3
83	хотя бы	2	3
84	все же	2	3
85	из них	4	3
86	таким образом	10	3
87	именно в	2	3
88	должны быть	2	3
89	и даже	4	3
90	в своих	5	3
91	сказать что	3	3
92	тем что	3	3
93	точки зрения	2	3
94	в то	6	3
95	также и	4	3
96	и потому	4	3
97	слова в	2	2
98	не менее	2	2
99	и есть	3	2
100	одновременно и	2	2
101	том числе	3	2
102	и во	4	2
103	или меньшей	3	2
104	и все	9	2
105	в одном	7	2
106	одного из	2	2
107	это в	2	2
108	к этому	6	2
109	для понимания	3	2
110	в году	5	2
111	в литературе	5	2
112	об этом	3	2
113	как его	2	2
114	основе своей	2	2
115	в значительной	3	2
116	на этом	2	2
117	смысл в	2	2
118	числе и	2	2
119	большей или	3	2
120	чем он	2	2
121	в начале	3	2
122	в сущности	9	2
123	значительной степени	2	2
124	одним из	2	2
125	о нем	3	2
126	и др	7	2
127	например в	2	2
128	в культуре	4	2
129	дело не	3	2
130	в форме	2	2
131	данном случае	2	2
132	хотя в	2	2
133	уже в	2	2
134	как мы	10	2
135	свидетельствует о	2	2
136	эпохи и	2	2
137	и его	17	2
138	здесь в	4	2
139	характер и	2	2
140	наших дней	2	2
141	и ее	2	2
142	но как	2	2
143	в другом	3	2
144	на протяжении	3	2
145	в этой	3	2
146	так сказать	5	2
147	они не	3	2
148	в виду	7	2
149	о чем	2	2
