N	2gram	Berdyaev_N_1	Dialekti
1	не есть	3	54
2	и не	11	27
3	а не	17	26
4	и в	16	24
5	значит что	4	24
6	не только	5	23
7	что такое	3	21
8	не может	16	19
9	и есть	10	16
10	и что	2	15
11	что все	2	14
12	то что	4	14
13	может быть	7	13
14	и даже	2	13
15	не менее	4	11
16	не имеет	4	11
17	не существует	3	10
18	ни в	6	9
19	но и	3	9
20	что она	2	9
21	прежде всего	4	8
22	это есть	7	8
23	том что	2	8
24	в этом	7	8
25	что в	9	7
26	никогда не	6	7
27	я уже	2	7
28	потому что	4	7
29	это и	2	7
30	как и	7	7
31	я не	2	6
32	должна быть	3	6
33	все это	5	6
34	и с	2	6
35	о том	4	6
36	и все	4	6
37	и пр	3	6
38	в том	8	5
39	но это	6	5
40	хотя и	2	5
41	жизни и	8	5
42	в то	2	5
43	как это	2	5
44	в них	4	5
45	вопрос о	3	5
46	и к	5	5
47	он не	8	5
48	так и	2	5
49	уже не	2	5
50	мы не	2	5
51	от всякого	2	5
52	с другой	3	4
53	это не	4	4
54	к тому	3	4
55	истории мы	2	4
56	хотя бы	2	4
57	так же	2	4
58	время как	2	4
59	сказать что	3	4
60	если нет	2	4
61	нет и	2	4
62	в истории	3	4
63	истории и	9	4
64	конечно не	3	4
65	тому как	3	4
66	подобно тому	3	4
67	и это	2	4
68	быть может	4	3
69	не было	4	3
70	все время	2	3
71	за пределы	3	3
72	и от	2	3
73	не в	6	3
74	есть в	2	3
75	она не	3	3
76	одной стороны	2	3
77	в основе	3	3
78	в нем	5	3
79	это было	3	3
80	с одной	2	3
81	все эти	2	3
82	должно быть	4	3
83	и на	2	3
84	с этим	2	3
85	мир и	2	3
86	ни к	2	3
87	мира и	2	3
88	одна из	2	3
89	не значит	3	3
90	но она	2	3
91	не будет	7	3
92	не знает	6	3
93	зависит от	2	2
94	же как	2	2
95	верить в	3	2
96	в смысле	2	2
97	еще не	3	2
98	но для	2	2
99	не имеют	2	2
100	другой стороны	2	2
101	для этого	2	2
102	мы говорим	2	2
103	а в	2	2
104	и формы	2	2
105	в ней	5	2
106	и потому	4	2
107	когда мы	2	2
108	но в	2	2
109	истории не	3	2
110	с его	6	2
111	у него	2	2
112	перестает быть	4	2
113	нового времени	12	2
114	призыв к	2	2
115	думать что	2	2
116	по существу	2	2
117	но не	2	2
118	от бога	6	2
119	в природе	2	2
120	себя в	2	2
121	как не	8	2
122	история в	3	2
123	бытия в	2	2
124	и для	4	2
125	могут быть	2	2
126	в себе	2	2
127	более не	2	2
