N	2gram	Potebnia_M_4	OGranits
1	и в	23	13
2	и его	2	12
3	не может	11	8
4	и не	18	8
5	может быть	26	8
6	и их	3	7
7	точки зрения	4	7
8	в его	5	7
9	таким образом	24	6
10	не только	10	6
11	то что	29	6
12	только в	15	6
13	мы должны	2	6
14	как бы	5	6
15	с точки	3	5
16	языка и	3	5
17	хотя бы	4	5
18	в поэзии	3	5
19	в процессе	3	5
20	то же	14	4
21	тех пор	6	4
22	но мы	2	4
23	до тех	6	4
24	все это	5	4
25	в каждом	3	4
26	в двух	2	4
27	лишь в	3	4
28	мы не	8	4
29	мы можем	10	4
30	было бы	8	4
31	в сознании	4	4
32	но в	8	4
33	пор пока	2	3
34	отношению к	8	3
35	что в	17	3
36	никогда не	3	3
37	но и	11	3
38	так и	6	3
39	что же	5	3
40	по отношению	10	3
41	не как	2	3
42	и все	4	3
43	в одном	4	3
44	превращается в	2	3
45	здесь мы	2	3
46	самом деле	3	3
47	к одному	3	3
48	в ее	2	3
49	да и	4	3
50	поэтического произведения	5	3
51	тела и	2	3
52	как и	14	3
53	не в	11	3
54	в которой	6	3
55	и то	5	3
56	в себе	14	3
57	в искусстве	3	3
58	говорить о	5	3
59	с этим	7	3
60	и для	2	3
61	так как	14	3
62	слово в	4	3
63	не менее	5	2
64	и др	2	2
65	уже в	5	2
66	а как	2	2
67	самого начала	2	2
68	и тем	4	2
69	в нем	7	2
70	может иметь	2	2
71	о языке	2	2
72	данном случае	2	2
73	а не	12	2
74	художественное произведение	2	2
75	думать что	4	2
76	отношений между	2	2
77	но так	2	2
78	с другой	2	2
79	в языке	16	2
80	в них	3	2
81	а в	5	2
82	в течение	2	2
83	все эти	3	2
84	вовсе не	7	2
85	те же	3	2
86	есть не	4	2
87	к тому	3	2
88	и к	6	2
89	как в	7	2
90	если бы	13	2
91	не имеет	5	2
92	в том	23	2
93	что иное	2	2
94	так же	4	2
95	том что	12	2
96	мы видим	2	2
97	с ними	3	2
98	в ряд	2	2
99	в своих	2	2
100	в данном	4	2
101	в этом	23	2
102	тем что	10	2
103	между тем	9	2
104	и следовательно	3	2
105	могут быть	7	2
106	при этом	15	2
107	не что	2	2
108	для него	5	2
109	тот же	2	2
110	и может	4	2
111	в действительности	3	2
112	мы уже	3	2
113	слова и	5	2
114	в области	2	2
115	нет ничего	3	2
116	в самом	3	2
117	и при	2	2
118	там где	3	2
119	представлений и	2	2
120	бы в	2	2
121	между собою	4	2
122	в ней	2	2
123	иное как	2	2
