N	2gram	Vygotskiy__4	Myslijsy
1	потому что	24	46
2	то есть	13	34
3	в том	21	32
4	и в	33	30
5	может быть	22	28
6	то же	9	23
7	не только	7	21
8	только в	4	21
9	для нас	7	20
10	но и	3	19
11	том что	22	18
12	то что	44	18
13	того что	4	18
14	что в	21	17
15	по себе	9	16
16	в себе	6	16
17	не в	2	15
18	и не	13	15
19	а не	6	15
20	таким образом	13	14
21	что и	3	13
22	так как	12	13
23	точно так	3	12
24	вместе с	8	12
25	а в	4	12
26	если бы	10	12
27	этого слова	3	11
28	так и	3	11
29	что оно	3	11
30	как и	5	10
31	как в	3	10
32	и что	25	10
33	в этом	28	10
34	в то	3	10
35	из этих	2	9
36	было бы	12	9
37	в нем	7	9
38	мы не	5	9
39	в самом	12	8
40	в ней	6	8
41	что не	4	8
42	только что	15	8
43	что мы	6	8
44	и то	2	8
45	смысле этого	3	7
46	с другой	2	7
47	вовсе не	5	7
48	к тому	12	7
49	как мы	4	7
50	так что	7	7
51	с тем	4	7
52	но не	3	7
53	с одной	3	7
54	тем самым	3	7
55	тем что	3	7
56	что он	20	6
57	с этим	5	6
58	из них	4	6
59	например в	3	6
60	то это	3	6
61	те же	2	6
62	указывает на	3	6
63	не может	10	6
64	не имеет	2	6
65	с ним	5	6
66	уже в	2	5
67	одно из	2	5
68	в них	2	5
69	думать что	2	5
70	в каком	8	5
71	и как	5	5
72	же время	2	5
73	в своем	7	5
74	в действительности	2	5
75	есть только	2	5
76	должно быть	3	5
77	как на	6	5
78	тому как	2	5
79	сказать что	13	5
80	сам по	2	5
81	и т	6	5
82	слова и	4	5
83	что это	13	4
84	а b	4	4
85	столь же	2	4
86	и от	2	4
87	одной и	2	4
88	для понимания	2	4
89	что именно	3	4
90	все это	13	4
91	то время	2	4
92	b с	4	4
93	в его	10	4
94	была бы	2	4
95	в котором	2	4
96	не все	2	4
97	один из	2	4
98	другой стороны	2	4
99	бы не	2	4
100	и его	5	4
101	он не	11	4
102	не было	3	4
103	для того	23	4
104	что для	5	4
105	по поводу	4	4
106	мы должны	6	4
107	далеко не	3	4
108	и это	5	4
109	и потому	2	4
110	слово в	2	4
111	место в	2	3
112	и есть	4	3
113	тому что	6	3
114	прежде всего	2	3
115	и все	12	3
116	что все	11	3
117	к этому	4	3
118	связь с	5	3
119	не можем	3	3
120	именно в	2	3
121	не будет	4	3
122	мы можем	5	3
123	что при	2	3
124	до сих	3	3
125	можно сказать	2	3
126	одной стороны	3	3
127	при этом	2	3
128	и может	5	3
129	вслед за	3	3
130	никак не	6	3
131	что она	10	3
132	как бы	25	3
133	никто не	4	3
134	в целом	5	3
135	на него	4	3
136	со стороны	2	3
137	в словах	2	3
138	т д	2	3
139	тем и	2	3
140	того чтобы	22	3
141	к другой	2	3
142	так же	13	3
143	в таком	4	3
144	и на	5	3
145	с но	3	3
146	образом в	2	3
147	в искусстве	2	3
148	говорить о	3	3
149	его в	3	3
150	в которой	4	3
151	не то	4	3
152	это было	4	3
153	том как	3	3
154	сих пор	3	3
155	только не	2	2
156	перед нами	6	2
157	что ни	2	2
158	во время	6	2
159	но все	2	2
160	заключить что	2	2
161	и та	2	2
162	об этом	4	2
163	заставляет нас	2	2
164	бы мы	3	2
165	связи с	2	2
166	на нас	4	2
167	в какой	5	2
168	так например	4	2
169	та же	3	2
170	в одном	3	2
171	это в	4	2
172	на все	2	2
173	нам кажется	2	2
174	а как	2	2
175	на то	10	2
176	сама по	3	2
177	в ее	2	2
178	мы видим	6	2
179	в этой	9	2
180	что они	6	2
181	у него	6	2
182	могла бы	4	2
183	она не	3	2
184	и мы	15	2
185	и если	9	2
186	и той	2	2
187	он говорит	3	2
188	том чтобы	4	2
189	и о	4	2
190	и почему	2	2
191	мысли о	2	2
192	должно было	2	2
193	мы уже	5	2
194	был бы	3	2
195	даже в	2	2
196	с таким	2	2
197	но мы	2	2
198	все же	5	2
199	от одной	2	2
200	жизни и	4	2
201	в своей	4	2
202	и до	3	2
203	в их	2	2
204	целый ряд	5	2
205	т п	3	2
206	в виде	3	2
207	а с	2	2
208	что поэт	2	2
209	быть не	2	2
210	это и	5	2
211	самом деле	12	2
212	и наконец	2	2
213	той же	4	2
214	слов в	2	2
215	в которых	3	2
216	с этой	4	2
217	их в	3	2
218	ни в	3	2
219	от этого	3	2
220	эти слова	3	2
221	точки зрения	6	2
222	еще раз	3	2
223	о том	20	2
224	что эта	6	2
225	когда мы	6	2
226	нет ни	3	2
227	и с	2	2
