N	2gram	Voloshinov_1	Myslijsy
1	то есть	4	34
2	потому что	5	33
3	то что	8	29
4	может быть	13	26
5	таким образом	7	24
6	в том	2	23
7	и в	38	23
8	в этом	10	23
9	в слове	3	22
10	и не	14	18
11	при этом	9	15
12	только в	6	15
13	для нас	3	14
14	как и	10	14
15	в себе	9	14
16	то же	14	14
17	того что	4	14
18	так как	7	14
19	если бы	4	13
20	том что	3	12
21	не было	2	12
22	а не	6	12
23	но и	13	11
24	не в	6	11
25	не может	12	11
26	и потому	2	10
27	что мы	11	10
28	не только	27	10
29	тем что	2	10
30	мы можем	7	10
31	между тем	3	9
32	было бы	7	8
33	другими словами	7	8
34	заключает в	4	8
35	мы не	9	8
36	сказать что	3	8
37	о том	4	8
38	но в	5	8
39	с тем	8	7
40	что это	4	7
41	это не	3	7
42	в нем	4	7
43	что и	3	7
44	что язык	5	7
45	очевидно что	2	7
46	вовсе не	2	7
47	как в	2	7
48	с этим	2	7
49	что такое	4	7
50	этого слова	3	7
51	независимо от	5	6
52	и к	4	6
53	для того	9	6
54	вместе с	5	6
55	тем и	2	6
56	когда мы	6	6
57	заметить что	2	6
58	в которой	7	6
59	так и	6	6
60	уже в	5	5
61	только тогда	2	5
62	для него	3	5
63	хотя и	3	5
64	в его	6	5
65	как бы	28	5
66	к нему	2	5
67	этом случае	3	5
68	бы и	2	5
69	что же	8	5
70	все это	4	5
71	допустим что	2	5
72	язык не	3	5
73	должно быть	2	5
74	а в	5	5
75	с ним	2	5
76	и то	3	5
77	слова и	5	5
78	так сказать	4	5
79	и все	4	4
80	быть может	3	4
81	что он	2	4
82	есть не	2	4
83	можно сказать	4	4
84	в одном	3	4
85	если б	4	4
86	от того	3	4
87	в котором	3	4
88	и тем	6	4
89	между ними	3	4
90	сих пор	2	4
91	да и	4	4
92	только на	3	4
93	слово в	2	4
94	в той	5	4
95	только потому	2	4
96	тем самым	7	4
97	того чтобы	7	4
98	хотя бы	18	4
99	так же	4	4
100	с другими	2	4
101	слов в	4	4
102	точки зрения	10	4
103	в каком	2	4
104	в сознании	3	4
105	в то	9	4
106	же самое	5	4
107	его в	4	4
108	мы имеем	2	4
109	и с	5	4
110	это слово	2	4
111	слова в	5	3
112	до того	3	3
113	себе в	2	3
114	никогда не	7	3
115	связи с	3	3
116	в этих	2	3
117	не всегда	2	3
118	членораздельный звук	2	3
119	но это	2	3
120	не будет	3	3
121	же время	7	3
122	кроме того	2	3
123	еще не	3	3
124	было в	4	3
125	мы уже	10	3
126	к тому	4	3
127	на его	5	3
128	в самом	4	3
129	и следовательно	5	3
130	языком и	3	3
131	мы в	3	3
132	в виду	3	3
133	и их	5	3
134	нет ничего	2	3
135	в процессе	6	3
136	языка и	4	3
137	в нас	2	3
138	связь между	2	3
139	бы не	2	3
140	той же	5	3
141	в разных	3	3
142	все эти	2	3
143	что у	3	3
144	те же	4	3
145	на самом	3	3
146	уже не	4	3
147	слова не	2	3
148	лишь в	4	3
149	самом деле	4	3
150	слово и	3	3
151	что то	2	3
152	и на	6	3
153	этот вопрос	2	3
154	ответить на	2	3
155	в которых	2	3
156	их в	3	3
157	то мы	3	3
158	и так	6	3
159	даже и	2	3
160	с точки	5	3
161	что эти	2	3
162	не существует	4	2
163	в голову	3	2
164	самого начала	4	2
165	иное как	2	2
166	и как	9	2
167	но даже	2	2
168	в нашем	5	2
169	помощи языка	2	2
170	и без	4	2
171	тому что	5	2
172	то он	3	2
173	связь и	3	2
174	без языка	2	2
175	языка в	2	2
176	представить себе	3	2
177	вопрос о	2	2
178	этом мы	3	2
179	человек не	2	2
180	отношение к	2	2
181	и здесь	3	2
182	в ее	3	2
183	говорящего и	6	2
184	у нас	4	2
185	об этом	3	2
186	по своему	3	2
187	равно как	2	2
188	но что	3	2
189	в свою	6	2
190	не нужно	2	2
191	не что	4	2
192	тот же	2	2
193	значительной степени	2	2
194	в ней	8	2
195	он не	2	2
196	и когда	2	2
197	один из	4	2
198	не с	3	2
199	и это	7	2
200	в мире	2	2
201	не знаем	4	2
202	конечно не	3	2
203	природы и	2	2
204	мы видим	3	2
205	и для	3	2
206	если мы	4	2
207	выражения как	2	2
208	еще более	2	2
209	же мы	5	2
210	человека в	2	2
211	но эта	2	2
212	как мы	9	2
213	здесь мы	3	2
214	из которых	3	2
215	и даже	3	2
216	не так	3	2
217	о языке	2	2
218	друг друга	2	2
219	и его	7	2
220	можно было	4	2
221	в своих	2	2
222	влияние на	4	2
223	и при	2	2
224	что иное	2	2
225	и вообще	2	2
226	бы в	5	2
227	мы должны	10	2
228	но мы	2	2
229	в обществе	4	2
230	как нет	2	2
231	будет иметь	2	2
232	в области	5	2
233	ни к	2	2
