N	2gram	Bakhtin_fo_2	Formalny
1	и в	46	38
2	в этом	22	27
3	может быть	7	23
4	и пр	2	21
5	и его	12	21
6	таким образом	3	20
7	и не	9	20
8	прежде всего	14	15
9	не в	9	15
10	и т	14	14
11	не может	2	14
12	в нем	5	13
13	но и	9	13
14	связи с	8	13
15	в пределах	5	12
16	в поэзии	2	12
17	с тем	2	11
18	в том	10	11
19	вовсе не	13	11
20	в его	8	10
21	в связи	8	10
22	с помощью	3	10
23	и с	6	9
24	как и	8	9
25	при этом	6	9
26	не только	11	9
27	т п	11	9
28	отнюдь не	4	8
29	что и	3	8
30	все же	6	8
31	так и	7	8
32	тем что	3	8
33	точки зрения	10	8
34	что в	5	7
35	по себе	2	7
36	для него	3	7
37	по существу	5	7
38	слова и	3	7
39	в корне	2	7
40	этом отношении	2	7
41	как мы	6	7
42	лишь в	2	7
43	уже не	3	7
44	с точки	8	7
45	не было	3	6
46	то что	7	6
47	в истории	4	6
48	в этой	2	6
49	было бы	2	6
50	вместе с	9	6
51	в их	3	6
52	то же	8	6
53	все эти	5	6
54	а не	4	6
55	могут быть	2	6
56	он не	5	6
57	только в	11	6
58	а в	3	6
59	что он	3	5
60	именно в	2	5
61	же время	4	5
62	в реальном	3	5
63	во всех	11	5
64	с этим	5	5
65	и только	2	5
66	т д	3	5
67	и для	9	5
68	еще более	4	5
69	в основе	6	5
70	говорить о	2	5
71	в то	5	5
72	и должно	2	5
73	во всяком	2	5
74	к этому	3	4
75	к тому	3	4
76	мы видели	2	4
77	в дальнейшем	5	4
78	что они	4	4
79	в большинстве	3	4
80	в сущности	2	4
81	дело идет	2	4
82	как бы	10	4
83	и к	2	4
84	из них	8	4
85	в некоторых	2	4
86	как в	4	4
87	за счет	3	4
88	в особенности	6	4
89	и наконец	6	4
90	и даже	3	4
91	там где	2	4
92	здесь не	2	4
93	так как	6	4
94	но в	10	4
95	всех этих	7	3
96	если в	2	3
97	место в	4	3
98	и др	5	3
99	с другой	2	3
100	из этих	4	3
101	ни была	2	3
102	в сюжете	2	3
103	бы она	2	3
104	и как	3	3
105	какова бы	2	3
106	не является	3	3
107	жизни и	8	3
108	и их	4	3
109	быть и	2	3
110	и до	2	3
111	значение и	4	3
112	все это	6	3
113	она ни	3	3
114	и прежде	3	3
115	большинстве случаев	3	3
116	того что	3	3
117	того чтобы	8	3
118	для того	8	3
119	тем же	2	3
120	особенно в	2	3
121	роль в	3	3
122	каждый из	2	3
123	и на	7	3
124	хотя и	3	3
125	и все	6	3
126	его в	6	3
127	так сказать	7	3
128	от этого	2	3
129	смысла и	2	2
130	уже в	4	2
131	и более	2	2
132	явления и	2	2
133	и другие	3	2
134	никогда не	6	2
135	значения в	2	2
136	в этих	3	2
137	в качестве	3	2
138	характерно что	2	2
139	это не	2	2
140	в одной	2	2
141	в конце	2	2
142	представление о	2	2
143	между ними	2	2
144	первый план	2	2
145	ее и	2	2
146	на котором	2	2
147	до конца	2	2
148	как его	2	2
149	том что	4	2
150	но это	2	2
151	то в	2	2
152	но не	5	2
153	совсем не	2	2
154	кроме того	3	2
155	она не	2	2
156	что на	3	2
157	на первый	3	2
158	борьба с	3	2
159	и о	2	2
160	в котором	4	2
161	сами по	2	2
162	он был	2	2
163	один из	2	2
164	отношение к	3	2
165	ее в	3	2
166	всего в	3	2
167	равно как	2	2
168	по аналогии	2	2
169	на этом	2	2
170	и других	2	2
171	находится в	2	2
172	в той	2	2
173	в эпоху	4	2
174	и по	3	2
175	должно быть	5	2
176	и совершенно	3	2
177	их в	4	2
178	и от	2	2
179	они были	2	2
180	и это	2	2
181	потому что	8	2
182	как это	2	2
183	с ним	4	2
184	та же	3	2
185	не могли	3	2
186	в виду	3	2
