N	3gram	Bakhtin_Pr_1	formyVre
1	то же время	3	9
2	и т п	13	8
3	в то же	3	6
4	и в то	2	5
5	для того чтобы	2	5
6	может быть только	3	3
7	в этом отношении	2	3
8	по отношению к	19	3
9	не может быть	11	3
10	той или иной	2	2
11	ни в чем	2	2
12	с точки зрения	6	2
13	как и для	2	2
14	с одной стороны	3	2
15	в его целом	5	2
16	не только в	2	2
17	и др в	2	2
18	в отличие от	5	2
19	в чем не	2	2
20	и в частности	2	2
21	все то что	3	2
22	и прежде всего	5	2
23	в том что	3	2
24	но и в	2	2
25	в строгом смысле	2	2
