N	2gram	Nazirov_Tv_2	Hudozhes
1	в мире	5	23
2	то есть	5	18
3	и не	9	16
4	в том	8	15
5	и в	20	15
6	не только	13	15
7	в частности	2	13
8	может быть	8	13
9	тогда как	3	13
10	при этом	8	12
11	а в	4	12
12	и его	9	12
13	но не	5	11
14	в этом	8	11
15	в себе	3	11
16	как бы	11	10
17	отношению к	3	10
18	но и	8	10
19	так и	6	10
20	по отношению	3	10
21	то же	7	10
22	а не	6	10
23	в его	10	9
24	в душе	4	8
25	себя в	2	8
26	своего рода	3	8
27	сводится к	2	8
28	с другой	2	7
29	в отличие	2	7
30	в принципе	4	7
31	в искусстве	2	7
32	в то	10	7
33	отличие от	2	7
34	но в	4	7
35	в основе	2	6
36	что в	7	6
37	в ее	2	6
38	том что	4	6
39	не в	4	6
40	же время	7	6
41	приводит к	2	6
42	не может	7	6
43	могут быть	2	5
44	по сути	3	5
45	только в	2	5
46	тем самым	4	5
47	в самом	3	5
48	в нем	3	5
49	то что	3	5
50	другой стороны	2	5
51	в их	3	5
52	уже не	3	5
53	героя и	2	5
54	место в	3	4
55	не столько	2	4
56	личности в	2	4
57	прежде всего	8	4
58	для него	3	4
59	еще не	5	4
60	например в	5	4
61	хотя и	4	4
62	он не	3	4
63	в своей	6	4
64	между тем	3	4
65	говорить о	2	4
66	к которому	2	4
67	не менее	2	3
68	если бы	4	3
69	это не	7	3
70	что он	6	3
71	читателя в	5	3
72	в целом	6	3
73	так в	2	3
74	таким образом	10	3
75	как и	6	3
76	и что	2	3
77	в таком	3	3
78	в рассказе	3	3
79	не случайно	2	3
80	их в	2	3
81	потому что	7	3
82	и ее	2	3
83	как правило	2	3
84	в русской	2	3
85	его в	3	3
86	в которой	2	3
87	в творческом	5	2
88	я не	2	2
89	таком случае	2	2
90	ни к	2	2
91	жизни в	3	2
92	превращается в	3	2
93	или даже	2	2
94	в одном	2	2
95	человека и	3	2
96	вовсе не	2	2
97	в литературе	2	2
98	роль в	2	2
99	об этом	4	2
100	одна из	3	2
101	и сам	5	2
102	одной из	3	2
103	и потому	4	2
104	для автора	2	2
105	к жизни	2	2
106	не является	3	2
107	и др	3	2
108	по преимуществу	2	2
109	как в	4	2
110	в романе	15	2
111	а с	3	2
112	именно в	6	2
113	все эти	4	2
114	в году	16	2
115	сути дела	3	2
116	и по	2	2
117	так же	5	2
118	с ним	3	2
119	с другими	2	2
120	и на	5	2
121	у него	6	2
122	начиная с	2	2
123	в этой	5	2
124	о том	5	2
125	и это	3	2
126	из этого	2	2
127	в чем	4	2
128	бы не	2	2
