N	2gram	Berdyaev_V_1	Psycholo
1	в том	3	37
2	и в	16	32
3	и что	3	22
4	том что	2	21
5	то что	9	21
6	потому что	4	21
7	что в	3	20
8	что и	3	17
9	того чтобы	2	14
10	что он	4	13
11	в этом	4	13
12	не только	2	12
13	так как	9	12
14	с тем	2	11
15	как и	4	10
16	и т	2	10
17	но и	5	10
18	и не	20	10
19	никогда не	3	9
20	что все	4	9
21	тем что	2	9
22	не в	3	8
23	того что	5	8
24	к тому	3	7
25	а не	7	7
26	все эти	3	7
27	можно было	2	7
28	только в	2	7
29	что они	7	7
30	тот же	3	6
31	и мы	3	6
32	как бы	5	6
33	вслед за	2	5
34	в ней	4	5
35	все это	5	5
36	в жизни	3	4
37	в чем	3	4
38	и сам	2	4
39	в нем	4	4
40	жизни и	3	4
41	а в	2	4
42	и все	4	4
43	не имеет	3	4
44	и для	3	4
45	тому что	3	4
46	могут быть	2	4
47	и это	2	4
48	между тем	2	4
49	не могут	2	3
50	на нас	2	3
51	хотя бы	3	3
52	в конце	3	3
53	которые не	2	3
54	в своей	3	3
55	не могли	2	3
56	один из	2	3
57	то это	3	3
58	так и	4	3
59	не к	2	3
60	во всех	3	3
61	бы и	3	3
62	что не	4	3
63	и то	2	3
64	но в	3	3
65	мы не	2	3
66	с его	3	2
67	первый раз	3	2
68	в них	3	2
69	все что	4	2
70	это не	2	2
71	они в	3	2
72	во всяком	2	2
73	ни в	3	2
74	а к	2	2
75	еще не	8	2
76	но не	2	2
77	и никогда	2	2
78	в его	4	2
79	когда я	2	2
80	оно не	3	2
81	не так	2	2
82	в этих	3	2
83	как не	3	2
84	для нас	2	2
85	на том	2	2
86	к людям	6	2
87	т д	2	2
88	а с	2	2
89	не было	3	2
90	но это	3	2
91	их в	3	2
92	в первый	3	2
