N	2gram	Berdyaev_N_1	Psycholo
1	в том	8	37
2	и в	16	32
3	и что	2	22
4	том что	2	21
5	то что	4	21
6	потому что	4	21
7	что в	9	20
8	так же	2	18
9	может быть	7	18
10	не может	16	17
11	что она	2	16
12	того чтобы	2	14
13	в этом	7	13
14	не только	5	12
15	с тем	3	11
16	в основе	3	11
17	как и	7	10
18	но и	3	10
19	и не	11	10
20	никогда не	6	9
21	что все	2	9
22	как в	3	9
23	не менее	4	8
24	не в	6	8
25	к тому	3	7
26	такой же	2	7
27	а не	17	7
28	все эти	2	7
29	можно было	2	7
30	сказать что	3	7
31	как будто	2	7
32	все время	2	6
33	и мы	4	6
34	он не	8	6
35	формы и	2	6
36	о том	4	6
37	в ней	5	5
38	все это	5	5
39	и даже	2	5
40	и на	2	5
41	в то	2	5
42	же как	2	4
43	в жизни	5	4
44	как это	2	4
45	в нем	5	4
46	жизни и	8	4
47	наряду с	3	4
48	а в	2	4
49	и все	4	4
50	не имеет	4	4
51	и для	4	4
52	и с	2	4
53	могут быть	2	4
54	с этим	2	4
55	и это	2	4
56	по своему	4	3
57	для этого	2	3
58	хотя бы	2	3
59	с другой	3	3
60	и к	5	3
61	по существу	2	3
62	и заключается	2	3
63	в своей	3	3
64	не могли	2	3
65	с ее	5	3
66	так и	2	3
67	не к	2	3
68	во всех	3	3
69	том чтобы	2	3
70	время как	2	3
71	тому как	3	3
72	в смысле	2	3
73	думать что	2	3
74	но в	2	3
75	мы не	2	3
76	значит что	4	3
77	это было	3	3
78	не существует	3	2
79	место в	2	2
80	зависит от	2	2
81	с его	6	2
82	в них	4	2
83	это не	4	2
84	и от	2	2
85	переходе от	2	2
86	том и	2	2
87	ни в	6	2
88	в новой	7	2
89	еще не	3	2
90	но не	2	2
91	она не	3	2
92	не имеют	2	2
93	к ним	3	2
94	в ее	3	2
95	как не	8	2
96	вместе с	2	2
97	другой стороны	2	2
98	не было	4	2
99	роль в	2	2
100	но это	6	2
101	ли это	2	2
102	подобно тому	3	2
103	в себе	2	2
104	в русском	2	2
105	не значит	3	2
106	когда мы	2	2
