N	2gram	Ircho_Kome_1	Narrotol
1	не только	10	31
2	но и	11	27
3	и не	8	23
4	при этом	5	19
5	может быть	9	15
6	в частности	3	14
7	в качестве	4	14
8	как и	9	13
9	а в	6	13
10	только в	3	12
11	в этом	3	12
12	и в	22	11
13	такого рода	6	10
14	и его	8	10
15	времени и	2	9
16	то что	2	9
17	то же	6	8
18	в том	11	8
19	со стороны	2	8
20	не может	2	8
21	у него	3	7
22	том что	12	7
23	на протяжении	4	7
24	но в	4	7
25	одного из	6	6
26	к тому	6	6
27	а также	4	6
28	не в	6	6
29	в самом	2	6
30	не мог	3	6
31	один из	5	6
32	как раз	3	6
33	тому же	6	6
34	или в	2	6
35	в себе	2	6
36	в его	5	6
37	в этой	7	6
38	действующих лиц	4	5
39	так и	5	5
40	столь же	2	5
41	и на	3	5
42	потому что	5	5
43	точки зрения	4	5
44	как правило	3	5
45	все же	3	4
46	но не	2	4
47	же время	4	4
48	прежде всего	5	4
49	еще не	2	4
50	к нему	2	4
51	и тем	2	4
52	в нем	4	4
53	из них	10	4
54	как в	5	4
55	так в	4	4
56	в принципе	2	4
57	хотя и	3	4
58	на себя	2	4
59	в то	10	4
60	что у	2	4
61	о том	8	4
62	одна из	2	4
63	из наиболее	2	4
64	в одном	8	4
65	в сознании	3	4
66	не менее	3	3
67	что в	6	3
68	однако в	3	3
69	что он	6	3
70	идет о	3	3
71	тем не	2	3
72	у нас	3	3
73	и как	3	3
74	в начале	3	3
75	в целом	3	3
76	как известно	2	3
77	и о	3	3
78	он не	3	3
79	еще в	5	3
80	речь идет	3	3
81	отношению к	3	3
82	по отношению	3	3
83	этом отношении	3	3
84	именно в	4	3
85	едва ли	7	3
86	мы не	3	3
87	и с	3	3
88	и ее	3	3
89	в финале	2	3
90	как будто	2	3
91	и все	3	3
92	как это	3	3
93	между тем	5	3
94	в известном	2	2
95	казалось бы	3	2
96	для них	2	2
97	в конце	6	2
98	в сущности	2	2
99	в свою	2	2
100	на то	3	2
101	как мы	4	2
102	же в	4	2
103	да и	3	2
104	с ее	2	2
105	по своему	3	2
106	все что	2	2
107	до конца	2	2
108	до сих	2	2
109	в первой	2	2
110	и самого	2	2
111	всяком случае	2	2
112	точек зрения	2	2
113	на две	2	2
114	раз в	2	2
115	вместе с	2	2
116	сих пор	2	2
117	в форме	2	2
118	ли не	4	2
119	другой стороны	5	2
120	только что	2	2
121	после смерти	3	2
122	в году	3	2
123	и вот	4	2
124	который в	2	2
125	и даже	5	2
126	и притом	2	2
127	с другой	5	2
128	отличие от	2	2
129	ничего не	3	2
130	каждый из	3	2
131	нас в	2	2
132	в результате	4	2
133	во всяком	2	2
134	мы можем	4	2
135	что касается	2	2
136	и еще	3	2
137	же самое	2	2
138	в чем	3	2
139	в области	2	2
