N	2gram	Losev_Prob_1	FransuaR
1	и в	32	41
2	то есть	33	24
3	мы уже	5	18
4	во всех	7	17
5	таким образом	6	17
6	в нем	13	16
7	и с	2	16
8	и его	3	13
9	но и	9	13
10	как мы	7	12
11	в этом	19	12
12	все это	7	11
13	все эти	8	11
14	прежде всего	10	10
15	в самом	6	10
16	не только	17	10
17	так как	11	10
18	то что	42	10
19	здесь в	3	9
20	кроме того	2	9
21	и на	8	9
22	и все	7	9
23	о том	11	9
24	никогда не	7	8
25	в сущности	2	8
26	в этой	10	8
27	но в	14	8
28	в них	7	7
29	вовсе не	35	7
30	том что	12	7
31	как бы	14	7
32	и до	2	7
33	как и	3	7
34	что в	12	7
35	в его	6	7
36	что он	7	6
37	мы видим	2	6
38	например в	2	6
39	один из	4	6
40	вместе с	2	6
41	или в	4	6
42	также и	11	6
43	сказать что	13	6
44	в то	6	6
45	то же	10	5
46	с его	2	5
47	в литературе	4	5
48	в ее	3	5
49	так же	9	5
50	между собою	7	5
51	а также	4	5
52	из них	3	5
53	так и	12	5
54	в своем	5	5
55	и что	9	5
56	тем что	7	5
57	но он	3	5
58	в себе	15	5
59	что это	3	5
60	уже в	3	4
61	все время	2	4
62	с другой	3	4
63	именно в	4	4
64	у нас	14	4
65	и как	6	4
66	не в	4	4
67	и вообще	4	4
68	в котором	5	4
69	не может	8	4
70	как в	4	4
71	самом деле	6	4
72	именно на	3	4
73	того чтобы	9	4
74	и даже	11	4
75	а в	4	4
76	в результате	2	4
77	того же	3	4
78	с ним	3	4
79	мы увидим	3	3
80	перед нами	5	3
81	поэтому и	2	3
82	он сам	2	3
83	с этим	3	3
84	на первый	2	3
85	нас не	2	3
86	мы будем	2	3
87	но это	8	3
88	есть в	5	3
89	до сих	3	3
90	было бы	8	3
91	в целях	2	3
92	в искусстве	3	3
93	никак не	4	3
94	в него	2	3
95	и особенно	2	3
96	сих пор	3	3
97	здесь только	2	3
98	и для	4	3
99	при этом	6	3
100	и не	31	3
101	того что	7	3
102	что не	3	3
103	литературе и	4	3
104	к нему	3	3
105	есть только	8	3
106	с другими	2	3
107	в данном	9	3
108	только в	7	3
109	в первом	2	3
110	в чем	3	3
111	потому что	16	3
112	говорили что	2	3
113	что их	2	2
114	не могут	2	2
115	всех этих	7	2
116	что если	2	2
117	но уже	5	2
118	ведь это	2	2
119	в этих	3	2
120	для этого	3	2
121	и во	3	2
122	одного и	2	2
123	в конце	6	2
124	что все	3	2
125	конечно в	2	2
126	если мы	11	2
127	для нас	5	2
128	для всего	2	2
129	в том	9	2
130	как его	2	2
131	так что	6	2
132	в дальнейшем	4	2
133	тем более	5	2
134	связи с	5	2
135	что они	3	2
136	литературы и	4	2
137	но не	9	2
138	есть именно	5	2
139	есть и	3	2
140	и часто	2	2
141	со всеми	2	2
142	может быть	14	2
143	за пределы	6	2
144	в своей	8	2
145	хотя и	6	2
146	нужно сказать	3	2
147	он не	3	2
148	и очень	2	2
149	но если	2	2
150	и потому	2	2
151	в таких	2	2
152	не будем	2	2
153	данном случае	8	2
154	а именно	12	2
155	есть нечто	11	2
156	другой стороны	3	2
157	как раз	13	2
158	не на	3	2
159	которых мы	2	2
160	как это	6	2
161	мы находим	2	2
162	в истории	4	2
163	а не	15	2
164	с точки	3	2
165	мы не	2	2
166	от всех	2	2
167	и то	6	2
168	то он	2	2
169	как они	2	2
170	их в	4	2
171	между тем	2	2
172	он в	2	2
173	точки зрения	3	2
174	на его	2	2
175	из этих	2	2
176	говорить о	6	2
177	что мы	13	2
178	и вовсе	4	2
179	как он	4	2
180	в области	2	2
181	в эту	2	2
182	это было	2	2
