N	3gram	Vinokur_Vv_1	Narrotol
1	в данном случае	4	8
2	не только в	4	6
3	в том что	12	5
4	то же время	5	4
5	в соответствии с	2	4
6	не может быть	8	4
7	в то же	5	4
8	в этом отношении	3	3
9	в первом случае	2	3
10	по отношению к	4	3
11	тем не менее	8	3
12	для того чтобы	21	3
13	в отличие от	3	2
14	можно сказать что	3	2
15	состоит в том	2	2
16	в самом деле	5	2
17	в центре внимания	2	2
18	в связи с	2	2
19	о том что	12	2
20	дело в том	2	2
21	до сих пор	5	2
22	во всяком случае	3	2
23	то же самое	2	2
24	в известном смысле	3	2
