N	3gram	Potebnia_M_3	Myshleni
1	для того чтобы	3	18
2	в том что	16	13
3	не только не	2	9
4	к тому что	2	6
5	с одной стороны	3	5
6	по отношению к	5	5
7	не может быть	3	4
8	вместе с тем	4	4
9	смысле этого слова	7	3
10	только потому что	2	3
11	мы не можем	2	3
12	одно и то	5	3
13	тем не менее	3	3
14	можно сказать что	2	3
15	в начале развития	2	3
16	в собственном смысле	2	3
17	как и в	2	3
18	в этом отношении	2	3
19	до сих пор	3	3
20	и то же	5	3
21	в первом случае	2	3
22	в свою очередь	3	2
23	и той же	2	2
24	подлежащего и сказуемого	2	2
25	в то время	4	2
26	том что он	2	2
27	одним и тем	3	2
28	и тем же	3	2
29	одной и той	2	2
30	потому что он	3	2
