N	3gram	Bakhtin_Pr_1	Myshleni
1	с точки зрения	15	18
2	в том что	7	15
3	для того чтобы	2	15
4	с другой стороны	2	9
5	с самого начала	2	8
6	по отношению к	11	7
7	о том что	2	6
8	заключается в том	2	6
9	в то время	2	5
10	не может быть	3	5
11	можно сказать что	2	4
12	в этом отношении	5	4
13	до сих пор	2	4
14	друг с другом	3	4
15	можно было бы	3	3
16	во всяком случае	3	3
17	в одном из	2	2
18	в данном случае	2	2
19	в зависимости от	3	2
20	том что он	4	2
21	в самом деле	2	2
22	в то же	7	2
23	то же время	7	2
24	что может быть	2	2
