N	2gram	Bakhtin_KF_1	slovoVRo
1	и в	24	41
2	в нем	28	30
3	могут быть	3	19
4	во всех	11	17
5	но и	9	16
6	и не	26	16
7	точки зрения	12	16
8	не только	5	16
9	а не	17	15
10	то же	5	14
11	может быть	45	14
12	не может	27	14
13	и его	17	14
14	и на	3	14
15	в то	3	14
16	в его	40	13
17	же время	2	12
18	до конца	3	12
19	как бы	9	12
20	в этом	14	12
21	так и	2	11
22	или иной	2	9
23	той или	3	9
24	все эти	10	9
25	себя в	8	9
26	слова в	2	8
27	может не	2	8
28	прежде всего	2	8
29	но в	5	8
30	как в	2	8
31	с точки	9	8
32	не в	12	7
33	отношение к	5	7
34	с ним	5	7
35	вовсе не	7	7
36	всех его	2	7
37	в своей	10	7
38	все же	5	7
39	это не	10	6
40	при этом	4	6
41	а в	4	6
42	оно не	2	6
43	только в	16	6
44	отношении к	2	6
45	и мир	2	5
46	все это	10	5
47	в основе	5	5
48	подхода к	2	5
49	на своем	3	5
50	как его	4	5
51	еще более	2	5
52	к нему	12	5
53	в каждом	3	4
54	и единственного	12	4
55	в ней	3	4
56	один из	2	4
57	с ее	2	4
58	в их	8	4
59	лишь в	8	4
60	рядом с	3	4
61	единого и	9	4
62	и все	7	4
63	всех этих	3	4
64	не как	4	4
65	данный момент	3	4
66	как и	5	4
67	в смысле	6	4
68	еще не	4	4
69	и потому	2	4
70	о нем	4	4
71	в процессе	2	4
72	быть и	3	4
73	входит в	3	4
74	и для	9	4
75	там где	5	4
76	ничего не	3	4
77	смысла и	2	3
78	никогда не	5	3
79	хотя бы	4	3
80	в том	6	3
81	лишь как	2	3
82	и единственный	5	3
83	в свою	3	3
84	для него	8	3
85	нем и	3	3
86	в него	2	3
87	его и	2	3
88	в своем	16	3
89	именно в	5	3
90	и других	2	3
91	того что	3	3
92	с ними	3	3
93	и здесь	7	3
94	не было	8	3
95	от его	5	3
96	о том	3	3
97	его в	5	3
98	но здесь	3	3
99	не должно	3	3
100	в себе	21	3
101	в качестве	2	3
102	и может	3	3
103	было бы	8	3
104	конечно не	7	3
105	он не	6	3
106	момент его	8	3
107	бы и	3	3
108	и этим	3	3
109	в данном	2	3
110	и ее	2	3
111	как оно	2	3
112	смысле в	2	3
113	время и	5	2
114	тому что	2	2
115	войти в	2	2
116	ни было	4	2
117	для нас	4	2
118	его как	5	2
119	на язык	3	2
120	для того	3	2
121	вокруг него	2	2
122	в контексте	5	2
123	был бы	3	2
124	и тем	3	2
125	в целом	10	2
126	к единому	3	2
127	как к	2	2
128	уже не	7	2
129	должно быть	6	2
130	не из	2	2
131	потому что	2	2
132	того или	3	2
133	возможности в	2	2
134	между тем	4	2
135	в сознании	2	2
136	единый и	3	2
137	а как	2	2
138	нисколько не	4	2
139	в котором	24	2
140	он может	2	2
141	дело не	2	2
142	в одном	4	2
143	к этому	2	2
144	или иного	3	2
145	и эти	2	2
146	том что	4	2
147	но не	12	2
148	по своему	3	2
149	совершенно не	6	2
150	слово не	3	2
151	в ее	16	2
152	абстрактный момент	2	2
153	а с	2	2
154	на самом	3	2
155	всех своих	4	2
156	и эта	2	2
157	не есть	20	2
158	мы не	3	2
159	и единство	3	2
160	и то	2	2
161	от этого	2	2
162	быть только	8	2
163	в виде	2	2
164	в другом	3	2
165	ответственность за	2	2
166	жизни но	3	2
167	в единство	2	2
168	здесь не	3	2
169	акт и	4	2
170	из него	3	2
