N	2gram	Tiupa_Narr_1	Marksizm
1	точки зрения	5	34
2	может быть	15	26
3	и не	23	26
4	не может	8	24
5	и в	11	19
6	и его	10	19
7	в этом	12	16
8	как бы	6	15
9	прежде всего	4	13
10	как мы	2	13
11	как и	13	12
12	так и	5	11
13	и для	2	11
14	связи с	2	11
15	в самом	6	10
16	в нем	4	10
17	в слове	3	10
18	и т.п	8	10
19	самом деле	3	10
20	для него	4	9
21	лишь в	3	9
22	в результате	2	9
23	только в	12	9
24	при этом	19	8
25	но и	27	8
26	друг друга	2	8
27	до сих	2	8
28	не только	31	8
29	все же	4	8
30	то что	9	8
31	сих пор	2	8
32	точка зрения	5	7
33	в связи	2	7
34	но в	7	7
35	язык как	2	7
36	то же	8	7
37	а не	13	7
38	в том	8	6
39	в пределах	2	6
40	другой стороны	2	6
41	отнюдь не	2	6
42	в его	6	6
43	и того	2	6
44	мы не	3	6
45	так сказать	2	6
46	ничего не	2	6
47	с другой	2	5
48	в конце	2	5
49	именно в	3	5
50	не в	6	5
51	до конца	2	5
52	в начале	3	5
53	и все	3	5
54	в отличие	2	5
55	входит в	2	5
56	того чтобы	4	5
57	хотя бы	2	5
58	во всяком	2	5
59	отличие от	2	5
60	что в	3	4
61	не менее	3	4
62	в ней	4	4
63	не является	3	4
64	а в	13	4
65	и на	5	4
66	сказать что	2	4
67	жизни в	2	4
68	по себе	4	4
69	так называемая	2	4
70	еще не	4	4
71	не будет	2	4
72	как в	4	4
73	только на	2	4
74	для того	3	4
75	между ними	2	4
76	переход от	2	4
77	в данном	11	4
78	этом отношении	3	3
79	и от	2	3
80	одного из	6	3
81	или иной	4	3
82	можно сказать	5	3
83	и как	3	3
84	но именно	3	3
85	же время	4	3
86	из них	4	3
87	по отношению	3	3
88	не было	3	3
89	того что	4	3
90	не имеет	2	3
91	между тем	3	3
92	в то	4	3
93	же самое	2	3
94	не существует	3	3
95	первом случае	3	3
96	она может	2	3
97	том что	7	3
98	в сущности	2	3
99	он не	3	3
100	в первом	4	3
101	в своей	5	3
102	быть и	2	3
103	сводится к	3	3
104	между двумя	5	3
105	и ее	3	3
106	один и	2	3
107	в области	2	3
108	зависит от	2	2
109	в частности	14	2
110	никогда не	4	2
111	в своем	3	2
112	тем не	3	2
113	как если	2	2
114	как она	2	2
115	для одного	2	2
116	свою очередь	2	2
117	в свою	2	2
118	но для	3	2
119	и является	2	2
120	всяком случае	2	2
121	в нашем	3	2
122	с ее	2	2
123	жизни и	6	2
124	в первой	2	2
125	где они	2	2
126	и только	2	2
127	имеет место	4	2
128	во втором	6	2
129	ситуации и	2	2
130	и даже	2	2
131	из этих	4	2
132	к его	2	2
133	о том	4	2
134	за пределами	2	2
135	глава вторая	2	2
136	в сознании	4	2
137	и с	3	2
138	по мере	2	2
139	для них	2	2
140	если бы	7	2
141	между собой	2	2
142	установкой на	2	2
143	но при	3	2
144	в литературе	4	2
145	что он	3	2
146	глава первая	2	2
147	в себе	6	2
148	в романе	2	2
149	у нас	3	2
150	с установкой	2	2
151	то в	4	2
152	зависимости от	2	2
153	одна из	4	2
154	они и	2	2
155	в качестве	14	2
156	она не	2	2
157	к тому	6	2
158	ни о	2	2
159	не могло	2	2
160	отношению к	3	2
161	и сама	2	2
162	как раз	6	2
163	человека в	2	2
164	что не	2	2
165	и он	6	2
166	и иных	2	2
167	в таком	2	2
168	или в	6	2
169	мы можем	2	2
170	и т.д	6	2
171	в русской	3	2
172	жизни но	2	2
173	в чем	2	2
