N	3gram	Medvedev_F_3	Stilisti
1	в то же	7	9
2	то же время	7	7
3	в зависимости от	5	7
4	для того чтобы	4	7
5	с точки зрения	14	5
6	то же самое	3	4
7	то или иное	2	3
8	в конце концов	2	3
9	как мы видели	2	3
10	на самом деле	12	3
11	социального общения и	2	3
12	смысле этого слова	2	2
13	ничего не останется	2	2
14	в этом отношении	3	2
15	к тому что	2	2
16	может быть понято	4	2
17	и в то	2	2
18	в связи с	4	2
19	равно как и	2	2
20	и тем же	2	2
21	одни и те	3	2
22	вместе с тем	3	2
23	и те же	3	2
24	мы видели что	2	2
25	не может быть	14	2
