N	2gram	Vinokur_Ku_3	Tragedij
1	и в	23	18
2	в этом	16	9
3	не только	17	8
4	и не	10	7
5	и с	3	7
6	может быть	14	7
7	как бы	5	7
8	что он	6	6
9	но в	2	6
10	все же	5	5
11	что это	3	5
12	так и	6	5
13	это не	3	5
14	не может	6	5
15	то же	6	5
16	в дальнейшем	2	5
17	как и	5	5
18	в то	3	5
19	но и	3	4
20	то что	4	4
21	в целом	4	4
22	что в	13	4
23	все это	2	4
24	я не	5	4
25	прежде всего	9	4
26	так же	2	4
27	том что	11	4
28	но это	5	4
29	и что	7	4
30	еще не	9	4
31	уже в	3	3
32	один из	4	3
33	о чем	2	3
34	отнюдь не	3	3
35	в своем	4	3
36	как в	4	3
37	все эти	7	3
38	тем самым	4	3
39	и как	2	3
40	должно быть	7	3
41	в его	11	3
42	при этом	6	3
43	своего рода	2	3
44	мог бы	2	3
45	как это	7	3
46	не имеет	3	2
47	не могут	5	2
48	что и	6	2
49	а что	2	2
50	как же	3	2
51	раз и	2	2
52	в частности	2	2
53	в отличие	2	2
54	данном случае	4	2
55	то и	2	2
56	что все	2	2
57	и я	2	2
58	вопрос о	11	2
59	не просто	2	2
60	уже не	8	2
61	бы и	3	2
62	отношение к	3	2
63	к тому	3	2
64	столь же	4	2
65	не так	3	2
66	я все	2	2
67	и здесь	2	2
68	ни в	3	2
69	в ее	4	2
70	в том	22	2
71	отличие от	2	2
72	но все	2	2
73	в таком	4	2
74	не в	5	2
75	в данном	7	2
76	в русском	2	2
77	не случайно	4	2
78	потому что	12	2
79	в первом	5	2
80	с тем	6	2
81	тем что	5	2
82	только о	2	2
83	еще раз	2	2
84	по поводу	3	2
85	о том	6	2
86	его в	2	2
87	что эти	2	2
88	в самом	13	2
89	это уже	3	2
90	ничего не	6	2
91	он не	3	2
92	в одном	2	2
93	что она	5	2
94	имеет в	2	2
