N	2gram	Vygotskiy__6	Dialekti
1	и не	11	30
2	может быть	13	20
3	и в	28	19
4	не только	16	19
5	по себе	3	18
6	а не	3	16
7	в себе	4	15
8	то что	28	14
9	в том	28	14
10	как бы	11	14
11	так как	10	14
12	потому что	22	14
13	но и	10	12
14	то же	7	12
15	точки зрения	13	12
16	и все	5	12
17	как и	6	10
18	и как	6	10
19	в нем	7	10
20	так и	6	10
21	том что	19	10
22	это не	5	10
23	сказать что	13	10
24	никогда не	8	9
25	не может	19	9
26	прежде всего	2	8
27	она не	2	8
28	мы уже	2	8
29	с точки	10	8
30	не в	4	8
31	это есть	3	8
32	в этом	27	8
33	в своей	2	8
34	как это	3	7
35	но это	2	7
36	но что	4	7
37	и к	6	7
38	что в	17	7
39	только тогда	4	7
40	время как	5	7
41	и то	4	7
42	так что	6	7
43	я не	4	6
44	что он	18	6
45	что они	2	6
46	в то	6	6
47	но не	10	6
48	того что	24	6
49	и вообще	2	6
50	тогда когда	6	6
51	с другой	2	5
52	в силу	17	5
53	по своему	2	5
54	можно сказать	6	5
55	в самом	8	5
56	и следовательно	4	5
57	что и	4	5
58	как раз	6	5
59	и что	6	5
60	только что	2	5
61	и его	3	5
62	но как	3	5
63	только в	18	5
64	независимо от	3	4
65	в своем	7	4
66	ясно что	4	4
67	в одном	2	4
68	не могут	5	4
69	все же	2	4
70	при этом	3	4
71	то время	6	4
72	еще не	8	4
73	в меру	2	4
74	он не	7	4
75	связи с	3	4
76	только то	3	4
77	от того	10	4
78	все это	2	4
79	другой стороны	2	4
80	в связи	2	4
81	и только	3	4
82	том смысле	2	4
83	таким образом	18	4
84	что оно	7	4
85	заключается в	7	4
86	самом деле	2	4
87	и по	3	4
88	а в	2	4
89	в одной	4	4
90	могут быть	5	4
91	но он	2	4
92	в другом	2	4
93	по своей	3	4
94	с ним	2	4
95	как только	2	3
96	не менее	2	3
97	и более	2	3
98	же как	6	3
99	все время	3	3
100	в этих	2	3
101	и от	2	3
102	была бы	2	3
103	как они	2	3
104	вопрос о	5	3
105	а только	2	3
106	как мы	10	3
107	но только	2	3
108	это и	3	3
109	в этой	5	3
110	что если	2	3
111	было бы	9	3
112	себе и	2	3
113	может существовать	2	3
114	из них	2	3
115	мы говорим	2	3
116	с этим	4	3
117	в разных	5	3
118	мы имеем	4	3
119	в той	4	3
120	во внимание	2	3
121	что такое	3	3
122	принять во	2	3
123	смысле что	2	3
124	в данном	2	3
125	от этого	3	3
126	нуждается в	3	3
127	они не	4	3
128	его в	6	3
129	когда мы	6	3
130	в чем	6	3
131	зависит от	3	2
132	самого начала	7	2
133	только не	3	2
134	в частности	4	2
135	в зависимости	5	2
136	что у	2	2
137	в состоянии	4	2
138	в конце	2	2
139	в системе	3	2
140	именно в	4	2
141	он может	2	2
142	но мы	3	2
143	если мы	2	2
144	к тому	10	2
145	что на	4	2
146	определенного рода	2	2
147	что уже	2	2
148	с самого	7	2
149	мы видим	7	2
150	что я	2	2
151	зависимости от	5	2
152	с тем	5	2
153	очевидно что	3	2
154	как известно	7	2
155	это мы	3	2
156	что с	3	2
157	до сих	3	2
158	своей природе	4	2
159	на его	3	2
160	в сущности	7	2
161	несмотря на	2	2
162	в любой	2	2
163	он мог	2	2
164	не по	3	2
165	необходимо чтобы	2	2
166	в сфере	12	2
167	не умеет	4	2
168	только к	3	2
169	сих пор	3	2
170	раз в	3	2
171	во всех	4	2
172	ее в	2	2
173	в каждом	3	2
174	в их	3	2
175	тому что	11	2
176	так же	15	2
177	не на	2	2
178	например в	4	2
179	того как	5	2
180	как в	3	2
181	форм и	2	2
182	хотя в	2	2
183	можно только	2	2
184	мы начинаем	2	2
185	нами выше	2	2
186	если принять	3	2
187	в сферу	3	2
188	с ними	2	2
189	в своих	3	2
190	в новую	2	2
191	тем что	8	2
192	когда оно	2	2
193	что мы	11	2
194	мы должны	3	2
195	же самое	6	2
196	все эти	2	2
197	есть в	3	2
198	в которой	7	2
199	в области	6	2
200	но в	5	2
201	том как	2	2
202	вместе с	7	2
203	на этом	4	2
