N	2gram	Propp_Isto_5	Komedia
1	и в	25	26
2	и не	11	14
3	и его	9	12
4	в том	6	11
5	может быть	17	11
6	но и	13	10
7	в этом	10	10
8	что в	8	9
9	том что	8	9
10	если бы	2	9
11	вместе с	22	9
12	ясно что	5	8
13	и на	8	7
14	из них	2	7
15	не только	13	7
16	что и	6	7
17	на себя	3	7
18	во время	7	6
19	то что	7	6
20	еще не	8	6
21	наряду с	4	6
22	в нем	7	6
23	того чтобы	3	6
24	потому что	7	6
25	и здесь	7	6
26	в то	3	6
27	о том	7	6
28	таким образом	9	6
29	с тем	8	5
30	в которой	4	5
31	к этому	2	5
32	что он	22	5
33	а затем	7	5
34	в качестве	7	5
35	один из	2	5
36	в истории	4	5
37	с этим	5	5
38	для того	3	5
39	так что	2	5
40	и с	3	5
41	уже в	2	4
42	не менее	4	4
43	в частности	7	4
44	у него	2	4
45	в этих	6	4
46	что у	4	4
47	прежде всего	6	4
48	как мы	5	4
49	же в	2	4
50	как и	7	4
51	в целом	3	4
52	в его	12	4
53	еще в	2	4
54	все же	10	4
55	и для	2	4
56	точки зрения	2	4
57	только в	7	4
58	что это	5	4
59	так как	11	4
60	его в	9	4
61	это было	2	4
62	о чем	2	3
63	с этой	2	3
64	после смерти	3	3
65	в образе	5	3
66	вопрос о	2	3
67	мы знаем	8	3
68	жизни и	2	3
69	что его	3	3
70	отношению к	2	3
71	но все	5	3
72	связи с	8	3
73	но не	5	3
74	того же	2	3
75	во всех	2	3
76	для нас	5	3
77	и сам	2	3
78	никто не	3	3
79	из которых	2	3
80	например в	5	3
81	в ней	5	3
82	себя в	6	3
83	в своей	2	3
84	все это	4	3
85	по отношению	2	3
86	в связи	4	3
87	того как	4	3
88	то же	4	3
89	как в	6	3
90	к нему	3	3
91	друг друга	3	3
92	а в	3	3
93	или в	6	3
94	человека в	3	3
95	тем что	10	3
96	не может	6	3
97	это время	2	3
98	в этой	3	3
99	из дому	2	3
100	тех же	2	3
101	мы можем	2	3
102	одновременно с	2	2
103	если в	3	2
104	в другой	3	2
105	не всегда	4	2
106	с другой	9	2
107	это не	6	2
108	представления о	3	2
109	представление о	17	2
110	вовсе не	2	2
111	то это	3	2
112	с которым	2	2
113	об этом	2	2
114	в ее	4	2
115	в греции	3	2
116	не в	6	2
117	до сих	2	2
118	по которым	2	2
119	одна из	2	2
120	на этом	3	2
121	и хотя	4	2
122	а на	2	2
123	после того	3	2
124	одной стороны	7	2
125	в это	2	2
126	нет необходимости	3	2
127	или на	2	2
128	одним из	2	2
129	он не	4	2
130	друг с	2	2
131	как бы	2	2
132	же можно	4	2
133	даже в	2	2
134	и т	20	2
135	и это	4	2
136	после этого	2	2
137	сих пор	2	2
138	со стороны	2	2
139	так в	2	2
140	если не	4	2
141	с одной	7	2
142	в течение	2	2
143	и что	8	2
144	также что	3	2
145	в других	2	2
146	роль в	2	2
147	мы не	5	2
148	от этого	4	2
149	к его	2	2
150	с другом	2	2
151	и все	3	2
152	мы имеем	14	2
