N	2gram	Berdyaev_M_2	FransuaR
1	и в	46	29
2	и не	18	16
3	и все	5	13
4	в этой	7	13
5	как и	13	12
6	но в	10	12
7	так и	4	11
8	и на	3	11
9	в этом	20	11
10	то же	5	10
11	не только	18	10
12	в конце	5	9
13	но и	15	9
14	и с	3	9
15	его в	3	9
16	прежде всего	12	8
17	в его	5	8
18	и его	5	8
19	как бы	8	8
20	в них	3	7
21	так же	6	7
22	в том	3	7
23	так как	8	7
24	в сущности	2	6
25	этот процесс	2	6
26	в атмосфере	2	6
27	но он	11	6
28	что это	6	5
29	у него	22	5
30	это не	5	5
31	это и	3	5
32	до конца	4	5
33	в нем	22	5
34	в своей	5	5
35	сказать что	3	5
36	с его	4	4
37	в нашем	7	4
38	в образе	3	4
39	что он	7	4
40	но это	8	4
41	есть и	3	4
42	и есть	8	4
43	один из	5	4
44	то что	5	4
45	жизни и	6	4
46	жизнь и	4	4
47	связана с	7	4
48	также и	4	4
49	тем что	3	4
50	точки зрения	2	4
51	в которой	2	4
52	тому как	2	3
53	все время	2	3
54	они были	3	3
55	в своем	8	3
56	превращается в	2	3
57	в пределе	2	3
58	и здесь	6	3
59	что у	4	3
60	том что	4	3
61	мы видим	2	3
62	то в	2	3
63	тот же	2	3
64	того что	6	3
65	той же	3	3
66	по преимуществу	5	3
67	он не	10	3
68	к нему	2	3
69	как к	2	3
70	в разных	2	3
71	и других	2	3
72	и вот	5	3
73	у них	4	3
74	и за	2	3
75	того чтобы	4	3
76	для того	5	3
77	не случайно	2	3
78	в ней	11	3
79	же и	2	3
80	подобно тому	2	3
81	в себе	10	3
82	по своей	3	3
83	в чем	3	3
84	место в	2	2
85	уже в	2	2
86	бы не	2	2
87	сам он	2	2
88	раскрывает нам	3	2
89	связи с	2	2
90	в этих	2	2
91	жизни в	3	2
92	быть может	2	2
93	мир и	2	2
94	в жизни	4	2
95	к тому	5	2
96	и к	7	2
97	ни в	3	2
98	он был	9	2
99	да и	2	2
100	и тот	2	2
101	что они	3	2
102	есть в	3	2
103	мы увидим	2	2
104	на этом	2	2
105	в которые	2	2
106	земной жизни	4	2
107	было в	3	2
108	не может	15	2
109	на его	2	2
110	может быть	21	2
111	хотя и	2	2
112	никогда не	18	2
113	этом он	2	2
114	уже не	4	2
115	с таким	2	2
116	и для	7	2
117	себя в	4	2
118	но она	2	2
119	как в	7	2
120	они не	4	2
121	и эта	2	2
122	друг друга	12	2
123	принадлежат к	3	2
124	не мог	3	2
125	в своих	3	2
126	то он	2	2
127	в основе	2	2
128	как будто	2	2
129	только в	3	2
130	но этот	2	2
131	о том	3	2
132	как он	3	2
133	и это	5	2
134	нет ничего	3	2
135	и этим	2	2
136	с ним	3	2
137	к которому	3	2
