N	2gram	Tiupa_Narr_1	Problemy
1	и не	23	31
2	и в	11	29
3	в его	6	24
4	может быть	15	24
5	а не	13	22
6	в этом	12	22
7	как бы	6	19
8	в нем	4	19
9	точки зрения	5	19
10	для него	4	18
11	не только	31	15
12	то что	9	15
13	но и	27	14
14	и его	10	14
15	то же	8	14
16	в пределах	2	13
17	уже не	8	13
18	как и	13	12
19	точка зрения	5	12
20	не может	8	12
21	в одном	4	10
22	в самом	6	10
23	в то	4	10
24	только в	12	10
25	героя и	2	10
26	с его	4	9
27	это не	3	9
28	все же	4	9
29	в романе	2	9
30	но не	4	9
31	же время	4	9
32	о нем	3	9
33	если бы	7	9
34	в своем	3	8
35	до конца	2	8
36	по себе	4	8
37	что он	3	8
38	что в	3	8
39	отношению к	3	8
40	в своей	5	8
41	по отношению	3	8
42	потому что	5	8
43	в том	8	8
44	прежде всего	4	7
45	том что	7	7
46	не в	6	7
47	она не	2	7
48	так и	5	7
49	в форме	2	7
50	входит в	2	7
51	и как	3	7
52	а в	13	7
53	и на	5	7
54	в себе	6	7
55	но в	7	7
56	в конце	2	6
57	в целом	3	6
58	к нему	4	6
59	как в	4	6
60	как раз	6	6
61	самом деле	3	6
62	в мире	4	6
63	перед нами	5	5
64	именно в	3	5
65	зависимости от	2	5
66	еще не	4	5
67	в сущности	2	5
68	и о	3	5
69	у него	7	5
70	он не	3	5
71	в зависимости	2	5
72	во всяком	2	5
73	между тем	3	5
74	он и	2	5
75	с ним	2	5
76	ничего не	2	5
77	мира в	4	5
78	в результате	2	4
79	в едином	2	4
80	в литературе	4	4
81	идет о	3	4
82	и с	3	4
83	и самого	2	4
84	и для	2	4
85	не было	3	4
86	как мы	2	4
87	героя в	3	4
88	их в	3	4
89	в этой	6	4
90	человека в	2	4
91	в произведении	2	4
92	так сказать	2	4
93	он сам	3	3
94	никогда не	4	3
95	сами по	2	3
96	с другой	2	3
97	в пространстве	3	3
98	точек зрения	2	3
99	одна из	4	3
100	все что	2	3
101	но именно	3	3
102	всяком случае	2	3
103	оно не	2	3
104	во времени	9	3
105	другой стороны	2	3
106	этом отношении	3	3
107	друг друга	2	3
108	тому как	3	3
109	сказать что	2	3
110	подобно тому	3	3
111	но как	3	3
112	как будто	3	3
113	то они	2	2
114	связи с	2	2
115	тем или	2	2
116	однако в	3	2
117	нести в	2	2
118	его и	2	2
119	хотя бы	2	2
120	обращено к	2	2
121	но они	3	2
122	и от	2	2
123	в жизни	3	2
124	и ее	3	2
125	что может	2	2
126	жизни и	6	2
127	же в	2	2
128	при этом	19	2
129	а его	2	2
130	на себя	4	2
131	жизни а	3	2
132	они могут	2	2
133	никак не	2	2
134	не о	2	2
135	до сих	2	2
136	значимость и	2	2
137	один из	6	2
138	начала и	3	2
139	в первой	2	2
140	сих пор	2	2
141	данном случае	8	2
142	по своим	2	2
143	и даже	2	2
144	также не	2	2
145	в той	2	2
146	к себе	4	2
147	у тургенева	2	2
148	между ними	2	2
149	в данном	11	2
150	в ней	4	2
151	героя но	2	2
152	в сознании	4	2
