N	2gram	Tiupa_Narr_2	DiskursI
1	в себе	8	19
2	при этом	14	17
3	состоит в	12	16
4	в качестве	14	16
5	и в	13	16
6	может быть	10	16
7	как и	4	16
8	в этом	13	16
9	и не	14	15
10	а не	17	14
11	в частности	11	12
12	и т.п	6	12
13	в отличие	5	12
14	отличие от	5	12
15	то есть	9	12
16	в мире	4	11
17	представляет собой	16	11
18	но и	15	11
19	тогда как	15	11
20	но в	6	11
21	том что	13	10
22	не только	26	10
23	своего рода	9	10
24	со стороны	6	10
25	такого рода	12	9
26	так и	9	9
27	не может	8	9
28	в том	14	8
29	а также	6	8
30	как в	5	8
31	в рамках	6	7
32	не менее	4	7
33	художественного письма	2	7
34	прежде всего	6	7
35	в нем	5	7
36	но не	3	7
37	картины мира	2	7
38	при всей	4	7
39	в данном	10	7
40	по мысли	5	6
41	с его	3	6
42	отнюдь не	4	6
43	себя в	2	6
44	еще не	2	6
45	все же	6	6
46	в своей	4	6
47	данном случае	6	6
48	то же	4	6
49	тем самым	5	6
50	в своих	2	6
51	по своей	3	6
52	а с	2	5
53	что в	4	5
54	в своем	6	5
55	с другой	5	5
56	нового времени	2	5
57	же время	3	5
58	для него	4	5
59	героя в	6	5
60	то что	8	5
61	коммуникативного события	8	5
62	в то	5	5
63	я в	5	5
64	не сводится	7	4
65	к его	3	4
66	одной стороны	5	4
67	как бы	6	4
68	отношению к	5	4
69	по отношению	5	4
70	этом отношении	3	4
71	с одной	5	4
72	ни для	2	4
73	картина мира	8	4
74	роль в	2	4
75	в рассказе	4	4
76	потому что	2	4
77	можно назвать	2	4
78	одно из	2	4
79	точки зрения	5	4
80	в этой	4	4
81	о том	5	4
82	картину мира	2	4
83	мира и	3	4
84	не является	4	4
85	перед нами	4	3
86	жизни в	6	3
87	очевидным образом	2	3
88	восходит к	2	3
89	столь же	2	3
90	это не	3	3
91	не столько	5	3
92	из этих	2	3
93	и все	4	3
94	или иной	3	3
95	в строгом	2	3
96	уже не	4	3
97	и того	3	3
98	не в	8	3
99	соответствии с	3	3
100	можно сказать	6	3
101	мысль о	2	3
102	но одновременно	2	3
103	он не	5	3
104	той или	3	3
105	в его	6	3
106	в котором	5	3
107	жизни и	4	3
108	коммуникативное событие	6	3
109	присутствия в	2	3
110	в тексте	8	3
111	иначе говоря	7	3
112	все эти	3	3
113	внутренней речи	3	3
114	как на	2	3
115	и его	3	3
116	ведет к	2	3
117	но это	2	3
118	следует признать	4	3
119	всей своей	2	3
120	в другом	4	3
121	только в	11	3
122	не следует	3	3
123	мира в	4	3
124	чеховского письма	2	2
125	место в	5	2
126	же как	2	2
127	ивана иваныча	2	2
128	по словам	2	2
129	никогда не	6	2
130	а потом	2	2
131	по большей	3	2
132	в футляре	2	2
133	и другого	2	2
134	в целом	3	2
135	личности в	2	2
136	вследствие этого	2	2
137	как уже	2	2
138	или иного	3	2
139	большей части	3	2
140	нарративную интригу	2	2
141	с таким	2	2
142	в модальности	4	2
143	интерес к	2	2
144	в той	5	2
145	что он	5	2
146	в соответствии	3	2
147	всякий раз	2	2
148	а к	3	2
149	картине мира	2	2
150	времени и	4	2
151	должна быть	2	2
152	чеховского творчества	2	2
153	о чем	2	2
154	со своим	2	2
155	персонажей и	2	2
156	в ней	2	2
157	о любви	2	2
158	далеко не	5	2
159	отношения между	2	2
160	для себя	3	2
161	что и	2	2
162	с точки	2	2
163	не к	4	2
164	жизнью и	2	2
165	собственно и	2	2
166	за которым	2	2
167	именно в	2	2
168	и состоит	2	2
169	себе самому	5	2
170	в себя	4	2
171	к своему	2	2
172	сводится к	9	2
173	в обоих	2	2
174	более чем	2	2
175	в принципе	2	2
176	и для	3	2
177	а в	9	2
178	той же	2	2
179	в концовке	2	2
180	тому как	2	2
181	в результате	2	2
182	пока еще	3	2
183	себя с	2	2
184	подобно тому	2	2
185	говорить о	2	2
186	и адресата	2	2
187	здесь не	2	2
188	в области	2	2
189	мы имеем	3	2
190	между тем	3	2
191	но при	4	2
