N	2gram	Voloshinov_1	Otkroven
1	и в	13	19
2	но и	3	13
3	и не	8	13
4	в этом	2	12
5	а не	2	11
6	не в	3	11
7	может быть	8	11
8	не только	6	11
9	и все	3	10
10	в нем	2	10
11	никогда не	3	9
12	прежде всего	9	9
13	лишь в	4	7
14	нет ничего	2	7
15	в его	7	7
16	все это	4	6
17	как и	3	6
18	то что	6	5
19	а в	2	5
20	в том	2	5
21	для него	2	5
22	в самом	2	5
23	только и	4	4
24	и его	12	4
25	все эти	2	4
26	не может	8	4
27	что в	3	4
28	хотя бы	5	3
29	в своих	2	3
30	могут быть	2	3
31	и ее	2	3
32	в себе	3	3
33	было бы	4	3
34	как бы	6	3
35	в этот	2	2
36	подойти к	2	2
37	уже в	2	2
38	все же	5	2
39	ее в	2	2
40	и для	3	2
41	так и	3	2
42	что же	3	2
43	и к	2	2
44	не имеет	2	2
45	в ее	3	2
46	в которой	3	2
47	том что	2	2
48	в другом	2	2
49	и то	3	2
50	что они	2	2
51	учение о	2	2
52	тем что	2	2
53	в своей	4	2
54	так как	3	2
55	но в	4	2
