N	2gram	Bakhtin_KF_1	DiskursI
1	в качестве	2	34
2	не только	5	28
3	в том	6	23
4	а не	17	22
5	том что	4	19
6	может быть	45	17
7	и в	24	16
8	как и	5	16
9	в этом	14	15
10	еще не	4	14
11	но и	9	14
12	при этом	4	13
13	прежде всего	2	11
14	но не	12	11
15	и не	26	11
16	как в	2	10
17	в нем	28	9
18	отношению к	22	9
19	по отношению	26	9
20	не может	27	9
21	отнюдь не	6	8
22	так и	2	8
23	о том	3	8
24	но в	5	8
25	в основе	5	7
26	в его	40	7
27	со стороны	7	7
28	то же	5	7
29	не было	8	7
30	в себе	21	7
31	только в	16	7
32	не в	12	7
33	в своем	16	6
34	и как	2	6
35	ни к	2	6
36	или иной	2	5
37	как бы	9	5
38	в котором	24	5
39	в своей	10	5
40	то что	7	5
41	во всех	11	5
42	в процессе	2	5
43	в составе	2	5
44	а с	2	5
45	а в	4	5
46	в себя	7	5
47	в их	8	5
48	сводится к	2	5
49	и на	3	5
50	в данном	2	5
51	что в	4	4
52	для себя	5	4
53	не как	4	4
54	что он	2	4
55	уже не	7	4
56	для него	8	4
57	в целом	10	4
58	же время	2	4
59	отношение к	5	4
60	лишь в	8	4
61	что не	3	4
62	потому что	2	4
63	между тем	4	4
64	могут быть	3	4
65	и т.д	2	4
66	во мне	3	3
67	это не	10	3
68	вследствие этого	2	3
69	по себе	2	3
70	что и	7	3
71	в ее	16	3
72	и того	2	3
73	в акте	3	3
74	времени и	4	3
75	по своему	3	3
76	в свою	3	3
77	к ним	4	3
78	той или	3	3
79	один из	2	3
80	хотя бы	4	3
81	все же	5	3
82	к содержанию	2	3
83	научного мышления	2	3
84	бы быть	5	3
85	именно в	5	3
86	того что	3	3
87	в своих	3	3
88	тем что	3	3
89	точки зрения	12	3
90	в то	3	3
91	и потому	2	3
92	мира в	6	3
93	слова в	2	2
94	в едином	9	2
95	с человеком	3	2
96	не менее	3	2
97	и есть	9	2
98	никогда не	5	2
99	к себе	2	2
100	и все	7	2
101	в одном	4	2
102	в каждом	3	2
103	к этому	2	2
104	ему в	2	2
105	его как	5	2
106	как его	4	2
107	в соответствии	2	2
108	основе своей	2	2
109	смысл в	3	2
110	события в	3	2
111	он ни	2	2
112	в принципе	2	2
113	о нем	4	2
114	оно не	2	2
115	и тем	3	2
116	не есть	20	2
117	с ее	2	2
118	а по	2	2
119	того или	3	2
120	себя в	8	2
121	дело не	2	2
122	дело с	2	2
123	жизни в	5	2
124	как к	2	2
125	сознания в	2	2
126	котором он	3	2
127	слово не	3	2
128	и его	17	2
129	в момент	3	2
130	мы имеем	5	2
131	и ее	2	2
132	соответствии с	2	2
133	но как	5	2
134	в другом	3	2
135	могла бы	4	2
136	в этой	2	2
137	всей его	2	2
138	едва ли	2	2
139	в виду	3	2
140	это было	2	2
