N	2gram	Vinokur_St_2	DiskursI
1	в качестве	5	34
2	не только	19	28
3	в том	27	23
4	а не	5	22
5	том что	27	19
6	тогда как	2	19
7	может быть	2	17
8	и в	29	16
9	как и	2	16
10	в этом	21	15
11	но и	19	14
12	при этом	2	13
13	прежде всего	5	11
14	но не	3	11
15	и не	9	11
16	с другой	4	10
17	как в	3	10
18	в частности	4	9
19	в нем	4	9
20	не может	2	9
21	а также	2	8
22	своего рода	5	8
23	так и	9	8
24	о том	17	8
25	но в	8	8
26	в его	13	7
27	со стороны	2	7
28	то же	2	7
29	не было	3	7
30	в себе	2	7
31	только в	2	7
32	не в	4	7
33	в своем	9	6
34	и как	2	6
35	к тому	10	5
36	тому же	3	5
37	как бы	5	5
38	в котором	7	5
39	в своей	7	5
40	то что	11	5
41	в процессе	2	5
42	в отличие	2	5
43	а с	3	5
44	в их	3	5
45	отличие от	2	5
46	и на	6	5
47	в данном	2	5
48	с его	2	4
49	что в	19	4
50	не является	3	4
51	в них	2	4
52	и к	4	4
53	что он	13	4
54	для него	4	4
55	в истории	2	4
56	одной из	3	4
57	связи с	4	4
58	на его	2	4
59	такого рода	2	4
60	и о	4	4
61	внимание на	4	4
62	в особенности	2	4
63	потому что	9	4
64	между тем	5	4
65	того же	2	3
66	в одной	2	3
67	по себе	3	3
68	что и	2	3
69	в ее	2	3
70	времени и	4	3
71	по своему	2	3
72	с этим	3	3
73	в самом	7	3
74	еще в	2	3
75	хотя бы	3	3
76	все же	6	3
77	из них	3	3
78	таким образом	10	3
79	именно в	4	3
80	того что	5	3
81	другой стороны	3	3
82	и даже	3	3
83	сказать что	2	3
84	тем что	3	3
85	точки зрения	5	3
86	в то	2	3
87	также и	2	3
88	и потому	2	3
89	но они	2	2
90	не менее	3	2
91	по словам	4	2
92	никогда не	3	2
93	в какой	2	2
94	нельзя не	3	2
95	в одном	6	2
96	к этому	4	2
97	в году	3	2
98	в тех	2	2
99	об этом	6	2
100	его как	2	2
101	в г	7	2
102	в значительной	2	2
103	более или	2	2
104	чем он	2	2
105	так например	7	2
106	что с	2	2
107	своего времени	4	2
108	в начале	3	2
109	значительной степени	2	2
110	обратить внимание	5	2
111	одним из	6	2
112	хотя и	4	2
113	и др	2	2
114	сами по	2	2
115	например в	3	2
116	оно не	3	2
117	не могло	3	2
118	дело не	2	2
119	или менее	2	2
120	для своего	2	2
121	не приходится	4	2
122	и что	6	2
123	и он	3	2
124	и по	3	2
125	и его	6	2
126	во всяком	3	2
127	на себя	3	2
128	в другом	4	2
129	и вообще	2	2
130	в этой	2	2
131	они не	2	2
132	в значении	4	2
133	в виду	7	2
134	о чем	5	2
135	это было	2	2
