N	3gram	Vinokur_St_1	Myshleni
1	в том что	17	17
2	заключается в том	3	7
3	для того чтобы	10	7
4	так же как	3	6
5	с одной стороны	2	5
6	можно было бы	8	5
7	тем не менее	2	5
8	что и в	4	5
9	в то время	2	4
10	во всяком случае	6	4
11	о том что	11	3
12	то обстоятельство что	2	3
13	на то что	4	3
14	с другой стороны	6	3
15	в этом отношении	7	3
16	и в этом	3	2
17	и то что	2	2
18	так и в	4	2
19	как и в	2	2
20	того или иного	4	2
21	только в том	3	2
22	то что в	2	2
23	не может быть	5	2
24	по отношению к	3	2
