N	2gram	Tiupa_Narr_2	Mirosoze
1	и в	13	46
2	в нем	5	22
3	у него	6	22
4	может быть	10	21
5	в этом	13	20
6	никогда не	6	18
7	для него	4	18
8	и не	14	18
9	не только	26	18
10	но и	15	15
11	не может	8	15
12	ведет к	2	13
13	как и	4	13
14	а не	17	13
15	прежде всего	6	12
16	потому что	2	12
17	в ней	2	11
18	но он	2	11
19	у нас	2	11
20	и он	2	11
21	но в	6	10
22	он не	5	10
23	в себе	8	10
24	не в	8	9
25	но это	2	8
26	как бы	6	8
27	в своем	6	8
28	в мире	4	7
29	в этой	4	7
30	в нашем	2	7
31	что он	5	7
32	и к	6	7
33	как в	5	7
34	хотя бы	2	7
35	и для	3	7
36	он сам	2	6
37	что это	4	6
38	так же	2	6
39	того что	6	6
40	и здесь	2	6
41	жизни и	4	6
42	не могу	2	6
43	то же	4	5
44	я не	5	5
45	в самом	2	5
46	один из	3	5
47	что она	2	5
48	те же	2	5
49	это не	3	5
50	в конце	4	5
51	и все	4	5
52	к тому	9	5
53	то что	8	5
54	в своей	4	5
55	и его	3	5
56	в его	6	5
57	что в	4	4
58	тому что	3	4
59	все что	4	4
60	что у	2	4
61	они не	2	4
62	не имеет	2	4
63	с его	3	4
64	в жизни	6	4
65	в свою	2	4
66	том что	13	4
67	что и	2	4
68	себя в	2	4
69	так и	9	4
70	уже не	4	4
71	того чтобы	3	4
72	человек в	3	3
73	же как	2	3
74	в том	14	3
75	что они	3	3
76	жизни в	6	3
77	человека есть	2	3
78	в своих	2	3
79	сказать что	3	3
80	по своей	3	3
81	о том	5	3
82	как он	2	3
83	с ним	4	3
84	к которому	2	3
85	если бы	4	3
86	к другому	2	3
87	не будет	2	3
88	той же	2	3
89	с другим	2	3
90	только в	11	3
91	в чем	2	3
92	место в	5	2
93	быть может	2	2
94	или иной	3	2
95	да и	3	2
96	как у	4	2
97	со своим	2	2
98	такого рода	12	2
99	другого человека	2	2
100	но для	2	2
101	хотя и	5	2
102	не к	4	2
103	по отношению	5	2
104	как к	3	2
105	достоевского и	2	2
106	а в	9	2
107	к себе	7	2
108	точки зрения	5	2
109	в церкви	2	2
110	не случайно	2	2
111	бы в	2	2
112	между тем	3	2
113	личного бытия	2	2
114	превращается в	2	2
115	личности в	2	2
116	интерес к	2	2
117	и что	2	2
118	мысль о	2	2
119	себе и	2	2
120	к ней	3	2
121	оно не	2	2
122	с таким	2	2
123	отношению к	5	2
124	в центре	2	2
125	к своему	2	2
126	более чем	2	2
127	можно было	2	2
128	тому как	2	2
129	подобно тому	2	2
130	он лишь	2	2
131	от его	2	2
132	ничего не	6	2
