N	3gram	Vinokur_St_1	Hudozhes
1	о том что	11	9
2	то же время	4	8
3	в то же	4	8
4	по отношению к	3	8
5	и т п	9	8
6	в том что	17	6
7	в самом деле	5	4
8	можно было бы	8	4
9	тем не менее	2	3
10	и в самом	3	3
11	в этом отношении	7	3
12	но в то	2	3
13	с точки зрения	8	3
14	и т д	21	3
15	как и в	2	3
16	это прежде всего	2	2
17	в первую очередь	2	2
18	так или иначе	2	2
19	только в том	3	2
20	в равной мере	2	2
21	том что в	3	2
22	до сих пор	7	2
23	на то что	4	2
24	что же касается	3	2
25	не может быть	5	2
26	не только в	4	2
27	как раз в	2	2
28	не в том	2	2
29	речь идет о	2	2
30	того или иного	4	2
