N	2gram	Vinokur_Ku_2	Narrotol
1	не только	20	31
2	но и	7	27
3	и не	16	23
4	при этом	2	19
5	может быть	15	15
6	в частности	2	14
7	в качестве	8	14
8	как и	2	13
9	а не	10	13
10	а в	3	13
11	только в	5	12
12	в этом	18	12
13	и в	23	11
14	в данном	4	11
15	состоит в	2	10
16	своего рода	4	10
17	и его	3	10
18	то что	9	9
19	то же	6	8
20	в том	19	8
21	данном случае	2	8
22	со стороны	4	8
23	не может	9	8
24	уже не	8	8
25	если бы	12	7
26	у него	3	7
27	том что	11	7
28	но в	11	7
29	одного из	2	6
30	к тому	4	6
31	об этом	5	6
32	а также	3	6
33	не в	8	6
34	в самом	12	6
35	как бы	4	6
36	один из	5	6
37	как раз	3	6
38	или в	4	6
39	в его	5	6
40	в этой	6	6
41	перед нами	4	5
42	можно сказать	4	5
43	в соответствии	3	5
44	в своей	2	5
45	так и	4	5
46	тем самым	2	5
47	и на	6	5
48	потому что	25	5
49	точки зрения	14	5
50	слова в	6	4
51	никогда не	2	4
52	что на	4	4
53	соответствии с	2	4
54	все же	7	4
55	но не	6	4
56	же время	3	4
57	прежде всего	8	4
58	еще не	5	4
59	к нему	2	4
60	в ней	3	4
61	и тем	5	4
62	в нем	4	4
63	по себе	10	4
64	как в	3	4
65	так в	3	4
66	того что	3	4
67	того чтобы	11	4
68	в речи	6	4
69	хотя и	4	4
70	однако и	2	4
71	в то	4	4
72	что у	2	4
73	не менее	7	3
74	что в	10	3
75	в нашем	7	3
76	в своем	2	3
77	это не	6	3
78	не всегда	2	3
79	что он	5	3
80	сводится к	3	3
81	тем не	6	3
82	у нас	12	3
83	когда в	2	3
84	не говорит	2	3
85	самом деле	9	3
86	для того	9	3
87	может служить	2	3
88	и о	4	3
89	за ними	2	3
90	но для	3	3
91	он не	3	3
92	в конечном	2	3
93	речь идет	2	3
94	в современной	2	3
95	быть не	2	3
96	не было	4	3
97	этом отношении	3	3
98	именно в	3	3
99	лишь в	5	3
100	в глазах	2	3
101	и то	5	3
102	также и	5	3
103	и с	7	3
104	как будто	2	3
105	и все	2	3
106	всего лишь	3	3
107	как это	5	3
108	мы имеем	5	3
109	между тем	6	3
110	этого не	3	2
111	казалось бы	3	2
112	отнюдь не	4	2
113	в зависимости	4	2
114	большей или	3	2
115	а на	2	2
116	в конце	4	2
117	в сущности	9	2
118	в свою	2	2
119	на то	4	2
120	как мы	3	2
121	но зато	2	2
122	же в	3	2
123	да и	6	2
124	слово это	6	2
125	зависимости от	5	2
126	при отсутствии	2	2
127	свою очередь	2	2
128	до конца	3	2
129	в пределах	4	2
130	она не	2	2
131	как у	2	2
132	меньшей степени	3	2
133	он уже	2	2
134	никак не	3	2
135	всяком случае	5	2
136	не имеет	4	2
137	оно не	2	2
138	хотя бы	9	2
139	вместе с	5	2
140	дело не	2	2
141	в сфере	3	2
142	в форме	3	2
143	ли не	2	2
144	другой стороны	7	2
145	в отличие	2	2
146	в связи	4	2
147	в особенности	4	2
148	для обозначения	2	2
149	все равно	2	2
150	в году	2	2
151	и вот	5	2
152	в той	2	2
153	что не	6	2
154	тем же	2	2
155	и даже	2	2
156	с другой	8	2
157	и для	2	2
158	отличие от	2	2
159	роль в	2	2
160	слов в	3	2
161	ничего не	4	2
162	с ними	2	2
163	в результате	4	2
164	сказать что	4	2
165	во всяком	5	2
166	и от	2	2
167	что касается	2	2
168	он и	2	2
169	и еще	2	2
170	связи с	3	2
171	что мы	6	2
172	эта фраза	2	2
173	здесь не	3	2
174	в области	11	2
