N	2gram	Bakhtin_fo_1	Literetu
1	и не	14	22
2	и в	50	16
3	при этом	3	15
4	не только	9	14
5	но и	8	14
6	в этом	25	14
7	а не	3	12
8	то что	6	12
9	может быть	11	12
10	в том	9	12
11	в частности	6	11
12	не в	5	10
13	то же	11	9
14	так и	12	9
15	того что	2	9
16	в то	9	9
17	в жизни	6	8
18	том что	4	8
19	не может	6	8
20	к себе	4	8
21	как бы	2	8
22	в своей	2	7
23	же время	9	7
24	точки зрения	5	7
25	только в	4	7
26	с его	9	6
27	с другой	2	6
28	к тому	3	6
29	еще не	5	6
30	в его	13	6
31	и т.п	4	6
32	и его	16	6
33	в себе	3	6
34	в качестве	3	5
35	это не	6	5
36	в ее	6	5
37	тому же	2	5
38	как и	8	5
39	соответствии с	2	5
40	лишь в	6	5
41	в целом	2	5
42	вместе с	3	5
43	как в	6	5
44	в отличие	2	5
45	а в	3	5
46	этом отношении	3	5
47	именно в	3	5
48	в основе	5	5
49	то есть	33	5
50	отличие от	2	5
51	место в	2	4
52	но не	5	4
53	никогда не	2	4
54	по существу	12	4
55	до конца	4	4
56	одной стороны	2	4
57	в начале	3	4
58	и для	4	4
59	хотя и	3	4
60	отношению к	5	4
61	по отношению	3	4
62	жизни в	8	4
63	входит в	3	4
64	с одной	3	4
65	а также	2	4
66	в данном	2	4
67	одно из	3	4
68	в одном	3	4
69	ни к	3	3
70	том числе	4	3
71	отнюдь не	5	3
72	прежде всего	15	3
73	более того	3	3
74	в романе	32	3
75	в соответствии	2	3
76	и как	10	3
77	мира в	3	3
78	совершенно не	2	3
79	например в	6	3
80	и к	2	3
81	в самом	8	3
82	с ее	6	3
83	жизни и	8	3
84	себе самому	4	3
85	уже не	2	3
86	с точки	2	3
87	той же	2	3
88	потому что	4	3
89	самим собой	2	3
90	там где	2	3
91	отношения к	3	3
92	но в	10	3
93	жизни не	3	2
94	что в	5	2
95	если бы	5	2
96	оно не	2	2
97	не как	2	2
98	в конце	9	2
99	к этому	3	2
100	вследствие этого	3	2
101	вопрос о	2	2
102	романа и	3	2
103	по себе	2	2
104	ни с	2	2
105	стороны и	2	2
106	или иной	2	2
107	в нем	24	2
108	и ее	3	2
109	же в	3	2
110	раз в	4	2
111	в присутствии	4	2
112	связи с	6	2
113	числе и	2	2
114	того же	8	2
115	во втором	2	2
116	в свою	2	2
117	для него	2	2
118	было бы	2	2
119	со всеми	3	2
120	что не	3	2
121	во всех	6	2
122	здесь это	3	2
123	той или	2	2
124	себя и	3	2
125	к жизни	2	2
126	для себя	7	2
127	жизненный путь	8	2
128	один из	3	2
129	что и	3	2
130	все же	6	2
131	отношение к	2	2
132	время в	6	2
133	как мы	14	2
134	во всей	3	2
135	так же	6	2
136	как раз	13	2
137	еще и	2	2
138	человека в	17	2
139	того чтобы	5	2
140	для того	5	2
141	и даже	2	2
142	своей жизни	4	2
143	и на	8	2
144	мы и	4	2
145	и с	4	2
146	автора и	2	2
147	быть только	3	2
148	тем что	2	2
149	далеко не	2	2
150	на себя	2	2
151	не знает	3	2
152	его в	3	2
153	и потому	3	2
154	здесь не	4	2
155	здесь как	2	2
156	ее в	2	2
