N	2gram	Vygotskiy__1	formyVre
1	и в	31	50
2	то есть	26	33
3	в этом	12	25
4	в нем	2	24
5	и его	7	16
6	прежде всего	4	15
7	и не	16	14
8	как мы	2	14
9	вовсе не	6	13
10	как раз	2	13
11	в его	6	13
12	по существу	4	12
13	так и	3	12
14	человека и	2	11
15	может быть	22	11
16	таким образом	20	11
17	то же	5	11
18	и как	2	10
19	но в	3	10
20	в конце	3	9
21	в том	30	9
22	в то	5	9
23	не только	13	9
24	роль в	3	9
25	ничего не	2	9
26	в самом	11	8
27	и т	26	8
28	и их	2	8
29	но и	2	8
30	как и	16	8
31	того же	2	8
32	жизни и	3	8
33	ни в	9	8
34	т п	16	8
35	не было	3	7
36	и во	2	7
37	все же	5	6
38	в частности	3	6
39	например в	3	6
40	не может	17	6
41	так же	12	6
42	в результате	4	6
43	так как	18	6
44	у него	4	6
45	с этим	3	6
46	и все	5	6
47	в жизни	2	6
48	то что	32	6
49	в ее	5	6
50	как в	9	6
51	что в	23	5
52	и другие	4	5
53	одного и	2	5
54	не в	11	5
55	в связи	2	5
56	время как	5	5
57	в основе	2	5
58	точки зрения	15	5
59	если бы	6	5
60	отнюдь не	6	5
61	но не	3	5
62	он не	3	5
63	того чтобы	7	5
64	для того	6	5
65	и у	4	5
66	могут быть	11	5
67	в своем	3	4
68	до конца	6	4
69	и следовательно	2	4
70	в котором	4	4
71	все это	8	4
72	потому что	10	4
73	и с	2	4
74	в них	2	4
75	то время	5	4
76	в процессе	5	4
77	или как	2	4
78	том что	16	4
79	и для	5	4
80	и то	2	4
81	только в	14	4
82	и это	3	4
83	в основу	2	3
84	не могут	3	3
85	себя и	2	3
86	в этих	4	3
87	формы и	5	3
88	к тому	4	3
89	с тем	3	3
90	при этом	19	3
91	имеет место	2	3
92	хотя и	3	3
93	в виду	4	3
94	один из	4	3
95	со всеми	4	3
96	этом отношении	2	3
97	с одной	5	3
98	и других	3	3
99	а в	6	3
100	их в	2	3
101	сказать что	7	3
102	одно из	2	3
103	его в	2	3
104	в одном	2	3
105	был бы	5	3
106	к этому	4	3
107	есть не	2	3
108	в качестве	2	3
109	в сущности	10	3
110	и потому	2	3
111	что и	13	3
112	вместе с	8	3
113	сих пор	3	3
114	только на	3	3
115	а не	13	3
116	мы не	12	3
117	мы видим	5	3
118	в таком	3	3
119	нас в	2	3
120	во всяком	8	3
121	в себе	4	3
122	до сих	3	3
123	уже в	3	2
124	совсем не	3	2
125	же как	4	2
126	никогда не	8	2
127	его и	3	2
128	точку зрения	3	2
129	с другой	5	2
130	и характер	2	2
131	что все	3	2
132	вопрос о	3	2
133	а только	2	2
134	для нас	5	2
135	тому же	3	2
136	есть в	7	2
137	смысле слова	3	2
138	одной стороны	6	2
139	к жизни	2	2
140	есть только	2	2
141	в целом	5	2
142	отношение к	2	2
143	те же	4	2
144	на основе	2	2
145	того что	10	2
146	и даже	6	2
147	и по	3	2
148	к ним	2	2
149	в которых	3	2
150	или не	2	2
151	имеет в	2	2
152	во всем	3	2
153	что мы	8	2
154	все то	3	2
155	как он	2	2
156	тех же	2	2
157	с ним	2	2
158	для всех	4	2
159	не является	5	2
160	тогда когда	5	2
161	ясно что	19	2
162	по себе	9	2
163	стороны и	3	2
164	и к	3	2
165	в чем	2	2
166	одна из	4	2
167	и может	2	2
168	было бы	6	2
169	этого произведения	2	2
170	на один	2	2
171	по самому	5	2
172	том же	2	2
173	на почве	2	2
174	в своей	3	2
175	как бы	5	2
176	оказывается что	5	2
177	совершенно не	5	2
178	в отличие	3	2
179	если мы	12	2
180	уже не	2	2
181	с точки	2	2
182	в которой	4	2
183	той же	3	2
184	как она	2	2
185	и изучает	2	2
186	в каком	2	2
187	ту же	2	2
188	далеко не	2	2
189	там где	4	2
190	отличие от	4	2
