N	2gram	Tiupa_Anal_1	Freidism
1	таким образом	3	24
2	и не	21	23
3	не может	22	20
4	точки зрения	6	19
5	прежде всего	6	18
6	в этом	13	15
7	в его	13	15
8	может быть	29	13
9	и его	5	12
10	как и	13	11
11	как бы	5	11
12	то что	6	11
13	все эти	2	11
14	с точки	4	11
15	и потому	2	10
16	так и	4	10
17	как мы	2	10
18	самом деле	2	10
19	с ним	4	10
20	но в	8	10
21	с его	3	9
22	и в	18	9
23	по отношению	6	9
24	что он	3	8
25	отношению к	5	8
26	еще не	3	8
27	в своей	6	8
28	он не	3	8
29	не только	15	8
30	то же	9	8
31	только в	6	8
32	и все	3	8
33	так как	2	8
34	ни в	4	7
35	к нему	3	7
36	один из	2	7
37	отношение к	2	7
38	в самом	6	7
39	что же	2	7
40	никогда не	2	6
41	вовсе не	2	6
42	для него	2	6
43	за пределы	2	6
44	того что	4	6
45	хотя бы	3	6
46	и с	2	6
47	и к	3	5
48	можно сказать	2	5
49	не в	14	5
50	в этой	5	5
51	для этого	2	5
52	в то	9	5
53	во внешнем	3	5
54	что в	5	5
55	но и	17	5
56	на самом	2	5
57	в себя	6	5
58	для того	4	5
59	а в	9	5
60	и на	5	5
61	могут быть	4	5
62	я и	6	5
63	но не	10	4
64	в котором	3	4
65	то ни	3	4
66	из этих	2	4
67	в пределах	2	4
68	в собственном	3	4
69	с другими	4	4
70	к тому	7	4
71	сводится к	5	4
72	же время	6	4
73	на этом	2	4
74	при этом	12	4
75	и о	2	4
76	в основе	6	4
77	в нем	3	4
78	все же	4	4
79	данном случае	2	4
80	уже не	4	4
81	того чтобы	3	4
82	в которой	2	4
83	той же	2	4
84	в таком	3	4
85	в данном	2	4
86	потому что	2	4
87	себя и	4	4
88	не могут	3	3
89	если бы	3	3
90	и есть	3	3
91	конечном счете	4	3
92	на себя	2	3
93	на место	2	3
94	в конечном	4	3
95	в себе	11	3
96	это как	2	3
97	и как	5	3
98	человека к	4	3
99	случае не	2	3
100	было бы	2	3
101	в психике	2	3
102	себя в	6	3
103	бы то	3	3
104	вместе с	4	3
105	со стороны	2	3
106	и т.п	5	3
107	и по	2	3
108	между двумя	3	3
109	мы имеем	6	3
110	такой же	2	3
111	в искусстве	2	3
112	таком случае	3	3
113	подхода к	3	3
114	не является	2	3
115	в сознании	2	3
116	только не	2	2
117	в нашем	3	2
118	реальности и	2	2
119	его и	2	2
120	между собой	2	2
121	для себя	2	2
122	в какой	2	2
123	того же	4	2
124	с другой	4	2
125	это не	6	2
126	произведение искусства	9	2
127	же самое	2	2
128	ни было	4	2
129	том что	12	2
130	более того	3	2
131	а не	17	2
132	не остается	2	2
133	одной стороны	3	2
134	из них	2	2
135	внешнего мира	2	2
136	душевной жизни	2	2
137	что мы	3	2
138	в процессе	2	2
139	о нем	3	2
140	и до	2	2
141	только для	2	2
142	внешнем мире	2	2
143	дело не	3	2
144	в их	5	2
145	в составе	2	2
146	отличается от	2	2
147	отношения к	2	2
148	что как	3	2
149	а с	3	2
150	этом отношении	2	2
151	с одной	3	2
152	внутренней речи	5	2
153	сознания в	4	2
154	из того	4	2
155	в отличие	6	2
156	к объекту	3	2
157	отличие от	6	2
158	роль в	2	2
159	на основе	2	2
160	и то	2	2
161	нуждается в	8	2
162	что и	3	2
163	является по	2	2
164	в другом	4	2
165	жизни но	2	2
166	при помощи	2	2
167	в первом	2	2
168	в области	4	2
169	оно может	3	2
