N	2gram	Bakhtin_fo_1	UchenyiS
1	и в	50	14
2	а не	3	10
3	не только	9	10
4	и не	14	8
5	прежде всего	15	8
6	то что	6	7
7	в этом	25	7
8	не может	6	7
9	может быть	11	6
10	хотя бы	2	5
11	все это	4	5
12	то же	11	5
13	но и	8	4
14	в их	6	4
15	конечно не	4	4
16	с другой	2	4
17	только к	3	3
18	но в	10	3
19	как и	8	3
20	и то	4	3
21	все же	6	3
22	в своей	2	3
23	в частности	6	3
24	же время	9	3
25	для него	2	3
26	это не	6	3
27	в то	9	3
28	не как	2	3
29	было бы	2	3
30	не о	2	3
31	но конечно	2	2
32	том что	4	2
33	но не	5	2
34	в том	9	2
35	в широком	2	2
36	по существу	12	2
37	мы не	3	2
38	с его	9	2
39	не в	5	2
40	всех этих	5	2
41	и для	4	2
42	мы и	4	2
43	если бы	5	2
44	нас в	3	2
45	только в	4	2
46	и с	4	2
47	тем что	2	2
48	сих пор	3	2
49	могут быть	5	2
50	их и	2	2
51	его и	2	2
52	именно как	4	2
53	и у	5	2
54	в себе	3	2
55	как раз	13	2
56	до сих	3	2
57	формы и	3	2
58	что мы	2	2
59	в конце	9	2
60	что все	2	2
61	этом отношении	3	2
62	в самом	8	2
63	не могут	3	2
64	сколько угодно	2	2
65	по себе	2	2
66	в некоторых	2	2
67	в буквальном	2	2
68	ничего не	9	2
69	для всех	2	2
70	а как	3	2
71	и является	2	2
72	что и	3	2
73	в его	13	2
74	таким образом	11	2
