N	2gram	Trubetskoy_1	Hudozhes
1	том что	9	16
2	и в	14	14
3	а не	2	12
4	в том	17	12
5	не только	9	12
6	при этом	5	12
7	о том	7	12
8	прежде всего	8	11
9	и т	3	11
10	в этом	17	11
11	в себе	9	11
12	для него	6	10
13	в своей	5	10
14	у него	2	9
15	что он	6	9
16	как и	4	9
17	в качестве	3	9
18	то же	11	9
19	то что	13	8
20	же время	10	8
21	по отношению	2	8
22	между тем	5	8
23	в этой	4	8
24	в то	10	8
25	в его	4	8
26	к тому	7	7
27	уже не	2	7
28	не в	4	7
29	еще не	3	7
30	как бы	4	7
31	не может	22	7
32	именно в	3	7
33	а в	5	7
34	тогда как	2	7
35	никогда не	5	6
36	что в	4	6
37	было бы	5	6
38	жизни в	5	6
39	в глазах	2	6
40	в частности	2	5
41	в этих	2	5
42	к себе	2	5
43	может быть	9	5
44	только в	5	5
45	но и	10	5
46	жизни и	4	5
47	самом деле	7	5
48	друг друга	3	5
49	можно было	4	5
50	потому что	5	5
51	ни в	2	5
52	точки зрения	11	5
53	но в	2	5
54	связи с	3	4
55	тому что	2	4
56	в своем	6	4
57	и от	2	4
58	на то	5	4
59	и к	6	4
60	то в	3	4
61	она не	2	4
62	несмотря на	3	4
63	мы уже	2	4
64	в самом	3	4
65	и о	2	4
66	в ней	2	4
67	себя в	4	4
68	из них	3	4
69	не было	3	4
70	того что	3	4
71	он не	5	4
72	как будто	2	4
73	в конце	3	4
74	с ним	2	4
75	и с	7	4
76	но не	4	3
77	если бы	6	3
78	отнюдь не	7	3
79	с этим	2	3
80	это в	2	3
81	в мире	4	3
82	говорить о	3	3
83	от него	2	3
84	речь идет	2	3
85	для себя	2	3
86	в нем	5	3
87	все же	4	3
88	со стороны	4	3
89	приводит к	4	3
90	и для	6	3
91	все эти	2	3
92	лишь в	3	3
93	того чтобы	8	3
94	и даже	2	3
95	к этой	4	3
96	с точки	9	3
97	и по	3	3
98	в таком	2	3
99	в своих	6	3
100	тем что	3	3
101	и на	5	3
102	его в	4	3
103	ни к	7	2
104	если в	6	2
105	себя и	5	2
106	и потому	3	2
107	ясно что	2	2
108	вопрос о	5	2
109	или иного	2	2
110	по себе	2	2
111	состоит в	2	2
112	да и	3	2
113	так что	2	2
114	в другом	3	2
115	одна из	3	2
116	и что	2	2
117	участие в	2	2
118	одной из	3	2
119	себе и	4	2
120	только на	2	2
121	в начале	2	2
122	говоря о	2	2
123	каждого отдельного	2	2
124	для нее	2	2
125	только для	2	2
126	на том	3	2
127	сих пор	5	2
128	согласиться с	2	2
129	что же	4	2
130	в их	4	2
131	все это	6	2
132	при котором	3	2
133	а с	2	2
134	и не	19	2
135	на самом	6	2
136	по сторонам	2	2
137	в значительной	3	2
138	того или	2	2
139	должно быть	3	2
140	в результате	2	2
141	не о	2	2
142	о котором	3	2
143	до сих	5	2
