N	2gram	Propp_Isto_2	Narrotol
1	не только	18	32
2	может быть	17	25
3	но и	14	23
4	в качестве	3	21
5	и не	11	20
6	и в	15	19
7	в том	6	18
8	в этом	11	17
9	том что	7	14
10	не в	7	14
11	состоит в	2	13
12	а не	5	12
13	представляет собой	5	12
14	то что	12	11
15	а в	12	11
16	не может	5	10
17	при этом	4	9
18	так и	5	9
19	в его	6	9
20	с другой	2	8
21	в себе	4	8
22	как и	2	7
23	еще не	9	7
24	к тому	5	7
25	а также	2	7
26	все же	9	7
27	как в	5	7
28	по отношению	3	7
29	с одной	4	7
30	одной стороны	3	7
31	что он	24	6
32	отношению к	3	6
33	но не	2	6
34	именно в	2	6
35	в себя	3	6
36	тем самым	2	6
37	как это	3	6
38	о том	3	6
39	но в	6	6
40	тому же	2	5
41	не все	2	5
42	к нему	5	5
43	и его	3	5
44	к себе	2	5
45	в этой	4	5
46	перед нами	2	4
47	прежде всего	5	4
48	в нем	7	4
49	у него	4	4
50	то же	10	4
51	да и	2	4
52	но все	5	4
53	в силу	2	4
54	было бы	5	4
55	связи с	8	4
56	одной из	4	4
57	как бы	6	4
58	о нем	4	4
59	хотя бы	2	4
60	другой стороны	2	4
61	в особенности	2	4
62	не мог	3	4
63	не столько	2	4
64	сказать что	2	4
65	только в	6	4
66	здесь не	2	4
67	и с	4	4
68	а с	2	3
69	же как	5	3
70	что в	12	3
71	могут быть	2	3
72	никогда не	15	3
73	уже в	2	3
74	из этих	3	3
75	ни в	2	3
76	что они	10	3
77	одна из	2	3
78	в сущности	2	3
79	в ней	4	3
80	он не	8	3
81	мог бы	3	3
82	обратимся к	2	3
83	один из	8	3
84	с ее	2	3
85	из них	2	3
86	когда он	3	3
87	на него	5	3
88	а именно	3	3
89	и на	4	3
90	будто бы	2	3
91	тем что	4	3
92	как будто	3	3
93	что это	6	3
94	зависит от	2	2
95	на другой	2	2
96	себя и	2	2
97	что у	2	2
98	точно так	6	2
99	встречается в	3	2
100	что иное	2	2
101	по существу	2	2
102	о своей	2	2
103	у нее	4	2
104	не что	2	2
105	она не	5	2
106	например в	2	2
107	наряду с	6	2
108	в область	4	2
109	и когда	2	2
110	и др	4	2
111	приводит к	2	2
112	смерти и	7	2
113	так же	13	2
114	в связи	5	2
115	и только	2	2
116	не было	2	2
117	все эти	4	2
118	хотя в	3	2
119	ключ к	2	2
120	человека в	2	2
121	они не	4	2
122	самом деле	2	2
123	что мы	3	2
124	и для	2	2
125	это не	2	2
126	роль в	3	2
127	в иной	5	2
128	или в	2	2
129	можно было	5	2
130	тому как	3	2
131	одно из	2	2
132	подобно тому	3	2
133	и ее	2	2
134	его в	10	2
135	представляют собой	3	2
136	когда мы	2	2
137	ничего не	7	2
138	мы имеем	15	2
139	иное как	2	2
140	к которому	5	2
