N	2gram	Propp_Russ_2	Myshleni
1	в том	22	42
2	том что	22	35
3	таким образом	6	25
4	в этом	11	24
5	в качестве	3	21
6	и в	29	20
7	что в	22	19
8	то же	4	16
9	то что	5	15
10	не только	10	15
11	как мы	3	13
12	с другой	2	12
13	при этом	6	12
14	в их	2	12
15	потому что	5	12
16	может быть	13	12
17	так же	4	11
18	того что	3	10
19	так как	13	10
20	и то	2	10
21	и другие	14	9
22	и как	2	9
23	одной стороны	2	9
24	но и	8	9
25	с одной	2	9
26	между тем	3	9
27	как это	4	9
28	как и	11	9
29	что и	2	9
30	и что	5	8
31	тогда когда	4	8
32	было бы	3	8
33	вместе с	6	8
34	как бы	18	7
35	в своей	2	7
36	а не	4	7
37	того чтобы	6	7
38	тем что	3	7
39	могут быть	2	7
40	же как	4	6
41	мы видели	7	6
42	не может	5	6
43	и на	6	6
44	его в	8	6
45	с тем	6	6
46	можно было	2	6
47	никогда не	2	5
48	это не	5	5
49	между собой	2	5
50	с этим	2	5
51	все же	2	5
52	о том	9	5
53	как в	7	5
54	для того	6	5
55	все эти	3	5
56	как уже	2	4
57	для нас	6	4
58	что с	2	4
59	из них	4	4
60	друг друга	3	4
61	с этой	2	4
62	и с	10	4
63	состоит в	15	4
64	к этому	5	4
65	на первый	3	4
66	и при	2	4
67	из основных	2	4
68	не в	4	4
69	и для	2	4
70	на этом	3	3
71	не менее	2	3
72	в этих	3	3
73	и от	3	3
74	и другой	3	3
75	так что	4	3
76	в этой	3	3
77	в виду	2	3
78	один из	2	3
79	именно в	4	3
80	и других	3	3
81	мы указывали	2	3
82	должно быть	2	3
83	но в	5	3
84	этом случае	6	3
85	по существу	4	3
86	приводит нас	2	3
87	представляет собой	2	3
88	во всем	2	3
89	чем в	2	3
90	но не	5	3
91	следующим образом	5	3
92	совершенно не	2	3
93	нас к	3	3
94	в виде	4	3
95	связи с	2	3
96	в которой	2	3
97	прежде всего	2	2
98	что на	2	2
99	они представляют	2	2
100	переход от	2	2
101	что это	3	2
102	для объяснения	2	2
103	том чтобы	2	2
104	одним из	2	2
105	не совсем	2	2
106	но вместе	2	2
107	в него	2	2
108	к нему	4	2
109	данном случае	7	2
110	в отличие	3	2
111	здесь мы	2	2
112	не имеет	3	2
113	а в	9	2
114	во многих	9	2
115	в данном	6	2
116	из этих	2	2
117	что здесь	3	2
118	их в	4	2
119	когда мы	2	2
120	мы имеем	6	2
121	видели что	4	2
122	это в	2	2
123	что такие	2	2
124	показывает что	8	2
125	а затем	4	2
126	что при	2	2
127	еще не	6	2
128	том же	4	2
129	далеко не	4	2
130	а также	4	2
131	связь между	2	2
132	тогда как	2	2
133	того как	2	2
134	а с	2	2
135	состояла в	2	2
136	в избе	4	2
137	в таком	4	2
138	тому как	3	2
139	подобно тому	3	2
140	в приведенных	2	2
141	как оно	2	2
142	отличие от	3	2
