N	2gram	Losev_Dial_2	Mirosoze
1	может быть	20	30
2	не только	19	29
3	и в	19	28
4	не может	9	28
5	но и	12	25
6	а не	16	25
7	он не	4	24
8	в этом	8	20
9	не было	3	18
10	не в	8	16
11	это –	23	16
12	потому что	14	16
13	в ней	2	15
14	в своей	8	15
15	и есть	4	14
16	никогда не	9	14
17	человека и	2	14
18	в нем	10	13
19	он –	6	12
20	и это	5	12
21	в самом	5	11
22	и не	30	11
23	что в	7	10
24	в своем	4	10
25	в мире	2	10
26	прежде всего	8	10
27	и все	12	10
28	что он	6	10
29	было бы	3	10
30	и потому	5	10
31	но он	4	9
32	с тем	2	9
33	не есть	47	9
34	и его	5	9
35	но не	6	8
36	того что	6	7
37	в конце	2	7
38	но в	2	7
39	к нему	4	7
40	в себе	15	7
41	должна быть	5	6
42	в том	14	6
43	в этой	3	6
44	все это	4	6
45	все в	2	6
46	вместе с	2	6
47	только в	5	6
48	в которой	2	6
49	не могут	4	5
50	это не	10	5
51	и я	2	5
52	– не	9	5
53	как и	10	5
54	то что	14	5
55	что есть	2	5
56	в глубину	3	5
57	уже в	4	4
58	в этих	3	4
59	есть уже	2	4
60	человека но	2	4
61	ни с	4	4
62	был в	2	4
63	в их	2	4
64	и по	4	4
65	а в	4	4
66	точки зрения	12	4
67	не как	2	4
68	это и	3	4
69	она не	8	4
70	за пределы	4	4
71	что и	5	4
72	есть не	7	4
73	уже не	3	4
74	тем что	2	4
75	значит что	12	4
76	и вот	4	3
77	к тому	2	3
78	это есть	8	3
79	это значит	8	3
80	– к	2	3
81	только одно	2	3
82	и их	3	3
83	только и	2	3
84	должно быть	7	3
85	его не	2	3
86	с этим	3	3
87	его в	3	3
88	так как	14	3
89	и с	5	3
90	на этом	2	3
91	одно из	4	3
92	в жизни	2	3
93	в ее	4	3
94	том что	10	3
95	которая есть	2	3
96	есть и	6	3
97	ничего не	3	3
98	конечно не	6	3
99	себя в	2	3
100	бы и	2	3
101	– все	2	3
102	будто бы	3	3
103	его личности	2	3
104	хотя бы	4	3
105	все его	3	3
106	может не	4	2
107	связана с	2	2
108	по своему	5	2
109	он мог	2	2
110	и от	3	2
111	идей –	2	2
112	вопрос о	3	2
113	личности но	2	2
114	момент в	2	2
115	есть что-то	2	2
116	и нет	2	2
117	о чем	3	2
118	и мы	3	2
119	в виду	5	2
120	себе и	3	2
121	его с	3	2
122	жизни и	6	2
123	могут быть	4	2
124	все эти	2	2
125	и что	5	2
126	есть религия	3	2
127	есть только	4	2
128	время как	7	2
129	также и	2	2
130	сказать что	10	2
131	по своей	4	2
132	в истории	2	2
133	как бы	14	2
134	о том	5	2
135	как он	4	2
136	том смысле	4	2
137	не значит	3	2
138	когда мы	3	2
139	с ним	4	2
140	личности в	8	2
141	и жизнь	2	2
142	мы видим	2	2
143	в то	6	2
144	то время	4	2
145	ведь это	3	2
146	как будто	7	2
147	до сих	2	2
148	и к	7	2
149	личность и	2	2
150	и когда	4	2
151	сам не	2	2
152	все же	4	2
153	сих пор	2	2
154	все –	2	2
155	как в	2	2
156	человеческой жизни	2	2
157	т е	30	2
158	чтобы не	6	2
159	в той	3	2
160	и она	2	2
161	и как	10	2
162	от этого	3	2
163	в каком	4	2
164	и человек	2	2
