N	2gram	Tiupa_Hudo_1	KFilosof
1	может быть	14	43
2	в его	9	39
3	в нем	5	31
4	не может	7	27
5	и не	15	26
6	по отношению	9	25
7	и в	19	22
8	отношению к	9	21
9	в себе	9	21
10	для меня	2	20
11	в ее	5	17
12	а не	9	17
13	и его	12	17
14	только в	5	16
15	точки зрения	10	13
16	в этом	11	13
17	ни в	5	12
18	для него	4	12
19	но не	11	12
20	и это	2	12
21	все эти	2	11
22	в своей	5	11
23	не в	7	11
24	к нему	3	11
25	в своем	2	10
26	это не	2	10
27	все это	2	10
28	от себя	3	10
29	во всех	3	10
30	с точки	3	10
31	в целом	3	9
32	но и	10	9
33	в их	5	9
34	как бы	9	9
35	и для	2	9
36	лишь в	4	8
37	если бы	3	8
38	со стороны	2	8
39	на основе	2	7
40	вовсе не	2	7
41	что и	2	7
42	то что	4	7
43	себя в	7	7
44	в себя	2	7
45	я не	2	6
46	в том	18	6
47	отношение к	5	6
48	в мире	21	6
49	отнюдь не	2	6
50	он не	4	6
51	уже не	4	6
52	мира в	2	6
53	никогда не	2	5
54	то же	10	5
55	в контексте	3	5
56	именно в	2	5
57	в основе	4	5
58	но как	2	5
59	его в	2	5
60	с ним	2	5
61	но в	7	5
62	эстетического созерцания	3	5
63	не знает	3	5
64	жизни в	2	5
65	как и	2	5
66	не только	16	5
67	для себя	2	5
68	ни одно	2	5
69	мы имеем	6	5
70	жизни как	3	5
71	времени и	2	4
72	место в	4	4
73	что в	6	4
74	входит в	4	4
75	при этом	13	4
76	ценностного центра	3	4
77	между тем	4	4
78	в одном	2	4
79	не как	2	4
80	мира и	2	4
81	том что	8	4
82	во всей	3	4
83	а в	12	4
84	тем самым	4	4
85	в каком	2	4
86	и т.д	3	4
87	в чем	2	4
88	во мне	2	3
89	не менее	3	3
90	в данный	2	3
91	в свою	3	3
92	в виду	5	3
93	и тем	2	3
94	того что	4	3
95	и на	2	3
96	в то	6	3
97	того или	3	3
98	о том	2	3
99	этом смысле	3	3
100	или иного	3	3
101	данный момент	2	3
102	в акте	3	3
103	по своему	2	3
104	могла бы	2	3
105	еще не	3	3
106	для которого	2	3
107	быть и	2	3
108	для того	2	3
109	могут быть	4	3
110	в момент	2	3
111	в другом	3	3
112	здесь не	2	3
113	слова в	2	2
114	а с	2	2
115	сознания в	3	2
116	ни был	2	2
117	прежде всего	4	2
118	или иной	7	2
119	тем не	3	2
120	было и	2	2
121	и как	3	2
122	эстетического субъекта	3	2
123	же время	5	2
124	себя и	2	2
125	по себе	2	2
126	тому что	2	2
127	как к	2	2
128	свою жизнь	2	2
129	в принципе	5	2
130	потому что	3	2
131	имеем в	3	2
132	той или	4	2
133	говорить о	3	2
134	я и	7	2
135	в единое	3	2
136	ни к	2	2
137	с его	6	2
138	и то	4	2
139	в жизни	2	2
140	что он	3	2
141	при условии	2	2
142	и того	2	2
143	жить и	2	2
144	не будет	2	2
145	в качестве	24	2
146	или иным	3	2
147	этом мире	2	2
148	и потому	2	2
149	этого слова	2	2
150	жизни но	2	2
151	дело не	2	2
152	так и	11	2
153	как в	2	2
154	вытекает из	2	2
155	сводится к	7	2
156	того чтобы	2	2
157	в данном	4	2
158	всей его	2	2
159	всей своей	2	2
160	в этой	2	2
161	отношении к	2	2
162	автора как	2	2
163	в области	6	2
