N	3gram	Vinokur_Vv_1	StatiiOP
1	и т д	37	21
2	в том что	12	17
3	о том что	12	11
4	для того чтобы	21	10
5	и т п	5	9
6	можно было бы	3	8
7	с точки зрения	2	8
8	в этом отношении	3	7
9	до сих пор	5	7
10	в данном случае	4	6
11	с другой стороны	5	6
12	во всяком случае	3	6
13	в самом деле	5	5
14	в данном отношении	2	5
15	не может быть	8	5
16	то же время	5	4
17	в том отношении	3	4
18	в то же	5	4
19	но также и	9	4
20	не только в	4	4
21	т д но	5	4
22	дело в том	2	4
23	и в самом	3	3
24	что же касается	2	3
25	и в этом	3	3
26	только в том	2	3
27	по меньшей мере	2	3
28	в применении к	6	3
29	по отношению к	4	3
30	заключается в том	3	3
31	но все же	3	3
32	т е в	4	2
33	вовсе не только	2	2
34	мере в какой	4	2
35	а также и	2	2
36	по этому поводу	2	2
37	в свое время	2	2
38	жизни и творчества	2	2
39	с одной стороны	4	2
40	вовсе не в	2	2
41	тем не менее	8	2
42	в этом случае	6	2
43	и в том	3	2
44	хотя бы и	2	2
45	по крайней мере	4	2
46	может быть и	2	2
47	на вопрос о	4	2
48	но в то	3	2
49	том отношении что	3	2
50	и то что	2	2
51	не в том	2	2
52	вопрос о том	5	2
53	так или иначе	4	2
54	что в нем	2	2
