N	2gram	Vygotskiy__4	Problema
1	и в	20	30
2	в своей	7	22
3	то что	15	18
4	не только	15	18
5	том что	35	17
6	в этом	24	17
7	но и	9	13
8	таким образом	25	13
9	потому что	12	13
10	в том	42	12
11	в его	11	12
12	и не	8	12
13	также и	2	12
14	о том	5	12
15	в своем	4	11
16	у него	2	11
17	так что	3	11
18	в виде	3	10
19	для нас	4	10
20	точки зрения	24	10
21	в этой	3	10
22	все же	5	9
23	сказать что	6	9
24	но в	3	9
25	только в	10	9
26	никак не	2	8
27	с точки	11	8
28	никогда не	5	7
29	что он	6	7
30	как и	9	7
31	связи с	3	7
32	но не	3	7
33	может быть	12	7
34	вместе с	8	7
35	так и	5	7
36	в связи	3	7
37	не в	4	7
38	здесь не	2	7
39	в результате	8	7
40	с другой	12	6
41	прежде всего	2	6
42	и как	9	6
43	и для	4	6
44	как бы	7	6
45	в нем	2	6
46	что и	9	6
47	другой стороны	9	6
48	и что	8	6
49	а в	2	6
50	и его	5	6
51	и на	6	6
52	его в	6	6
53	так как	10	6
54	не менее	3	5
55	нисколько не	2	5
56	с тем	6	5
57	что в	19	5
58	в которой	3	5
59	в силу	6	5
60	так же	11	5
61	в самом	6	5
62	не может	6	5
63	не просто	2	5
64	а не	7	5
65	и у	2	5
66	что этот	2	5
67	и то	10	5
68	того как	2	5
69	и с	4	5
70	мы можем	5	5
71	если не	2	4
72	в частности	5	4
73	отнюдь не	3	4
74	тогда когда	8	4
75	ни в	3	4
76	ясно что	2	4
77	в смысле	4	4
78	при этом	12	4
79	того же	9	4
80	было бы	8	4
81	в качестве	21	4
82	а с	2	4
83	и к	5	4
84	и он	2	4
85	нас в	3	4
86	в себе	10	4
87	далеко не	2	4
88	едва ли	2	4
89	же не	2	4
90	он видит	2	3
91	все время	4	3
92	именно в	3	3
93	и другие	9	3
94	и которая	2	3
95	в отношении	10	3
96	точно так	3	3
97	в начале	2	3
98	что они	14	3
99	тот же	9	3
100	знает что	3	3
101	указывает на	2	3
102	еще не	2	3
103	одной стороны	9	3
104	для того	5	3
105	а также	2	3
106	в настоящее	2	3
107	а потом	2	3
108	находит в	2	3
109	и тем	8	3
110	с одной	9	3
111	того что	10	3
112	тем же	4	3
113	к нему	2	3
114	внимание на	3	3
115	в ней	2	3
116	настоящее время	2	3
117	этом смысле	8	3
118	в виду	3	3
119	не могут	3	2
120	мы будем	2	2
121	и более	7	2
122	уже и	2	2
123	том числе	2	2
124	в какой	3	2
125	как в	5	2
126	это не	5	2
127	с этой	4	2
128	уже в	6	2
129	один из	3	2
130	к этому	4	2
131	со всей	2	2
132	на то	5	2
133	к тому	6	2
134	то же	16	2
135	как мы	13	2
136	раз в	2	2
137	ли не	2	2
138	по существу	3	2
139	мы и	2	2
140	что здесь	2	2
141	в свою	2	2
142	и другой	3	2
143	в нашей	2	2
144	со всеми	3	2
145	в данном	2	2
146	мы имеем	2	2
147	на его	3	2
148	такого рода	6	2
149	вслед за	2	2
150	образом как	2	2
151	но для	2	2
152	и является	3	2
153	всяком случае	3	2
154	из них	4	2
155	когда он	3	2
156	наряду с	3	2
157	данном случае	2	2
158	и речи	2	2
159	и тогда	2	2
160	и только	4	2
161	по мнению	2	2
162	все эти	5	2
163	факт что	2	2
164	с помощью	31	2
165	они не	2	2
166	самом деле	7	2
167	он говорит	2	2
168	того чтобы	7	2
169	в таком	2	2
170	можно было	6	2
171	во всяком	4	2
172	между тем	9	2
173	тем что	7	2
174	является по	2	2
175	обстоятельство что	3	2
176	по своей	6	2
177	тем как	3	2
178	в чем	3	2
179	в области	4	2
180	и которые	2	2
