N	2gram	Potebnia_M_1	Vvedenie
1	и т	6	42
2	т д	4	36
3	и в	39	32
4	в том	26	31
5	в этом	15	30
6	может быть	27	26
7	том что	16	26
8	не только	21	22
9	для того	3	21
10	того чтобы	2	20
11	таким образом	13	19
12	то что	10	16
13	потому что	52	15
14	так как	21	15
15	не может	22	14
16	в самом	3	13
17	в нем	20	13
18	о том	2	13
19	со стороны	8	13
20	того что	8	12
21	в их	2	12
22	и не	18	12
23	как на	3	12
24	в его	5	12
25	только в	25	12
26	как мы	2	11
27	языка и	17	10
28	что в	22	10
29	но в	9	9
30	и как	6	9
31	в истории	7	9
32	между тем	5	9
33	этом смысле	4	9
34	по себе	10	9
35	то же	6	9
36	не менее	6	8
37	с другой	7	8
38	это не	7	8
39	а только	4	8
40	тем не	6	8
41	не в	15	8
42	прежде всего	4	7
43	вопрос о	4	7
44	точки зрения	8	7
45	в применении	2	7
46	о котором	3	7
47	но не	8	7
48	было бы	12	7
49	все же	6	7
50	не могут	4	6
51	из этих	4	6
52	же время	4	6
53	но и	20	6
54	xviii в	2	6
55	применении к	2	6
56	и даже	4	6
57	в то	4	6
58	с тем	5	6
59	представить себе	3	6
60	вовсе не	5	6
61	как и	9	6
62	истории языка	2	6
63	хотя бы	2	6
64	и его	5	6
65	этот вопрос	2	6
66	тем что	9	6
67	и это	3	6
68	иное как	2	5
69	так что	16	5
70	так например	3	5
71	на этот	2	5
72	но если	2	5
73	как бы	6	5
74	и тем	3	5
75	в целом	2	5
76	а как	2	5
77	другой стороны	5	5
78	одним из	2	5
79	сказать что	3	5
80	в них	3	5
81	как например	2	5
82	в г	2	5
83	не есть	10	5
84	вместе с	8	5
85	т п	4	5
86	в течение	2	5
87	а не	21	5
88	что не	10	5
89	могут быть	9	5
90	независимо от	6	4
91	с этой	2	4
92	в каждом	4	4
93	язык как	7	4
94	времени и	2	4
95	одной стороны	3	4
96	по мере	6	4
97	по отношению	13	4
98	с одной	3	4
99	и что	10	4
100	не имеет	5	4
101	а в	5	4
102	одно из	3	4
103	даже и	2	4
104	что иное	2	4
105	в первом	5	4
106	как она	3	4
107	в разных	2	4
108	по крайней	2	4
109	не что	2	4
110	еще не	6	4
111	крайней мере	2	4
112	отношению к	13	4
113	в своей	3	4
114	только что	2	4
115	связи между	2	4
116	уже не	2	4
117	и для	5	4
118	той же	3	4
119	и то	3	4
120	во всяком	3	4
121	само по	4	4
122	в себе	13	4
123	быть названо	3	4
124	зависит от	5	3
125	сама по	3	3
126	что это	3	3
127	и есть	2	3
128	в этих	7	3
129	а потому	10	3
130	в собственном	2	3
131	к тому	4	3
132	только по	2	3
133	но все	2	3
134	в этой	3	3
135	при этом	6	3
136	хотя и	3	3
137	в ней	7	3
138	в виду	2	3
139	то это	5	3
140	духовной жизни	2	3
141	мы видели	4	3
142	отношений между	3	3
143	в своем	3	3
144	в основании	3	3
145	язык и	5	3
146	и других	4	3
147	заключается в	3	3
148	так же	5	3
149	языка в	6	3
150	в начале	2	3
151	что даже	2	3
152	при помощи	2	3
153	тогда когда	9	3
154	нисколько не	2	3
155	если бы	14	3
156	однако в	4	3
157	история и	2	3
158	с понятием	2	3
159	стороны и	2	3
160	связи с	3	3
161	чем в	2	3
162	в одном	8	3
163	в сущности	2	3
164	что и	6	3
165	дело в	2	3
166	что же	2	3
167	на основании	2	3
168	но с	2	3
169	в каком	6	3
170	и вообще	3	3
171	как будто	2	3
172	об отношении	3	3
173	то она	2	2
174	должна быть	3	2
175	все более	3	2
176	никогда не	4	2
177	не иначе	3	2
178	них не	2	2
179	тому что	3	2
180	для этого	2	2
181	по времени	2	2
182	мы называем	2	2
183	точно так	11	2
184	находятся в	3	2
185	но это	5	2
186	что если	3	2
187	несмотря на	5	2
188	и той	3	2
189	мог бы	2	2
190	после этого	2	2
191	от того	4	2
192	но дело	2	2
193	во внимание	3	2
194	что можно	3	2
195	не было	4	2
196	и наоборот	6	2
197	во втором	5	2
198	не мог	3	2
199	есть только	11	2
200	должно быть	7	2
201	по его	7	2
202	языка с	6	2
203	не следует	5	2
204	в более	4	2
205	и с	3	2
206	говорит он	4	2
207	с этим	7	2
208	нуждается в	2	2
209	в отношениях	2	2
210	могут не	2	2
211	а так	4	2
212	когда мы	2	2
213	бы в	4	2
214	и должно	2	2
215	так и	13	2
216	могло бы	3	2
217	не существует	2	2
218	для них	2	2
219	по этому	2	2
220	языка а	3	2
221	значение и	2	2
222	есть не	2	2
223	о которых	2	2
224	у нас	2	2
225	его к	2	2
226	и при	3	2
227	тем более	2	2
228	того же	3	2
229	во всех	5	2
230	что мы	4	2
231	мы должны	3	2
232	жизни и	2	2
233	ни одна	2	2
234	история языка	3	2
235	том же	2	2
236	для нее	2	2
237	и развития	2	2
238	но уже	2	2
239	в создании	3	2
240	мысли и	9	2
241	только на	3	2
242	что к	2	2
243	в языке	33	2
244	связь между	2	2
245	тогда как	2	2
246	того как	6	2
247	хотя в	3	2
248	язык в	8	2
249	одной и	3	2
250	из того	2	2
251	деятельности и	5	2
252	к языку	2	2
253	с точки	3	2
254	мы не	10	2
255	тому как	4	2
256	языка не	5	2
257	мы можем	2	2
258	на свои	2	2
259	подобно тому	3	2
260	познания и	2	2
261	если же	5	2
262	не могли	2	2
263	но вместе	2	2
