N	3gram	Losev_Dial_2	KulturaY
1	и т п	2	24
2	и т д	15	14
3	в том что	6	10
4	с точки зрения	8	8
5	с другой стороны	4	7
6	в самом деле	3	7
7	по крайней мере	9	6
8	во всяком случае	2	5
9	само по себе	2	5
10	тем не менее	2	5
11	в зависимости от	2	4
12	не только в	2	4
13	не может быть	3	4
14	в связи с	4	3
15	в то же	3	3
16	то же время	4	3
17	можно сказать что	3	2
18	по себе не	3	2
19	может быть только	2	2
20	то или иное	4	2
21	не говоря уже	2	2
22	говоря уже о	2	2
23	в широком смысле	2	2
24	так или иначе	2	2
25	потому что он	2	2
