N	2gram	Propp_Isto_4	Marksizm
1	может быть	14	28
2	и пр	11	25
3	и в	26	19
4	как бы	3	19
5	и не	9	19
6	не может	6	18
7	то же	8	16
8	и его	10	16
9	как мы	5	15
10	в этом	7	15
11	таким образом	10	14
12	лишь в	2	14
13	не только	15	13
14	связи с	3	13
15	в нем	2	11
16	если бы	2	11
17	вовсе не	4	11
18	не в	5	10
19	но и	12	10
20	том что	3	10
21	так и	10	10
22	при этом	3	9
23	как и	7	9
24	а не	6	9
25	только в	3	8
26	никогда не	2	7
27	в связи	2	7
28	в том	3	7
29	его в	9	7
30	но в	5	7
31	и более	3	7
32	одна из	2	7
33	в языке	2	7
34	ни в	2	6
35	и как	5	6
36	с помощью	2	6
37	же самое	2	6
38	и все	2	6
39	мы уже	5	6
40	хотя бы	2	6
41	мы можем	6	6
42	к нему	6	5
43	в форме	2	5
44	так же	18	5
45	и на	2	5
46	и здесь	5	5
47	к этому	5	5
48	в его	5	5
49	этого слова	2	5
50	все же	9	5
51	в данном	3	5
52	должна быть	2	4
53	это не	5	4
54	на то	3	4
55	то что	16	4
56	и тем	2	4
57	мы видели	6	4
58	и их	2	4
59	того что	2	4
60	с ними	5	4
61	сказать что	2	4
62	а как	2	4
63	смысле этого	2	4
64	что он	10	4
65	было бы	2	4
66	конечно не	2	4
67	связь с	12	4
68	в себе	2	4
69	ничего не	5	4
70	перед нами	3	3
71	в этих	7	3
72	с другой	4	3
73	здесь мы	2	3
74	в этой	2	3
75	его и	2	3
76	а в	8	3
77	с этим	2	3
78	все эти	3	3
79	в другом	5	3
80	не имеет	3	3
81	в истории	2	3
82	о том	4	3
83	так как	9	3
84	иногда и	2	3
85	к которым	5	3
86	по себе	2	3
87	у нас	2	3
88	в качестве	7	3
89	до сих	5	3
90	еще не	6	3
91	не к	2	3
92	он не	7	3
93	относится к	3	3
94	что и	9	3
95	не есть	2	3
96	в своей	4	3
97	только что	3	3
98	и то	6	3
99	могут быть	6	3
100	сих пор	5	3
101	связана с	2	2
102	уже в	2	2
103	что в	14	2
104	что это	2	2
105	формы и	2	2
106	в одной	3	2
107	иное как	3	2
108	вопрос о	4	2
109	его к	3	2
110	в тех	4	2
111	мы знаем	8	2
112	что они	6	2
113	мы здесь	2	2
114	о чем	3	2
115	и у	5	2
116	другими словами	2	2
117	в своем	2	2
118	в особенности	2	2
119	и даже	4	2
120	но для	2	2
121	и с	5	2
122	даже и	2	2
123	у него	5	2
124	но не	5	2
125	от своего	3	2
126	мы увидим	3	2
127	себя в	2	2
128	не на	3	2
129	или же	3	2
130	на языке	2	2
131	и он	3	2
132	между ними	3	2
133	или в	3	2
134	то мы	2	2
135	тем что	5	2
136	в виде	2	2
137	это же	2	2
138	там где	3	2
139	только с	2	2
140	от него	2	2
141	вместе с	6	2
