N	3gram	Vinokur_Vv_1	Dialekti
1	и т д	37	19
2	с точки зрения	2	12
3	сама по себе	3	8
4	в том что	12	7
5	само по себе	3	5
6	то же время	5	4
7	по крайней мере	4	4
8	в то же	5	4
9	можно было бы	3	4
10	с другой стороны	5	4
11	потому что он	2	3
12	может быть и	2	3
13	и в этом	3	3
14	можно сказать что	3	3
15	в конце концов	2	3
16	не может быть	8	3
17	что в нем	2	3
18	в этом смысле	10	3
19	как она есть	2	3
20	по сравнению с	3	2
21	о том что	12	2
22	с одной стороны	4	2
23	одной стороны и	3	2
24	т д но	5	2
25	точно так же	2	2
26	и т п	5	2
27	в этом отношении	3	2
28	до сих пор	5	2
29	во всяком случае	3	2
