N	3gram	Potebnia_M_1	Problema
1	и т д	4	13
2	тем не менее	6	10
3	в том что	13	9
4	сама по себе	3	8
5	и в этом	6	6
6	по крайней мере	2	5
7	с другой стороны	5	5
8	не может быть	9	5
9	в таком случае	2	4
10	в то же	3	4
11	что иное как	2	4
12	бы то ни	2	4
13	не что иное	2	4
14	в том смысле	4	3
15	дело в том	2	3
16	само по себе	4	3
17	что и в	3	3
18	с точки зрения	3	2
19	не только в	3	2
20	а не есть	2	2
21	но с другой	2	2
22	друг от друга	2	2
23	и как бы	3	2
24	только потому что	2	2
25	то это не	2	2
26	в сравнении с	2	2
27	но и в	4	2
