N	2gram	Vygotskiy__7	Tvorches
1	и в	26	20
2	не только	24	13
3	никогда не	4	11
4	как бы	6	11
5	в его	4	10
6	таким образом	23	10
7	в то	3	10
8	и его	12	9
9	и не	18	9
10	прежде всего	7	8
11	в том	18	8
12	но и	11	8
13	может быть	7	8
14	в этом	29	8
15	и с	5	8
16	это не	3	7
17	представление о	7	7
18	наряду с	2	7
19	что в	12	7
20	не может	11	7
21	то же	8	7
22	потому что	16	7
23	в конце	4	6
24	что он	8	6
25	как и	15	6
26	в целом	5	6
27	в своей	3	6
28	так и	3	6
29	все это	3	6
30	именно в	6	6
31	а не	6	6
32	в основном	3	6
33	но это	3	5
34	еще не	4	5
35	но не	3	5
36	все же	6	5
37	так же	14	5
38	в этой	3	5
39	о том	4	5
40	об этом	3	4
41	н м	2	4
42	что у	4	4
43	и от	4	4
44	мы не	7	4
45	показывает что	2	4
46	том что	17	4
47	мы видим	3	4
48	что они	10	4
49	на его	2	4
50	что она	8	4
51	как в	4	4
52	все эти	6	4
53	нашему мнению	2	4
54	тем самым	8	4
55	не в	4	4
56	а в	2	4
57	в чем	3	4
58	и потому	3	4
59	ничего не	2	4
60	если бы	5	4
61	но в	4	4
62	же как	8	3
63	казалось бы	2	3
64	с этой	5	3
65	в одной	3	3
66	к этому	2	3
67	с ним	3	3
68	в пользу	4	3
69	а затем	2	3
70	отношению к	5	3
71	для него	3	3
72	у нее	5	3
73	что не	2	3
74	одной из	4	3
75	в самом	9	3
76	он не	3	3
77	в котором	4	3
78	не является	3	3
79	один из	2	3
80	в нем	2	3
81	то что	24	3
82	вместе с	12	3
83	сих пор	3	3
84	в их	2	3
85	по отношению	6	3
86	так как	14	3
87	в свете	4	3
88	сути дела	2	3
89	одним из	2	3
90	тем что	9	3
91	в своих	2	3
92	в которых	2	3
93	в себе	9	3
94	в начале	5	3
95	его в	2	3
96	до сих	3	3
97	уже в	2	2
98	не менее	4	2
99	и есть	2	2
100	его и	2	2
101	точку зрения	2	2
102	не означает	3	2
103	с другой	4	2
104	о человеке	2	2
105	в такой	4	2
106	я не	3	2
107	вовсе не	2	2
108	в этот	3	2
109	во всяком	2	2
110	от ее	2	2
111	такой же	3	2
112	и ее	2	2
113	что на	2	2
114	в ее	6	2
115	что его	2	2
116	у нас	2	2
117	так что	4	2
118	как известно	2	2
119	том же	2	2
120	но если	2	2
121	нет и	3	2
122	в первой	3	2
123	в процессе	5	2
124	приводит к	4	2
125	в отличие	2	2
126	ли не	2	2
127	и других	2	2
128	но эта	2	2
129	самом деле	6	2
130	и что	6	2
131	и наконец	4	2
132	и он	2	2
133	и по	3	2
134	друг друга	4	2
135	с другими	3	2
136	имеет в	3	2
137	что этот	5	2
138	в основе	3	2
139	могут быть	2	2
140	в которой	11	2
141	с другим	2	2
142	и только	4	2
143	только в	8	2
144	этот факт	2	2
145	из этого	2	2
146	едва ли	4	2
147	отличие от	2	2
