N	2gram	Tiupa_Lite_3	Istorich
1	и в	16	26
2	так же	2	18
3	то что	12	16
4	не только	14	15
5	что в	2	14
6	может быть	12	14
7	но и	14	12
8	что он	5	10
9	так и	9	10
10	и его	6	10
11	что и	2	9
12	все же	2	9
13	и не	22	9
14	его в	2	9
15	то же	9	8
16	а в	5	8
17	как и	5	7
18	в качестве	5	7
19	нас к	2	7
20	как в	5	7
21	в этом	14	7
22	не всегда	2	6
23	еще не	6	6
24	когда он	2	6
25	вместе с	5	6
26	не может	8	6
27	а не	12	6
28	потому что	3	6
29	и как	3	5
30	это не	5	5
31	в одном	4	5
32	к этому	2	5
33	но не	4	5
34	и только	2	5
35	в его	6	5
36	то это	2	5
37	как мы	2	5
38	уже не	3	5
39	не в	10	5
40	с ними	2	5
41	и с	2	5
42	тем что	2	5
43	в другом	6	5
44	но в	3	5
45	с другой	6	4
46	на себя	2	4
47	вопрос о	2	4
48	а по	2	4
49	а на	2	4
50	в своей	7	4
51	даже в	4	4
52	он в	2	4
53	другой стороны	2	4
54	здесь не	2	4
55	тогда как	17	4
56	и даже	2	4
57	о том	6	4
58	что у	2	3
59	к себе	8	3
60	все еще	3	3
61	герой в	2	3
62	же в	2	3
63	в том	12	3
64	а затем	3	3
65	по существу	4	3
66	том что	8	3
67	и при	2	3
68	при этом	15	3
69	и если	4	3
70	например в	3	3
71	на его	3	3
72	как бы	8	3
73	а также	4	3
74	на то	2	3
75	данном случае	4	3
76	а именно	5	3
77	о природе	2	3
78	как это	3	3
79	на смену	3	3
80	в данном	4	3
81	связи с	2	3
82	только в	7	3
83	там где	3	3
84	о чем	3	3
85	не менее	2	2
86	никогда не	4	2
87	однако в	4	2
88	в лице	2	2
89	по себе	2	2
90	и тем	3	2
91	представляет собой	2	2
92	что я	5	2
93	было бы	2	2
94	если бы	2	2
95	такого рода	10	2
96	у нас	2	2
97	в частности	11	2
98	хотя и	4	2
99	по своей	3	2
100	еще один	2	2
101	в нем	2	2
102	себя в	7	2
103	в целом	5	2
104	отношение к	2	2
105	из них	4	2
106	в тексте	4	2
107	и наоборот	2	2
108	и вот	2	2
109	лишь в	5	2
110	того что	9	2
111	чтобы он	2	2
112	право на	2	2
113	и на	2	2
114	с этой	2	2
115	не случайно	3	2
116	в себе	6	2
117	же самое	2	2
118	в этой	8	2
119	в области	3	2
