N	2gram	Medvedev_V_1	Tragedij
1	и в	26	18
2	в романе	4	10
3	в году	6	9
4	в этом	26	9
5	не только	25	8
6	он сам	2	7
7	и не	19	7
8	может быть	22	7
9	как бы	5	7
10	в образе	2	6
11	что он	4	6
12	и его	6	6
13	же время	5	6
14	у него	6	6
15	но в	2	6
16	все же	5	5
17	так и	5	5
18	это не	7	5
19	не может	17	5
20	то же	10	5
21	как и	7	5
22	в то	6	5
23	но и	10	4
24	то что	6	4
25	в целом	4	4
26	что в	10	4
27	все это	10	4
28	прежде всего	13	4
29	в нем	6	4
30	и даже	2	4
31	так же	3	4
32	том что	8	4
33	в этой	4	4
34	в себе	6	4
35	еще не	2	4
36	об этом	9	4
37	один из	5	3
38	о чем	2	3
39	отнюдь не	3	3
40	в своем	8	3
41	в конце	3	3
42	все эти	6	3
43	и он	2	3
44	и как	3	3
45	в основном	5	3
46	должно быть	2	3
47	в его	14	3
48	для него	8	3
49	как это	12	3
50	перед нами	4	2
51	не могут	7	2
52	что и	3	2
53	как говорит	5	2
54	в частности	11	2
55	писателя и	2	2
56	что все	3	2
57	а как	2	2
58	из своих	2	2
59	бы и	6	2
60	с его	3	2
61	к тому	4	2
62	о его	2	2
63	в ее	4	2
64	в том	15	2
65	говорит о	7	2
66	не в	6	2
67	одна из	4	2
68	с тем	3	2
69	только о	2	2
70	он и	2	2
71	и ее	4	2
72	как у	2	2
73	было в	2	2
74	по поводу	2	2
75	по словам	8	2
76	о том	10	2
77	его в	3	2
78	в самом	4	2
79	во сне	21	2
80	что говорит	3	2
81	он не	2	2
82	в одном	4	2
83	что она	2	2
84	никогда не	4	2
85	одном из	3	2
